Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,MarineHumic_Like,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,Lignin_Like,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,OmegaAragonite,OmegaCalcite
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,28.02,2309.516077,8.05660463885474,0.2,1.69,0.5,0.35,1.185099417,0.907290817,0.010681489,0.009013159,0.019077179,0.016755293,0.031499208,9.862234869311115,376.8351052272297,377.99803282279566,376.8351052272297,377.99803282279566,376.8351052272297,377.9980343990156,1709.7375005294725,242.99344377443538,1962.5931791732191,3.8726751840222837,5.807392240435605
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.41,27.1,2332.964767,8.029733014285924,0.21,0.91,0.53,0.32,1.52837812,0.935062012,0.017017791,0.011134542,0.028069819,0.01878488,0.02184783,11.051699076049255,412.98605188216015,414.27483766698117,412.98605188216015,414.27483766698117,412.98605188216015,414.2748395966333,1770.1997860470049,228.5246699375391,2009.7761550605933,3.6266045849799,5.455001126881549
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.22,28.44,2339.396163,8.065993322640152,0.23,5.11,0.84,0.42,2.754412529,2.128530089,0.035972555,0.013059974,0.039321432,0.070947096,0.028518597,9.645251488434091,371.79464558882324,372.9362204770661,371.79464558882324,372.9362204770661,371.79464558882324,372.93622199809766,1718.859919591461,252.15759498212702,1980.6627660620222,4.034551041155748,6.043509677289902
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.41,27.1,2408.599301,7.989275791036764,0.2,1.14,0.33,0.08,1.400191622,1.072341541,0.00788777,0.00563335,0.009355282,0.012991505,0.026389112,12.817844181940822,478.9843467428903,480.4792048491572,478.9843467428903,480.4792048491572,478.9843467428903,480.47920744486373,1870.4710782914558,219.99083118285628,2103.279753656253,3.4911756233554465,5.251294017114608
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.26,2377.029989,8.014044470618156,0.22,2.29,0.68,0.52,1.589781489,0.637080298,0.023092398,0.014525517,0.09829493,0.208416064,0.052009506,11.71774061101909,439.81746593331593,441.1873723327663,439.81746593331593,441.1873723327663,439.81746593331593,441.1873745140508,1817.1287029522248,228.13528436390638,2056.98172792715,3.6202025437794094,5.441827818941494
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.92,2353.477084,8.04889954812155,0.2,1.29,0.57,0.26,1.297024168,1.116117878,0.01196997,0.009228795,0.019125993,0.02426196,0.024518042,10.322455011082733,393.38316078967193,394.5986446209958,393.38316078967193,394.5986446209958,393.38316078967193,394.5986463422601,1754.2041296922596,243.7728926680011,2008.2994773713438,3.884640713370351,5.8276188883128155
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.4,27.15,2328.302637,8.021270681984175,0.21,0.92,0.61,0.71,1.228273596,1.289987532,0.010751201,0.008753099,0.015103301,0.016072899,0.013723082,11.284688320531256,422.1811695850556,423.4978675003844,422.1811695850556,423.4978675003844,422.1811695850556,423.4978695148308,1774.1585902188788,224.9748236135577,2010.4181021529678,3.571412235511037,5.371183067854672
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.09,28.47,2346.594909,8.05555174101946,0.26,5.76,1.05,0.31,1.615649189,1.337764548,0.03640255,0.022531222,0.054071251,0.111169588,0.039611635,9.985150819316999,384.9166061244994,386.09806264749363,384.9166061244994,386.09806264749363,384.9166061244994,386.09806427677535,1736.4270798306686,248.2314601728039,1994.6436908227895,3.9763204219816903,5.956733528763524
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.2,2387.584167,7.998339452012478,0.2,0.83,0.43,0.23,1.744711483,0.573887086,0.015861776,0.009091346,0.058838051,0.197535192,0.046059377,12.329363976029631,462.1048403512679,463.5452476161189,462.1048403512679,463.5452476161189,462.1048403512679,463.5452500270845,1842.0190063223522,222.5609689851273,2076.909339283509,3.5307114496432814,5.308336991909437
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.34,27.36,2365.03174,8.014612800858368,0.2,2.06,0.62,2.4,2.175318354,0.815434825,0.028232375,0.012978503,0.080698238,0.186930911,0.026435201,11.633796777142091,437.3187082783663,438.67918209039743,437.3187082783663,438.67918209039743,437.3187082783663,438.67918424249393,1807.4522977779914,227.13557573896188,2046.2216702940957,3.6110816589208277,5.427562437633925
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.41,27.76,2351.907643,8.047115606226054,0.2,1.56,0.48,0.34,1.389091122,1.162769077,0.01320969,0.009509592,0.024943247,0.048753233,0.027068341,10.412686366606955,395.33038825087664,396.55425172286664,395.33038825087664,396.55425172286664,395.33038825087664,396.5542534669932,1757.25320208271,241.84323757880847,2009.5091260281251,3.850495872856809,5.779358923038646
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,NA,NA,0.22,1.2,0.37,0.28,1.625867931,0.981796367,0.011666954,0.007175831,0.0214734,0.05343416,0.009010092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.35,28.31,2345.266347,8.069751700432176,0.24,3.38,0.82,0.39,2.637901428,1.221763919,0.034331476,0.013014693,0.053474632,0.094369739,0.029406257,9.582217112217853,368.47458592971964,369.6077347194719,368.47458592971964,369.6077347194719,368.47458592971964,369.60773621749024,1720.0582948823903,254.06728417767332,1983.7077961722816,4.058299251549439,6.0806794253799445
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.14,2366.912906,8.011047778091783,0.21,0.87,0.46,0.17,2.068590173,0.476692118,0.016821611,0.00813192,0.054496422,0.194597325,0.041174587,11.804071422921592,441.77608001760376,443.1540885626969,441.77608001760376,443.1540885626969,441.77608001760376,443.15409076894304,1813.88459438991,225.17790082825599,2050.866566641088,3.5711832009162157,5.370226387470529
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.27,2380.835159,8.029250889241016,0.19,1.26,0.56,0.46,2.090177389,0.867233513,0.022133335,0.010589214,0.069997599,0.162614428,0.032374726,11.235950923153762,421.83552013591105,423.1492315668589,421.83552013591105,423.1492315668589,421.83552013591105,423.1492335730034,1804.8394024391155,234.75212874675537,2050.8274821090245,3.725385138301157,5.5997551407235315
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.82,2320.14392,8.04529859172526,0.21,0.84,0.4,0.32,1.224375862,0.957502472,0.008112201,0.006625581,0.011803696,0.017178169,0.032217266,10.295137710638809,391.5271338410165,392.73834054986514,391.5271338410165,392.73834054986514,391.5271338410165,392.7383422584654,1732.6972618792274,238.24922181782614,1981.2416214076925,3.7929487820476444,5.691510628877378
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.49,27.1,2331.89014,8.034426484034048,0.22,0.85,0.42,0.3,1.409983858,0.919738621,0.010426799,0.007394978,0.01772721,0.016268222,0.03453515,10.887018807002534,406.99844220352776,408.26853390662296,406.99844220352776,408.26853390662296,406.99844220352776,408.26853578072536,1763.7954962076185,230.58070095912447,2005.2632159737457,3.6569984554491692,5.500181028277988
