Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,28.02,2309.516077,8.05660627941298,0.2,1.69,0.5,0.35
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.41,27.1,2332.964767,8.029734982877823,0.21,0.91,0.53,0.32
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.22,28.44,2339.396163,8.065995308106677,0.23,5.11,0.84,0.42
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.41,27.1,2408.599301,7.989277582026707,0.2,1.14,0.33,0.08
Varari,-17.53975298,-149.900506,V1,V1,V21,J1,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.26,2377.029989,8.014045685847643,0.22,2.29,0.68,0.52
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.92,2353.477084,8.048900912837915,0.2,1.29,0.57,0.26
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.4,27.15,2328.302637,8.021272552877601,0.21,0.92,0.61,0.71
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.09,28.47,2346.594909,8.055554298730533,0.26,5.76,1.05,0.31
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.2,2387.584167,7.998341023298515,0.2,0.83,0.43,0.23
Varari,-17.53989003,-149.900519,V2,V2,V22,J2,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.34,27.36,2365.03174,8.014614132059485,0.2,2.06,0.62,2.4
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.41,27.76,2351.907643,8.047115843681485,0.2,1.56,0.48,0.34
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,NA,NA,0.22,1.2,0.37,0.28
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.35,28.31,2345.266347,8.069754052579313,0.24,3.38,0.82,0.39
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.14,2366.912906,8.011049106067944,0.21,0.87,0.46,0.17
Varari,-17.54012598,-149.90056,V3,V3,V23,J3,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.27,2380.835159,8.029251913941964,0.19,1.26,0.56,0.46
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.82,2320.14392,8.045300005157426,0.21,0.84,0.4,0.32
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.49,27.1,2331.89014,8.03442833371745,0.22,0.85,0.42,0.3
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.4,28.4,2325.926623,8.0709760233258,0.24,3.01,0.65,0.5
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.46,27.27,2359.559769,8.014339058156606,0.21,0.85,0.29,0.02
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.39,2362.8142,8.044607239270132,0.24,1.55,1.06,1.07
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.5,27.69,2351.4013,8.05482400537295,0.2,0.86,0.47,0.24
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.46,26.97,2321.38849,8.037829582854789,0.19,0.89,0.48,0.04
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.23,28.28,2360.225293,8.061339335849029,0.25,5.43,1.05,0.46
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,27.11,2360.157091,8.004749100221572,0.23,0.88,0.27,0.08
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.39,27.25,2366.352432,8.03046831232579,0.2,1.05,0.47,0.31
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.49,27.91,2322.780484,8.059624535360415,0.21,2.13,0.45,0.4
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.38,27.24,2331.278996,8.028684181245588,0.18,1.05,0.51,0.12
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.31,28.52,2337.707262,8.059426191082393,0.25,5,0.92,0.37
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.36,27.15,2373.785598,7.976490514184624,0.21,1.03,0.28,0.02
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.51,27.31,2365.266839,8.019454653927967,0.21,2.47,0.57,0.43
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.42,27.76,2344.001217,8.046785069170395,0.21,2.84,0.57,0.36
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,NA,NA,0.23,1.01,0.54,0.31
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.26,28.34,2337.447513,8.077051981412163,0.25,4,0.83,0.46
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,26.89,2365.774319,7.996032849650477,0.24,1.2,0.58,0.21
