date,TempInSitu,mV,pH,pH_Serial
2021-08-27T12:30:00Z,24.45,-63.3,7.69,pH_197
2021-08-27T12:31:00Z,24.52,-60.55,7.65,pH_197
2021-08-27T12:32:00Z,24.35,-47.13,7.41,pH_197
2021-08-27T12:33:00Z,24.18,-45.41,7.38,pH_197
2021-08-27T12:34:00Z,24.28,-51.31,7.49,pH_197
2021-08-27T12:35:00Z,24.33,-61.52,7.66,pH_197
2021-08-27T12:36:00Z,24.71,-63.44,7.7,pH_197
2021-08-27T12:37:00Z,24.54,-66.1,7.74,pH_197
2021-08-27T12:38:00Z,24.64,-57.78,7.6,pH_197
2021-08-27T12:39:00Z,24.79,-68.99,7.79,pH_197
2021-08-27T12:40:00Z,24.67,-64.27,7.71,pH_197
2021-08-27T12:41:00Z,24.71,-69.25,7.8,pH_197
2021-08-27T12:42:00Z,25.13,-84.67,8.06,pH_197
2021-08-27T12:43:00Z,25.1,-84.77,8.07,pH_197
2021-08-27T12:44:00Z,25.2,-80.02,7.98,pH_197
2021-08-27T12:45:00Z,25.29,-73.86,7.88,pH_197
2021-08-27T12:46:00Z,25.25,-71.63,7.84,pH_197
2021-08-27T12:47:00Z,25.25,-71.97,7.84,pH_197
2021-08-27T12:48:00Z,25.22,-62.86,7.69,pH_197
2021-08-27T12:49:00Z,25.39,-73.58,7.87,pH_197
2021-08-27T12:50:00Z,25.42,-77.02,7.93,pH_197
2021-08-27T12:51:00Z,25.42,-75.44,7.9,pH_197
2021-08-27T12:52:00Z,25.44,-76.24,7.92,pH_197
2021-08-27T12:53:00Z,25.49,-77.46,7.94,pH_197
2021-08-27T12:54:00Z,25.51,-77.96,7.95,pH_197
2021-08-27T12:55:00Z,25.56,-80.33,7.99,pH_197
2021-08-27T12:56:00Z,25.51,-80.66,7.99,pH_197
2021-08-27T12:57:00Z,25.59,-79.41,7.97,pH_197
2021-08-27T12:58:00Z,25.51,-74.24,7.88,pH_197
2021-08-27T12:59:00Z,25.51,-79.3,7.97,pH_197
2021-08-27T13:00:00Z,25.54,-77.03,7.93,pH_197
2021-08-27T13:01:00Z,25.59,-77.75,7.94,pH_197
2021-08-27T13:02:00Z,25.56,-74.99,7.89,pH_197
2021-08-27T13:03:00Z,25.59,-77.55,7.94,pH_197
2021-08-27T13:04:00Z,25.61,-77.77,7.94,pH_197
2021-08-27T13:05:00Z,25.66,-79.3,7.97,pH_197
2021-08-27T13:06:00Z,25.66,-78.28,7.95,pH_197
2021-08-27T13:07:00Z,25.66,-78.83,7.96,pH_197
2021-08-27T13:08:00Z,25.71,-78.36,7.95,pH_197
2021-08-27T13:09:00Z,25.71,-78.88,7.96,pH_197
2021-08-27T13:10:00Z,25.71,-79.02,7.96,pH_197
2021-08-27T13:11:00Z,25.73,-78.14,7.95,pH_197
2021-08-27T13:12:00Z,25.73,-79.42,7.97,pH_197
2021-08-27T13:13:00Z,25.73,-79.75,7.98,pH_197
2021-08-27T13:14:00Z,25.76,-80.52,7.99,pH_197
2021-08-27T13:15:00Z,25.78,-80.6,7.99,pH_197
2021-08-27T13:16:00Z,25.78,-80.61,7.99,pH_197
2021-08-27T13:17:00Z,25.78,-80.55,7.99,pH_197
2021-08-27T13:18:00Z,25.76,-80.39,7.99,pH_197
2021-08-27T13:19:00Z,25.81,-80.71,7.99,pH_197
2021-08-27T13:20:00Z,25.78,-80.22,7.98,pH_197
2021-08-27T13:21:00Z,25.78,-79.75,7.98,pH_197
2021-08-27T13:22:00Z,25.68,-76.61,7.92,pH_197
2021-08-27T13:23:00Z,25.61,-76.6,7.92,pH_197
2021-08-27T13:24:00Z,25.63,-77.75,7.94,pH_197
2021-08-27T13:25:00Z,25.66,-77.86,7.94,pH_197
2021-08-27T13:26:00Z,25.76,-79.56,7.97,pH_197
2021-08-27T13:27:00Z,25.81,-80.6,7.99,pH_197
2021-08-27T13:28:00Z,25.78,-79.49,7.97,pH_197
2021-08-27T13:29:00Z,25.85,-81.14,8,pH_197
2021-08-27T13:30:00Z,25.83,-81.31,8,pH_197
2021-08-27T13:31:00Z,25.78,-78.86,7.96,pH_197
2021-08-27T13:32:00Z,25.71,-79.02,7.96,pH_197
2021-08-27T13:33:00Z,25.68,-79.05,7.96,pH_197
2021-08-27T13:34:00Z,25.68,-78.99,7.96,pH_197
2021-08-27T13:35:00Z,25.73,-80.05,7.98,pH_197
2021-08-27T13:36:00Z,25.73,-80.16,7.98,pH_197
2021-08-27T13:37:00Z,25.71,-79.86,7.98,pH_197
2021-08-27T13:38:00Z,25.71,-79.86,7.98,pH_197
2021-08-27T13:39:00Z,25.73,-80.49,7.99,pH_197
2021-08-27T13:40:00Z,25.76,-80.71,7.99,pH_197
2021-08-27T13:41:00Z,25.76,-80.78,7.99,pH_197
2021-08-27T13:42:00Z,25.76,-80.71,7.99,pH_197
2021-08-27T13:43:00Z,25.76,-81.1,8,pH_197
2021-08-27T13:44:00Z,25.76,-80.69,7.99,pH_197
2021-08-27T13:45:00Z,25.73,-80.27,7.99,pH_197
2021-08-27T13:46:00Z,25.73,-80.56,7.99,pH_197
2021-08-27T13:47:00Z,25.76,-80.99,8,pH_197
2021-08-27T13:48:00Z,25.78,-81.02,8,pH_197
2021-08-27T13:49:00Z,25.73,-80.69,7.99,pH_197
2021-08-27T13:50:00Z,25.73,-80.91,8,pH_197
2021-08-27T13:51:00Z,25.73,-80.8,7.99,pH_197
2021-08-27T13:52:00Z,25.73,-80.89,8,pH_197
2021-08-27T13:53:00Z,25.76,-80.91,8,pH_197
2021-08-27T13:54:00Z,25.76,-81.28,8,pH_197
2021-08-27T13:55:00Z,25.73,-81.03,8,pH_197
2021-08-27T13:56:00Z,25.71,-81.03,8,pH_197
