7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1630617900,+3.46,+26.882, +8.649,+0.975
1630617960,+3.45,+26.890, +8.683,+0.975
1630618020,+3.45,+26.916, +8.648,+0.975
1630618080,+3.45,+26.932, +8.733,+0.976
1630618140,+3.45,+26.949, +8.740,+0.975
1630618200,+3.45,+26.941, +8.751,+0.975
1630618260,+3.45,+26.958, +8.847,+0.976
1630618320,+3.45,+26.992, +9.016,+0.976
1630618380,+3.45,+27.000, +9.134,+0.976
1630618440,+3.45,+27.026, +9.080,+0.976
1630618500,+3.45,+27.060, +9.338,+0.977
1630618560,+3.45,+27.060, +9.317,+0.976
1630618620,+3.45,+27.085, +9.242,+0.976
1630618680,+3.45,+27.111, +9.370,+0.977
1630618740,+3.45,+27.153, +9.443,+0.976
1630618800,+3.45,+27.178, +9.430,+0.977
1630618860,+3.45,+27.204, +9.460,+0.977
1630618920,+3.45,+27.178, +9.174,+0.976
1630618980,+3.45,+27.161, +9.097,+0.975
1630619040,+3.45,+27.119, +9.067,+0.976
1630619100,+3.45,+27.136, +9.120,+0.976
1630619160,+3.45,+27.102, +9.113,+0.976
1630619220,+3.45,+27.144, +9.129,+0.977
1630619280,+3.45,+27.161, +9.279,+0.976
1630619340,+3.45,+27.170, +9.358,+0.977
1630619400,+3.45,+27.195, +9.410,+0.976
1630619460,+3.45,+27.263, +9.480,+0.977
1630619520,+3.45,+27.263, +9.317,+0.976
1630619580,+3.45,+27.255, +9.278,+0.976
1630619640,+3.45,+27.289, +9.288,+0.977
1630619700,+3.45,+27.280, +9.129,+0.976
1630619760,+3.45,+27.263, +9.015,+0.977
1630619820,+3.45,+27.246, +9.125,+0.977
1630619880,+3.45,+27.272, +9.284,+0.977
1630619940,+3.45,+27.289, +9.476,+0.976
1630620000,+3.45,+27.297, +9.610,+0.977
1630620060,+3.45,+27.314, +9.505,+0.977
1630620120,+3.45,+27.340, +9.451,+0.977
1630620180,+3.45,+27.391, +9.627,+0.977
1630620240,+3.45,+27.408, +9.563,+0.978
1630620300,+3.45,+27.416, +9.591,+0.977
1630620360,+3.45,+27.416, +9.271,+0.976
1630620420,+3.45,+27.416, +9.117,+0.977
1630620480,+3.45,+27.399, +9.130,+0.976
1630620540,+3.45,+27.399, +9.117,+0.977
1630620600,+3.45,+27.425, +9.223,+0.976
1630620660,+3.45,+27.425, +9.333,+0.976
1630620720,+3.45,+27.450, +9.487,+0.978
1630620780,+3.45,+27.459, +9.347,+0.976
1630620840,+3.45,+27.459, +9.480,+0.978
1630620900,+3.45,+27.476, +9.450,+0.977
1630620960,+3.45,+27.484, +9.396,+0.976
1630621020,+3.45,+27.484, +9.419,+0.976
1630621080,+3.45,+27.484, +9.305,+0.977
1630621140,+3.45,+27.450, +9.144,+0.977
1630621200,+3.45,+27.459, +9.163,+0.977
1630621260,+3.45,+27.484, +9.191,+0.977
1630621320,+3.45,+27.476, +9.128,+0.977
1630621380,+3.45,+27.518, +9.248,+0.976
1630621440,+3.45,+27.544, +9.264,+0.977
1630621500,+3.45,+27.569, +9.245,+0.976
1630621560,+3.45,+27.552, +9.253,+0.977
1630621620,+3.45,+27.527, +9.114,+0.977
1630621680,+3.45,+27.510, +9.112,+0.976
1630621740,+3.45,+27.501, +9.067,+0.977
1630621800,+3.45,+27.518, +9.151,+0.977
1630621860,+3.45,+27.484, +9.132,+0.977
1630621920,+3.45,+27.484, +9.231,+0.977
1630621980,+3.45,+27.493, +9.342,+0.977
1630622040,+3.45,+27.459, +9.381,+0.977
1630622100,+3.45,+27.510, +9.489,+0.978
1630622160,+3.45,+27.518, +9.505,+0.977
1630622220,+3.45,+27.552, +9.499,+0.977
1630622280,+3.45,+27.544, +9.479,+0.977
1630622340,+3.45,+27.552, +9.636,+0.977
1630622400,+3.46,+27.612, +9.707,+0.977
1630622460,+3.46,+27.629, +9.620,+0.977
1630622520,+3.46,+27.629, +9.453,+0.977
1630622580,+3.45,+27.544, +9.096,+0.976
1630622640,+3.45,+27.518, +9.005,+0.976
1630622700,+3.45,+27.493, +9.083,+0.977
1630622760,+3.45,+27.467, +9.122,+0.978
1630622820,+3.45,+27.467, +9.101,+0.976
1630622880,+3.45,+27.442, +9.027,+0.976
1630622940,+3.45,+27.433, +9.060,+0.976
1630623000,+3.45,+27.433, +9.099,+0.976
1630623060,+3.45,+27.501, +9.262,+0.977
1630623120,+3.45,+27.578, +9.378,+0.977
1630623180,+3.46,+27.620, +9.559,+0.977
1630623240,+3.46,+27.680, +9.504,+0.977
1630623300,+3.46,+27.705, +9.622,+0.978
1630623360,+3.46,+27.680, +9.585,+0.978
1630623420,+3.46,+27.688, +9.493,+0.979
1630623480,+3.46,+27.705, +9.530,+0.977
1630623540,+3.46,+27.756, +9.660,+0.977
1630623600,+3.46,+27.773, +9.661,+0.977
1630623660,+3.46,+27.816, +9.799,+0.977
1630623720,+3.46,+27.858, +9.848,+0.977
1630623780,+3.46,+27.884, +9.797,+0.978
1630623840,+3.46,+27.858, +9.743,+0.979
1630623900,+3.46,+27.909, +9.766,+0.977
1630623960,+3.46,+27.833, +9.559,+0.978
1630624020,+3.46,+27.807, +9.492,+0.978
1630624080,+3.46,+27.748, +9.390,+0.977
1630624140,+3.46,+27.773, +9.546,+0.977
1630624200,+3.46,+27.790, +9.566,+0.977
1630624260,+3.46,+27.748, +9.502,+0.978
1630624320,+3.46,+27.773, +9.441,+0.977
1630624380,+3.46,+27.722, +9.443,+0.977
1630624440,+3.46,+27.714, +9.430,+0.977
1630624500,+3.46,+27.697, +9.405,+0.977
1630624560,+3.46,+27.722, +9.464,+0.977
1630624620,+3.46,+27.705, +9.442,+0.977
1630624680,+3.46,+27.688, +9.406,+0.977
1630624740,+3.46,+27.671, +9.361,+0.977
1630624800,+3.46,+27.688, +9.450,+0.977
1630624860,+3.46,+27.714, +9.554,+0.978
1630624920,+3.46,+27.688, +9.488,+0.978
1630624980,+3.46,+27.722, +9.534,+0.978
1630625040,+3.46,+27.680, +9.365,+0.977
1630625100,+3.46,+27.637, +9.361,+0.977
1630625160,+3.46,+27.671, +9.376,+0.977
1630625220,+3.46,+27.646, +9.305,+0.977
1630625280,+3.46,+27.620, +9.317,+0.977
1630625340,+3.46,+27.603, +9.194,+0.977
1630625400,+3.45,+27.544, +9.095,+0.976
1630625460,+3.45,+27.510, +9.011,+0.976
1630625520,+3.45,+27.467, +8.919,+0.977
1630625580,+3.45,+27.399, +8.861,+0.976
