Site,Control_Seep,Seep_Code,Date,Salinity
1,Control,A,8/12/2021,36.78
2,Seep,A,,36.69
1,Control,B,,36.81
2,Seep,B,,36.7
1,Control,C,,36.87
1,Seep,C,,36.65
2,Control,C,,11.27
2,Seep,C,,36.58
1,Seep,D,,36.58
1,Control,D,,36.91
2,Control,D,,36.69
2,Seep,D,,36.65
1,Control,E,,36.74
2,Seep,E,,36.64
2,Control,E,,36.63
1,Control,F,,36.64
2,Control,F,,36.68
2,Seep,F,,36.73
1,Seep,G,,36.73
1,Control,G,,36.72
2,Control,G,,36.69
2,Seep,G,,36.59
1,Control,H,,36.82
1,Seep,H,,36.83
2,Control,H,,36.64
2,Seep,H,,36.31
2,Lake,,8/13/2021,2.243
