TrisCalDate,TTris,mVTris,HOBO_Orion
8/3/21,23.417,-80.6,Orion
8/3/21,25.039,-78.6,Orion
8/3/21,24.8,-79,Orion
8/3/21,24.56,-79.4,Orion
8/10/21,23.625,-81.1,Orion
8/10/21,24.69,-80.3,Orion
8/10/21,25.96,-78.5,Orion
8/10/21,25.76,-78.6,Orion
10/26/21,36.06,-69.2,Orion
10/26/21,34.052,-71.8,Orion
10/26/21,32.011,-74.5,Orion
10/26/21,30.016,-77.1,Orion
10/26/21,26.044,-82.4,Orion
10/26/21,24.062,-85.1,Orion
10/26/21,22.043,-87.9,Orion
10/26/21,19.957,-90.6,Orion
10/28/21,21.00,-98.86,HOBO
10/28/21,22.00,-97.86,HOBO
10/28/21,23.00,-96.8,HOBO
10/28/21,24.09,-95.66,HOBO
10/28/21,25.15,-94.57,HOBO
10/28/21,26.98,-92.46,HOBO
10/28/21,28.04,-91.303,HOBO
10/28/21,28.95,-89.92,HOBO
10/28/21,29.95,-88.42,HOBO
10/28/21,31.07,-86.3,HOBO
