"Plot Title: CT_334_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739334, SEN S/N: 20739334)","Temp, °C (LGR S/N: 20739334, SEN S/N: 20739334)","Specific Conductance, μS/cm (LGR S/N: 20739334)","Salinity, ppt (LGR S/N: 20739334)"
1,06/07/21 01:20:00 PM,0.0,23.55,,
2,06/07/21 01:40:00 PM,0.0,23.84,,
3,06/07/21 02:00:00 PM,0.0,23.75,,
4,06/07/21 02:20:00 PM,0.0,23.60,,
5,06/07/21 02:40:00 PM,0.0,23.87,,
6,06/07/21 03:00:00 PM,0.0,25.89,,
7,06/07/21 03:20:00 PM,41164.4,28.66,53785.7,35.5357
8,06/07/21 03:40:00 PM,41641.4,28.83,54241.8,35.8752
9,06/07/21 04:00:00 PM,42351.3,28.75,55256.7,36.6327
10,06/07/21 04:20:00 PM,41589.2,28.69,54327.6,35.9392
11,06/07/21 04:40:00 PM,41570.6,28.66,54339.5,35.9481
12,06/07/21 05:00:00 PM,41507.4,28.61,54313.5,35.9287
13,06/07/21 05:20:00 PM,41507.4,28.55,54380.5,35.9786
14,06/07/21 05:40:00 PM,41388.9,28.46,54322.8,35.9356
15,06/07/21 06:00:00 PM,41403.7,28.40,54409.5,36.0002
16,06/07/21 06:20:00 PM,41385.2,28.35,54442.1,36.0246
17,06/07/21 06:40:00 PM,41322.5,28.27,54447.5,36.0285
18,06/07/21 07:00:00 PM,41322.5,28.20,54525.3,36.0866
19,06/07/21 07:20:00 PM,41278.3,28.13,54544.8,36.1011
20,06/07/21 07:40:00 PM,41234.2,28.07,54554.1,36.1081
21,06/07/21 08:00:00 PM,41226.8,28.01,54612.1,36.1513
22,06/07/21 08:20:00 PM,41208.4,27.95,54655.6,36.1838
23,06/07/21 08:40:00 PM,41175.4,27.88,54690.2,36.2095
24,06/07/21 09:00:00 PM,41204.8,27.84,54776.6,36.2740
25,06/07/21 09:20:00 PM,41116.8,27.81,54696.3,36.2141
26,06/07/21 09:40:00 PM,41124.1,27.78,54742.9,36.2489
27,06/07/21 10:00:00 PM,41138.8,27.78,54768.1,36.2677
28,06/07/21 10:20:00 PM,41113.1,27.77,54749.8,36.2541
29,06/07/21 10:40:00 PM,41135.1,27.78,54774.3,36.2723
30,06/07/21 11:00:00 PM,41113.1,27.78,54750.6,36.2546
31,06/07/21 11:20:00 PM,41113.1,27.78,54756.2,36.2588
32,06/07/21 11:40:00 PM,41131.4,27.78,54786.1,36.2812
33,06/08/21 12:00:00 AM,41160.7,27.78,54830.8,36.3145
34,06/08/21 12:20:00 AM,41149.8,27.79,54811.4,36.3001
35,06/08/21 12:40:00 AM,41135.1,27.82,54766.1,36.2662
36,06/08/21 01:00:00 AM,41131.4,27.83,54756.3,36.2589
37,06/08/21 01:20:00 AM,41142.4,27.84,54766.1,36.2662
