"Plot Title: CT_342_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739342, SEN S/N: 20739342)","Temp, °C (LGR S/N: 20739342, SEN S/N: 20739342)"
1,06/07/21 01:40:00 PM,0.0,24.45
2,06/07/21 02:00:00 PM,0.0,23.93
3,06/07/21 02:20:00 PM,0.0,23.82
4,06/07/21 02:40:00 PM,0.0,24.23
5,06/07/21 03:00:00 PM,0.0,25.88
6,06/07/21 03:20:00 PM,41159.4,28.78
7,06/07/21 03:40:00 PM,41505.7,28.90
8,06/07/21 04:00:00 PM,41549.3,28.87
9,06/07/21 04:20:00 PM,41470.1,28.83
10,06/07/21 04:40:00 PM,41481.9,28.78
11,06/07/21 05:00:00 PM,41410.8,28.73
12,06/07/21 05:20:00 PM,41418.7,28.67
13,06/07/21 05:40:00 PM,41387.1,28.62
14,06/07/21 06:00:00 PM,41363.4,28.57
15,06/07/21 06:20:00 PM,41324.1,28.52
16,06/07/21 06:40:00 PM,41308.3,28.46
17,06/07/21 07:00:00 PM,41269.1,28.41
18,06/07/21 07:20:00 PM,41273.0,28.35
19,06/07/21 07:40:00 PM,41288.7,28.30
20,06/07/21 08:00:00 PM,41265.1,28.27
21,06/07/21 08:20:00 PM,41245.5,28.19
22,06/07/21 08:40:00 PM,41218.1,28.14
23,06/07/21 09:00:00 PM,41182.9,28.04
24,06/07/21 09:20:00 PM,41175.0,27.98
25,06/07/21 09:40:00 PM,41132.1,27.92
26,06/07/21 10:00:00 PM,41120.4,27.86
27,06/07/21 10:20:00 PM,41147.7,27.82
28,06/07/21 10:40:00 PM,41139.9,27.81
29,06/07/21 11:00:00 PM,41085.3,27.79
30,06/07/21 11:20:00 PM,41104.8,27.79
31,06/07/21 11:40:00 PM,41139.9,27.80
32,06/08/21 12:00:00 AM,41089.2,27.80
33,06/08/21 12:20:00 AM,41104.8,27.79
34,06/08/21 12:40:00 AM,41186.8,27.82
35,06/08/21 01:00:00 AM,41143.8,27.84
36,06/08/21 01:20:00 AM,41139.9,27.86
37,06/08/21 01:40:00 AM,41159.4,27.86
38,06/08/21 02:00:00 AM,41139.9,27.89
39,06/08/21 02:20:00 AM,41198.5,27.89
40,06/08/21 02:40:00 AM,41202.4,27.89
41,06/08/21 03:00:00 AM,41186.8,27.89
42,06/08/21 03:20:00 AM,41151.6,27.89
43,06/08/21 03:40:00 AM,41159.4,27.90
44,06/08/21 04:00:00 AM,41151.6,27.89
45,06/08/21 04:20:00 AM,41151.6,27.89
46,06/08/21 04:40:00 AM,41182.9,27.89
47,06/08/21 05:00:00 AM,41167.2,27.87
48,06/08/21 05:20:00 AM,41182.9,27.87
49,06/08/21 05:40:00 AM,41163.3,27.87
50,06/08/21 06:00:00 AM,41179.0,27.85
51,06/08/21 06:20:00 AM,41128.2,27.84
52,06/08/21 06:40:00 AM,41120.4,27.82
53,06/08/21 07:00:00 AM,41143.8,27.84
54,06/08/21 07:20:00 AM,41182.9,27.85
55,06/08/21 07:40:00 AM,41182.9,27.86
56,06/08/21 08:00:00 AM,41151.6,27.87
57,06/08/21 08:20:00 AM,41171.1,27.90
58,06/08/21 08:40:00 AM,41175.0,27.91
59,06/08/21 09:00:00 AM,41190.7,27.91
60,06/08/21 09:20:00 AM,41241.6,27.95
61,06/08/21 09:40:00 AM,41206.3,28.00
62,06/08/21 10:00:00 AM,41253.4,28.03
63,06/08/21 10:20:00 AM,41261.2,28.12
64,06/08/21 10:40:00 AM,40887.5,28.18
65,06/08/21 11:00:00 AM,41050.3,28.28
66,06/08/21 11:20:00 AM,39646.4,28.35
67,06/08/21 11:40:00 AM,38693.0,28.44
68,06/08/21 12:00:00 PM,38445.3,28.52
69,06/08/21 12:20:00 PM,38943.6,28.49
70,06/08/21 12:40:00 PM,39276.0,28.47
71,06/08/21 01:00:00 PM,39236.4,28.53
72,06/08/21 01:20:00 PM,39308.5,28.65
73,06/08/21 01:40:00 PM,39427.8,28.71
74,06/08/21 02:00:00 PM,39369.9,28.76
75,06/08/21 02:20:00 PM,39402.4,28.80
76,06/08/21 02:40:00 PM,39315.7,28.79
77,06/08/21 03:00:00 PM,39312.1,28.73
78,06/08/21 03:20:00 PM,39326.5,28.82
79,06/08/21 03:40:00 PM,39258.0,28.79
80,06/08/21 04:00:00 PM,39168.2,28.74
81,06/08/21 04:20:00 PM,39128.8,28.71
82,06/08/21 04:40:00 PM,39111.0,28.65
83,06/08/21 05:00:00 PM,39168.2,28.60
84,06/08/21 05:20:00 PM,39114.5,28.53
85,06/08/21 05:40:00 PM,39204.1,28.49
86,06/08/21 06:00:00 PM,39204.1,28.42
87,06/08/21 06:20:00 PM,39268.8,28.38
88,06/08/21 06:40:00 PM,39330.1,28.33
89,06/08/21 07:00:00 PM,39420.6,28.29
90,06/08/21 07:20:00 PM,39442.3,28.25
91,06/08/21 07:40:00 PM,39446.0,28.20
92,06/08/21 08:00:00 PM,39449.6,28.14
93,06/08/21 08:20:00 PM,39580.6,28.12
94,06/08/21 08:40:00 PM,39628.1,28.09
95,06/08/21 09:00:00 PM,39653.8,28.08
