"Plot Title: CT_352_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
1,08/02/21 08:40:00 AM,0.0,24.26
2,08/02/21 09:00:00 AM,35331.3,24.49
3,08/02/21 09:20:00 AM,86.1,22.99
4,08/02/21 09:40:00 AM,0.0,25.02
5,08/02/21 10:00:00 AM,0.0,24.41
6,08/02/21 10:20:00 AM,0.0,24.37
7,08/02/21 10:40:00 AM,0.0,24.32
8,08/02/21 11:00:00 AM,38352.8,28.12
9,08/02/21 11:20:00 AM,38340.1,28.18
10,08/02/21 11:40:00 AM,38368.6,28.37
11,08/02/21 12:00:00 PM,38311.6,28.34
12,08/02/21 12:20:00 PM,38352.8,28.50
13,08/02/21 12:40:00 PM,38270.5,28.27
14,08/02/21 01:00:00 PM,38336.9,28.38
15,08/02/21 01:20:00 PM,38295.8,28.29
16,08/02/21 01:40:00 PM,38229.4,28.20
17,08/02/21 02:00:00 PM,38248.4,28.33
18,08/02/21 02:20:00 PM,38197.9,28.23
19,08/02/21 02:40:00 PM,38191.6,28.19
20,08/02/21 03:00:00 PM,38175.9,28.20
21,08/02/21 03:20:00 PM,29342.5,27.09
22,08/02/21 03:40:00 PM,2717.7,25.97
23,08/02/21 04:00:00 PM,2606.5,25.06
24,08/02/21 04:20:00 PM,2308.7,24.22
25,08/02/21 04:40:00 PM,1979.2,23.57
26,08/02/21 05:00:00 PM,1944.0,23.36
27,08/02/21 05:20:00 PM,2134.5,23.37
28,08/02/21 05:40:00 PM,498.3,23.57
29,08/02/21 06:00:00 PM,493.4,22.61
30,08/02/21 06:20:00 PM,487.2,21.88
31,08/02/21 06:40:00 PM,484.7,21.63
32,08/02/21 07:00:00 PM,485.2,21.71
33,08/02/21 07:20:00 PM,487.2,21.91
34,08/02/21 07:40:00 PM,489.6,22.17
35,08/02/21 08:00:00 PM,498.8,22.29
36,08/02/21 08:20:00 PM,513.3,22.43
37,08/02/21 08:40:00 PM,502.6,21.69
38,08/02/21 09:00:00 PM,489.1,20.84
39,08/02/21 09:20:00 PM,496.3,21.37
40,08/02/21 09:40:00 PM,501.7,21.86
41,08/02/21 10:00:00 PM,504.6,22.12
42,08/02/21 10:20:00 PM,500.7,22.38
43,08/02/21 10:40:00 PM,500.7,22.39
44,08/02/21 11:00:00 PM,502.1,22.47
45,08/02/21 11:20:00 PM,502.1,22.52
46,08/02/21 11:40:00 PM,502.6,22.61
47,08/03/21 12:00:00 AM,504.6,22.76
48,08/03/21 12:20:00 AM,501.2,22.59
49,08/03/21 12:40:00 AM,493.9,21.99
50,08/03/21 01:00:00 AM,489.6,21.57
51,08/03/21 01:20:00 AM,485.7,21.19
52,08/03/21 01:40:00 AM,485.7,21.26
53,08/03/21 02:00:00 AM,490.5,21.68
54,08/03/21 02:20:00 AM,493.4,21.98
55,08/03/21 02:40:00 AM,494.4,22.13
56,08/03/21 03:00:00 AM,494.9,22.22
57,08/03/21 03:20:00 AM,495.4,22.29
58,08/03/21 03:40:00 AM,495.4,22.38
59,08/03/21 04:00:00 AM,494.9,22.44
60,08/03/21 04:20:00 AM,493.9,22.47
61,08/03/21 04:40:00 AM,493.4,22.47
62,08/03/21 05:00:00 AM,492.9,22.51
63,08/03/21 05:20:00 AM,492.5,22.59
64,08/03/21 05:40:00 AM,492.5,22.64
65,08/03/21 06:00:00 AM,490.5,22.67
66,08/03/21 06:20:00 AM,489.6,22.66
67,08/03/21 06:40:00 AM,454.9,22.04
68,08/03/21 07:00:00 AM,459.2,23.29
69,08/03/21 07:20:00 AM,472.2,24.29
70,08/03/21 07:40:00 AM,464.0,24.38
71,08/03/21 08:00:00 AM,364.1,24.37
