date,TempInSitu,Lux,Light_Serial
2021-08-12T09:50:00Z,30.11,87695,LUX_20555869
2021-08-12T09:51:00Z,29.81,63304,LUX_20555869
2021-08-12T09:52:00Z,29.6,48517,LUX_20555869
2021-08-12T09:53:00Z,29.47,65004,LUX_20555869
2021-08-12T09:54:00Z,29.38,60867,LUX_20555869
2021-08-12T09:55:00Z,29.3,62689,LUX_20555869
2021-08-12T09:56:00Z,29.26,78725,LUX_20555869
2021-08-12T09:57:00Z,29.21,58020,LUX_20555869
2021-08-12T09:58:00Z,29.21,47124,LUX_20555869
2021-08-12T09:59:00Z,29.21,60109,LUX_20555869
2021-08-12T10:00:00Z,29.17,49172,LUX_20555869
2021-08-12T10:01:00Z,29.21,56136,LUX_20555869
2021-08-12T10:02:00Z,29.21,67891,LUX_20555869
2021-08-12T10:03:00Z,29.21,55194,LUX_20555869
2021-08-12T10:04:00Z,29.21,51364,LUX_20555869
2021-08-12T10:05:00Z,29.26,56300,LUX_20555869
2021-08-12T10:06:00Z,29.26,59249,LUX_20555869
2021-08-12T10:07:00Z,29.26,52265,LUX_20555869
2021-08-12T10:08:00Z,29.34,44155,LUX_20555869
2021-08-12T10:09:00Z,29.08,61338,LUX_20555869
2021-08-12T10:10:00Z,29.3,63980,LUX_20555869
2021-08-12T10:11:00Z,29.3,50729,LUX_20555869
2021-08-12T10:12:00Z,29.38,72888,LUX_20555869
2021-08-12T10:13:00Z,29.38,55439,LUX_20555869
2021-08-12T10:14:00Z,29.43,56054,LUX_20555869
2021-08-12T10:15:00Z,29.43,52613,LUX_20555869
2021-08-12T10:16:00Z,29.43,64717,LUX_20555869
2021-08-12T10:17:00Z,29.47,71762,LUX_20555869
2021-08-12T10:18:00Z,29.56,63160,LUX_20555869
2021-08-12T10:19:00Z,29.51,76288,LUX_20555869
2021-08-12T10:20:00Z,29.51,72663,LUX_20555869
2021-08-12T10:21:00Z,29.47,56893,LUX_20555869
2021-08-12T10:22:00Z,29.51,72397,LUX_20555869
2021-08-12T10:23:00Z,29.51,57815,LUX_20555869
2021-08-12T10:24:00Z,29.56,85565,LUX_20555869
2021-08-12T10:25:00Z,29.51,89211,LUX_20555869
2021-08-12T10:26:00Z,29.56,49562,LUX_20555869
2021-08-12T10:27:00Z,29.64,63304,LUX_20555869
2021-08-12T10:28:00Z,29.64,73421,LUX_20555869
2021-08-12T10:29:00Z,29.68,120504,LUX_20555869
2021-08-12T10:30:00Z,29.77,69284,LUX_20555869
2021-08-12T10:31:00Z,29.73,62259,LUX_20555869
2021-08-12T10:32:00Z,29.68,56730,LUX_20555869
2021-08-12T10:33:00Z,29.68,65454,LUX_20555869
2021-08-12T10:34:00Z,29.73,73974,LUX_20555869
2021-08-12T10:35:00Z,29.77,90276,LUX_20555869
2021-08-12T10:36:00Z,29.73,59392,LUX_20555869
2021-08-12T10:37:00Z,29.77,66314,LUX_20555869
2021-08-12T10:38:00Z,29.77,47309,LUX_20555869
2021-08-12T10:39:00Z,29.77,55788,LUX_20555869
2021-08-12T10:40:00Z,29.86,66355,LUX_20555869
2021-08-12T10:41:00Z,29.86,75366,LUX_20555869
2021-08-12T10:42:00Z,29.9,66662,LUX_20555869
2021-08-12T10:43:00Z,29.86,65618,LUX_20555869
2021-08-12T10:44:00Z,29.86,62956,LUX_20555869
2021-08-12T10:45:00Z,29.9,71188,LUX_20555869
2021-08-12T10:46:00Z,29.9,51220,LUX_20555869
2021-08-12T10:47:00Z,29.94,65802,LUX_20555869
2021-08-12T10:48:00Z,29.94,58491,LUX_20555869
2021-08-12T10:49:00Z,29.98,72786,LUX_20555869
2021-08-12T10:50:00Z,30.07,82842,LUX_20555869
2021-08-12T10:51:00Z,30.16,61747,LUX_20555869
2021-08-12T10:52:00Z,30.11,90644,LUX_20555869
2021-08-12T10:53:00Z,30.07,76841,LUX_20555869
2021-08-12T10:54:00Z,30.07,63693,LUX_20555869
2021-08-12T10:55:00Z,30.07,69980,LUX_20555869
2021-08-12T10:56:00Z,30.07,54354,LUX_20555869
2021-08-12T10:57:00Z,30.16,75674,LUX_20555869
2021-08-12T10:58:00Z,30.2,86344,LUX_20555869
2021-08-12T10:59:00Z,30.16,114483,LUX_20555869
2021-08-12T11:00:00Z,30.2,54866,LUX_20555869
2021-08-12T11:01:00Z,30.2,99860,LUX_20555869
2021-08-12T11:02:00Z,30.2,52838,LUX_20555869
2021-08-12T11:03:00Z,30.16,71107,LUX_20555869
2021-08-12T11:04:00Z,30.2,69980,LUX_20555869
2021-08-12T11:05:00Z,30.24,69816,LUX_20555869
2021-08-12T11:06:00Z,30.24,85238,LUX_20555869
2021-08-12T11:07:00Z,30.2,74260,LUX_20555869
2021-08-12T11:08:00Z,30.28,76390,LUX_20555869
2021-08-12T11:09:00Z,30.28,55255,LUX_20555869
2021-08-12T11:10:00Z,30.33,96461,LUX_20555869
2021-08-12T11:11:00Z,30.33,72090,LUX_20555869
2021-08-12T11:12:00Z,30.33,66580,LUX_20555869
2021-08-12T11:13:00Z,30.41,89006,LUX_20555869
