date,TempInSitu,Lux,Light_Serial
2021-08-13T11:00:00Z,28.05,14879,LUX_20555866
2021-08-13T11:01:00Z,27.97,21002,LUX_20555866
2021-08-13T11:02:00Z,28.23,14449,LUX_20555866
2021-08-13T11:03:00Z,28.48,25088,LUX_20555866
2021-08-13T11:04:00Z,28.4,23828,LUX_20555866
2021-08-13T11:05:00Z,28.44,23869,LUX_20555866
2021-08-13T11:06:00Z,28.53,25815,LUX_20555866
2021-08-13T11:07:00Z,28.61,28580,LUX_20555866
2021-08-13T11:08:00Z,28.74,29174,LUX_20555866
2021-08-13T11:09:00Z,28.83,21412,LUX_20555866
2021-08-13T11:10:00Z,28.7,19169,LUX_20555866
2021-08-13T11:11:00Z,28.83,21893,LUX_20555866
2021-08-13T11:12:00Z,28.57,20398,LUX_20555866
2021-08-13T11:13:00Z,28.31,8535,LUX_20555866
2021-08-13T11:14:00Z,28.35,9938,LUX_20555866
2021-08-13T11:15:00Z,28.74,23194,LUX_20555866
2021-08-13T11:16:00Z,28.83,9882,LUX_20555866
2021-08-13T11:17:00Z,28.35,8394,LUX_20555866
2021-08-13T11:18:00Z,28.53,21944,LUX_20555866
2021-08-13T11:19:00Z,28.53,17019,LUX_20555866
2021-08-13T11:20:00Z,28.61,10593,LUX_20555866
2021-08-13T11:21:00Z,28.48,8105,LUX_20555866
2021-08-13T11:22:00Z,28.27,8000,LUX_20555866
2021-08-13T11:23:00Z,28.27,15468,LUX_20555866
2021-08-13T11:24:00Z,28.65,20265,LUX_20555866
2021-08-13T11:25:00Z,28.7,18872,LUX_20555866
2021-08-13T11:26:00Z,28.7,17157,LUX_20555866
2021-08-13T11:27:00Z,28.78,22190,LUX_20555866
2021-08-13T11:28:00Z,28.7,12047,LUX_20555866
2021-08-13T11:29:00Z,28.78,16415,LUX_20555866
2021-08-13T11:30:00Z,28.78,15544,LUX_20555866
2021-08-13T11:31:00Z,28.74,15816,LUX_20555866
2021-08-13T11:32:00Z,28.74,13983,LUX_20555866
2021-08-13T11:33:00Z,28.65,14182,LUX_20555866
2021-08-13T11:34:00Z,28.74,14280,LUX_20555866
2021-08-13T11:35:00Z,28.61,10409,LUX_20555866
2021-08-13T11:36:00Z,28.57,11679,LUX_20555866
2021-08-13T11:37:00Z,28.7,13445,LUX_20555866
2021-08-13T11:38:00Z,28.74,18002,LUX_20555866
2021-08-13T11:39:00Z,28.87,19174,LUX_20555866
2021-08-13T11:40:00Z,28.91,24115,LUX_20555866
2021-08-13T11:41:00Z,29,19927,LUX_20555866
2021-08-13T11:42:00Z,29.08,20495,LUX_20555866
2021-08-13T11:43:00Z,29.08,22200,LUX_20555866
2021-08-13T11:44:00Z,29.04,22641,LUX_20555866
2021-08-13T11:45:00Z,29.17,25375,LUX_20555866
2021-08-13T11:46:00Z,29.21,24904,LUX_20555866
2021-08-13T11:47:00Z,29.17,25344,LUX_20555866
2021-08-13T11:48:00Z,29.21,22118,LUX_20555866
2021-08-13T11:49:00Z,29.26,23900,LUX_20555866
2021-08-13T11:50:00Z,29.3,23265,LUX_20555866
2021-08-13T11:51:00Z,29.26,28498,LUX_20555866
2021-08-13T11:52:00Z,29.3,22149,LUX_20555866
2021-08-13T11:53:00Z,29.21,21637,LUX_20555866
2021-08-13T11:54:00Z,29.21,19461,LUX_20555866
2021-08-13T11:55:00Z,29.26,20644,LUX_20555866
2021-08-13T11:56:00Z,29.13,17316,LUX_20555866
2021-08-13T11:57:00Z,29.43,25876,LUX_20555866
2021-08-13T11:58:00Z,29,15580,LUX_20555866
2021-08-13T11:59:00Z,29.13,18893,LUX_20555866
2021-08-13T12:00:00Z,29,16430,LUX_20555866
2021-08-13T12:01:00Z,29.08,23398,LUX_20555866
2021-08-13T12:02:00Z,29.3,29266,LUX_20555866
2021-08-13T12:03:00Z,29.3,20818,LUX_20555866
2021-08-13T12:04:00Z,29.51,26624,LUX_20555866
2021-08-13T12:05:00Z,29.6,24596,LUX_20555866
2021-08-13T12:06:00Z,29.51,15370,LUX_20555866
2021-08-13T12:07:00Z,29.34,14408,LUX_20555866
2021-08-13T12:08:00Z,29.17,14531,LUX_20555866
2021-08-13T12:09:00Z,29.04,12524,LUX_20555866
2021-08-13T12:10:00Z,29.04,14408,LUX_20555866
2021-08-13T12:11:00Z,28.95,11018,LUX_20555866
2021-08-13T12:12:00Z,28.91,9989,LUX_20555866
2021-08-13T12:13:00Z,28.83,10030,LUX_20555866
2021-08-13T12:14:00Z,28.83,9828,LUX_20555866
2021-08-13T12:15:00Z,28.78,9756,LUX_20555866
2021-08-13T12:16:00Z,28.83,10557,LUX_20555866
2021-08-13T12:17:00Z,28.91,12319,LUX_20555866
2021-08-13T12:18:00Z,29.04,11679,LUX_20555866
2021-08-13T12:19:00Z,28.91,7662,LUX_20555866
2021-08-13T12:20:00Z,28.87,9111,LUX_20555866
2021-08-13T12:21:00Z,28.87,11110,LUX_20555866
2021-08-13T12:22:00Z,28.91,12257,LUX_20555866
2021-08-13T12:23:00Z,29.34,24494,LUX_20555866
2021-08-13T12:24:00Z,29.43,21514,LUX_20555866
2021-08-13T12:25:00Z,29.47,24852,LUX_20555866
2021-08-13T12:26:00Z,29.17,10248,LUX_20555866
2021-08-13T12:27:00Z,29.08,11141,LUX_20555866
2021-08-13T12:28:00Z,29.04,13041,LUX_20555866
2021-08-13T12:29:00Z,29.3,19318,LUX_20555866
2021-08-13T12:30:00Z,29.3,16195,LUX_20555866
2021-08-13T12:31:00Z,29.26,18191,LUX_20555866
2021-08-13T12:32:00Z,29.26,16829,LUX_20555866
2021-08-13T12:33:00Z,29.38,20419,LUX_20555866
2021-08-13T12:34:00Z,29.38,17434,LUX_20555866
2021-08-13T12:35:00Z,29.34,18739,LUX_20555866
2021-08-13T12:36:00Z,29.17,15590,LUX_20555866
2021-08-13T12:37:00Z,29.3,15606,LUX_20555866
2021-08-13T12:38:00Z,29.3,15340,LUX_20555866
2021-08-13T12:39:00Z,29.17,14208,LUX_20555866
2021-08-13T12:40:00Z,29.3,17551,LUX_20555866
2021-08-13T12:41:00Z,29.21,14618,LUX_20555866
2021-08-13T12:42:00Z,29.26,16942,LUX_20555866
2021-08-13T12:43:00Z,29.26,16041,LUX_20555866
2021-08-13T12:44:00Z,29.21,13834,LUX_20555866
2021-08-13T12:45:00Z,29.17,13937,LUX_20555866
2021-08-13T12:46:00Z,29.21,14551,LUX_20555866
2021-08-13T12:47:00Z,29.17,14679,LUX_20555866
2021-08-13T12:48:00Z,28.95,12186,LUX_20555866
2021-08-13T12:49:00Z,29.04,14126,LUX_20555866
2021-08-13T12:50:00Z,29.08,15816,LUX_20555866
2021-08-13T12:51:00Z,29.13,11341,LUX_20555866
2021-08-13T12:52:00Z,29.13,13716,LUX_20555866
2021-08-13T12:53:00Z,29.3,18760,LUX_20555866
2021-08-13T12:54:00Z,29.26,13850,LUX_20555866
2021-08-13T12:55:00Z,29.3,19302,LUX_20555866
2021-08-13T12:56:00Z,29.26,15662,LUX_20555866
2021-08-13T12:57:00Z,29.21,15867,LUX_20555866
2021-08-13T12:58:00Z,29.34,22456,LUX_20555866
2021-08-13T12:59:00Z,29.51,28365,LUX_20555866
2021-08-13T13:00:00Z,29.73,28201,LUX_20555866
2021-08-13T13:01:00Z,29.56,18033,LUX_20555866
2021-08-13T13:02:00Z,29.43,17004,LUX_20555866
2021-08-13T13:03:00Z,29.21,9841,LUX_20555866
2021-08-13T13:04:00Z,29.21,12943,LUX_20555866
2021-08-13T13:05:00Z,29.21,15324,LUX_20555866
2021-08-13T13:06:00Z,29.17,17306,LUX_20555866
2021-08-13T13:07:00Z,29.21,16829,LUX_20555866
2021-08-13T13:08:00Z,29.04,3255,LUX_20555866
2021-08-13T13:09:00Z,29.13,11776,LUX_20555866
2021-08-13T13:10:00Z,29.21,15908,LUX_20555866
2021-08-13T13:11:00Z,29.17,14868,LUX_20555866
2021-08-13T13:12:00Z,29.08,11756,LUX_20555866
2021-08-13T13:13:00Z,29,2972,LUX_20555866
2021-08-13T13:14:00Z,28.95,8056,LUX_20555866
2021-08-13T13:15:00Z,29,8302,LUX_20555866
2021-08-13T13:16:00Z,28.91,5471,LUX_20555866
2021-08-13T13:17:00Z,28.87,10829,LUX_20555866
2021-08-13T13:18:00Z,28.95,8056,LUX_20555866
2021-08-13T13:19:00Z,28.91,6712,LUX_20555866
2021-08-13T13:20:00Z,28.91,7460,LUX_20555866
2021-08-13T13:21:00Z,28.87,6886,LUX_20555866
2021-08-13T13:22:00Z,28.91,9418,LUX_20555866
2021-08-13T13:23:00Z,29,9188,LUX_20555866
2021-08-13T13:24:00Z,29.04,7368,LUX_20555866
2021-08-13T13:25:00Z,28.87,8568,LUX_20555866
2021-08-13T13:26:00Z,28.83,4165,LUX_20555866
2021-08-13T13:27:00Z,28.74,1473,LUX_20555866
2021-08-13T13:28:00Z,28.95,5972,LUX_20555866
2021-08-13T13:29:00Z,28.74,693,LUX_20555866
2021-08-13T13:30:00Z,28.74,1348,LUX_20555866
2021-08-13T13:31:00Z,28.83,3987,LUX_20555866
2021-08-13T13:32:00Z,28.83,11832,LUX_20555866
2021-08-13T13:33:00Z,29.13,18913,LUX_20555866
