7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1628462940,+3.47,+28.037, +8.774,+0.978
1628463000,+3.47,+28.054, +9.007,+0.978
1628463060,+3.47,+28.071, +9.012,+0.977
1628463120,+3.47,+28.063, +8.834,+0.977
1628463180,+3.47,+28.071, +8.867,+0.978
1628463240,+3.47,+28.097, +8.779,+0.977
1628463300,+3.47,+28.088, +8.849,+0.978
1628463360,+3.47,+28.097, +8.973,+0.977
1628463420,+3.47,+28.114, +8.943,+0.977
1628463480,+3.47,+28.080, +8.873,+0.978
1628463540,+3.47,+28.097, +8.780,+0.978
1628463600,+3.47,+28.105, +8.808,+0.978
1628463660,+3.47,+28.097, +8.719,+0.977
1628463720,+3.47,+28.114, +8.681,+0.977
1628463780,+3.47,+28.114, +8.738,+0.977
1628463840,+3.47,+28.148, +8.973,+0.977
1628463900,+3.47,+28.165, +8.944,+0.977
1628463960,+3.47,+28.199, +8.896,+0.977
1628464020,+3.47,+28.174, +8.808,+0.978
1628464080,+3.47,+28.174, +8.844,+0.977
1628464140,+3.47,+28.199, +8.801,+0.977
1628464200,+3.47,+28.174, +8.640,+0.978
1628464260,+3.47,+28.182, +8.640,+0.977
1628464320,+3.47,+28.174, +8.684,+0.977
1628464380,+3.47,+28.199, +8.793,+0.977
1628464440,+3.47,+28.208, +8.748,+0.977
1628464500,+3.47,+28.216, +8.646,+0.978
1628464560,+3.47,+28.216, +8.805,+0.977
1628464620,+3.47,+28.250, +8.942,+0.977
1628464680,+3.47,+28.225, +8.791,+0.978
1628464740,+3.47,+28.233, +8.688,+0.978
1628464800,+3.47,+28.259, +9.057,+0.978
1628464860,+3.47,+28.285, +9.022,+0.978
1628464920,+3.47,+28.302, +8.980,+0.979
1628464980,+3.47,+28.310, +8.986,+0.978
1628465040,+3.47,+28.302, +8.818,+0.978
1628465100,+3.47,+28.276, +8.677,+0.978
1628465160,+3.47,+28.310, +8.818,+0.979
1628465220,+3.47,+28.319, +9.028,+0.978
1628465280,+3.47,+28.344, +9.038,+0.978
1628465340,+3.47,+28.344, +8.977,+0.978
1628465400,+3.47,+28.327, +8.897,+0.978
1628465460,+3.47,+28.361, +9.063,+0.978
1628465520,+3.47,+28.353, +8.733,+0.977
1628465580,+3.47,+28.319, +8.852,+0.978
1628465640,+3.47,+28.327, +8.725,+0.978
1628465700,+3.47,+28.327, +8.887,+0.978
1628465760,+3.47,+28.336, +8.965,+0.978
1628465820,+3.47,+28.353, +8.988,+0.979
1628465880,+3.47,+28.319, +9.004,+0.978
1628465940,+3.47,+28.327, +9.151,+0.977
1628466000,+3.47,+28.344, +9.093,+0.978
1628466060,+3.47,+28.344, +9.140,+0.978
1628466120,+3.47,+28.336, +8.962,+0.978
1628466180,+3.47,+28.310, +8.827,+0.977
1628466240,+3.47,+28.293, +8.583,+0.978
1628466300,+3.47,+28.293, +8.877,+0.978
1628466360,+3.47,+28.336, +8.993,+0.978
1628466420,+3.47,+28.327, +8.992,+0.978
1628466480,+3.47,+28.319, +8.980,+0.978
1628466540,+3.47,+28.319, +8.952,+0.978
1628466600,+3.47,+28.336, +9.126,+0.978
1628466660,+3.47,+28.353, +9.106,+0.978
1628466720,+3.47,+28.379, +9.271,+0.978
1628466780,+3.47,+28.396, +9.132,+0.979
1628466840,+3.47,+28.387, +8.980,+0.977
1628466900,+3.47,+28.379, +8.789,+0.978
1628466960,+3.47,+28.361, +8.831,+0.978
1628467020,+3.47,+28.361, +8.911,+0.978
1628467080,+3.47,+28.387, +9.145,+0.979
1628467140,+3.47,+28.379, +9.007,+0.978
1628467200,+3.47,+28.387, +8.951,+0.978
1628467260,+3.47,+28.413, +9.255,+0.978
1628467320,+3.47,+28.430, +9.346,+0.978
1628467380,+3.47,+28.387, +8.925,+0.977
1628467440,+3.47,+28.379, +8.960,+0.978
1628467500,+3.47,+28.361, +8.871,+0.978
1628467560,+3.47,+28.379, +8.929,+0.978
1628467620,+3.47,+28.404, +9.026,+0.978
1628467680,+3.47,+28.387, +8.798,+0.977
1628467740,+3.47,+28.344, +8.640,+0.978
1628467800,+3.47,+28.370, +8.990,+0.978
1628467860,+3.47,+28.327, +8.920,+0.978
1628467920,+3.47,+28.336, +8.918,+0.978
1628467980,+3.47,+28.319, +9.016,+0.978
1628468040,+3.47,+28.344, +9.290,+0.979
1628468100,+3.47,+28.336, +9.118,+0.979
1628468160,+3.47,+28.327, +8.988,+0.978
1628468220,+3.47,+28.302, +8.725,+0.978
1628468280,+3.47,+28.319, +8.968,+0.978
1628468340,+3.47,+28.344, +9.149,+0.978
1628468400,+3.47,+28.370, +9.269,+0.978
1628468460,+3.47,+28.379, +9.249,+0.979
1628468520,+3.47,+28.353, +9.173,+0.978
1628468580,+3.47,+28.336, +8.945,+0.978
1628468640,+3.47,+28.336, +9.314,+0.979
1628468700,+3.47,+28.379, +9.332,+0.978
1628468760,+3.47,+28.361, +9.070,+0.978
1628468820,+3.47,+28.361, +9.051,+0.978
1628468880,+3.47,+28.336, +8.960,+0.978
1628468940,+3.47,+28.327, +8.898,+0.977
1628469000,+3.47,+28.319, +8.700,+0.977
1628469060,+3.47,+28.319, +8.926,+0.978
1628469120,+3.47,+28.310, +8.780,+0.978
1628469180,+3.47,+28.276, +8.725,+0.978
1628469240,+3.47,+28.327, +9.145,+0.978
1628469300,+3.47,+28.319, +9.184,+0.979
1628469360,+3.47,+28.353, +9.077,+0.978
1628469420,+3.47,+28.319, +9.112,+0.978
1628469480,+3.47,+28.302, +9.000,+0.978
1628469540,+3.47,+28.336, +9.142,+0.978
1628469600,+3.47,+28.370, +9.246,+0.978
1628469660,+3.47,+28.336, +8.878,+0.978
1628469720,+3.47,+28.310, +8.922,+0.978
1628469780,+3.47,+28.327, +9.042,+0.978
1628469840,+3.47,+28.302, +9.005,+0.979
1628469900,+3.47,+28.293, +8.796,+0.978
1628469960,+3.47,+28.302, +9.212,+0.979
1628470020,+3.47,+28.293, +8.974,+0.977
1628470080,+3.47,+28.285, +8.910,+0.979
1628470140,+3.47,+28.285, +9.014,+0.978
1628470200,+3.47,+28.268, +8.960,+0.978
1628470260,+3.47,+28.276, +9.069,+0.978
1628470320,+3.47,+28.259, +8.869,+0.977
1628470380,+3.47,+28.242, +8.853,+0.978
1628470440,+3.47,+28.259, +8.961,+0.978
1628470500,+3.47,+28.250, +8.830,+0.979
1628470560,+3.47,+28.259, +8.958,+0.978
1628470620,+3.47,+28.259, +8.800,+0.978
1628470680,+3.47,+28.242, +8.827,+0.977
1628470740,+3.47,+28.250, +8.865,+0.977
1628470800,+3.47,+28.250, +8.815,+0.978
1628470860,+3.47,+28.242, +8.883,+0.978
1628470920,+3.47,+28.259, +9.057,+0.977
1628470980,+3.47,+28.250, +8.918,+0.978
1628471040,+3.47,+28.268, +8.999,+0.977
1628471100,+3.47,+28.233, +8.603,+0.977
1628471160,+3.47,+28.216, +8.937,+0.978
1628471220,+3.47,+28.293, +9.238,+0.978
1628471280,+3.47,+28.276, +8.994,+0.978
1628471340,+3.47,+28.233, +8.756,+0.978
1628471400,+3.47,+28.242, +8.792,+0.978
1628471460,+3.47,+28.259, +8.973,+0.978
1628471520,+3.47,+28.259, +8.821,+0.978
1628471580,+3.47,+28.233, +8.821,+0.978
1628471640,+3.47,+28.216, +8.980,+0.978
1628471700,+3.47,+28.233, +8.821,+0.978
1628471760,+3.47,+28.199, +8.672,+0.977
1628471820,+3.47,+28.174, +8.486,+0.977
1628471880,+3.47,+28.140, +8.331,+0.977
1628471940,+3.47,+28.148, +8.631,+0.978
1628472000,+3.47,+28.140, +8.618,+0.978
1628472060,+3.47,+28.165, +8.698,+0.977
1628472120,+3.47,+28.157, +8.753,+0.978
1628472180,+3.47,+28.140, +8.832,+0.977
1628472240,+3.47,+28.148, +8.745,+0.977
1628472300,+3.47,+28.148, +8.575,+0.977
1628472360,+3.47,+28.131, +8.654,+0.978
1628472420,+3.47,+28.131, +8.660,+0.977
1628472480,+3.47,+28.123, +8.679,+0.978
1628472540,+3.47,+28.123, +8.778,+0.978
1628472600,+3.47,+28.114, +8.826,+0.978
1628472660,+3.47,+28.123, +8.838,+0.978
1628472720,+3.47,+28.123, +8.662,+0.977
1628472780,+3.47,+28.114, +8.553,+0.978
1628472840,+3.47,+28.097, +8.665,+0.978
1628472900,+3.47,+28.080, +8.486,+0.977
1628472960,+3.47,+28.097, +8.562,+0.977
1628473020,+3.47,+28.080, +8.532,+0.977
1628473080,+3.47,+28.097, +8.601,+0.978
1628473140,+3.47,+28.131, +8.577,+0.977
1628473200,+3.47,+28.140, +8.825,+0.978
1628473260,+3.47,+28.114, +8.524,+0.978
1628473320,+3.47,+28.140, +8.579,+0.977
1628473380,+3.47,+28.123, +8.625,+0.977
1628473440,+3.47,+28.140, +8.688,+0.977
1628473500,+3.47,+28.131, +8.354,+0.977
1628473560,+3.47,+28.105, +8.442,+0.978
1628473620,+3.47,+28.114, +8.387,+0.977
1628473680,+3.47,+28.097, +8.340,+0.977
1628473740,+3.47,+28.105, +8.234,+0.978
1628473800,+3.47,+28.080, +8.308,+0.977
