"PreSens Measurement Studio 2","4.0.0.2323",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"08/20/2022","16:16:01","9","default","11256939","Oxy_09","0.000","min","102.657","%a.s.","Humid","20.904","deg","121265","µV","27.550","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238421.99","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:02","9","default","11256939","Oxy_09","0.019","min","102.652","%a.s.","Humid","20.903","deg","121248","µV","27.563","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238393.06","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:03","9","default","11256939","Oxy_09","0.035","min","102.669","%a.s.","Humid","20.901","deg","121241","µV","27.564","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238378.07","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:04","9","default","11256939","Oxy_09","0.052","min","102.615","%a.s.","Humid","20.907","deg","121214","µV","27.564","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238357.40","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:05","9","default","11256939","Oxy_09","0.068","min","102.646","%a.s.","Humid","20.903","deg","121202","µV","27.569","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238346.35","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:06","9","default","11256939","Oxy_09","0.085","min","102.660","%a.s.","Humid","20.902","deg","121194","µV","27.564","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238346.34","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:07","9","default","11256939","Oxy_09","0.102","min","102.660","%a.s.","Humid","20.902","deg","121202","µV","27.564","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238329.71","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:08","9","default","11256939","Oxy_09","0.118","min","102.668","%a.s.","Humid","20.902","deg","121190","µV","27.556","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238320.05","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:09","9","default","11256939","Oxy_09","0.135","min","102.672","%a.s.","Humid","20.902","deg","121201","µV","27.553","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238323.44","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
"08/20/2022","16:16:10","9","default","11256939","Oxy_09","0.152","min","102.622","%a.s.","Humid","20.907","deg","121204","µV","27.557","°C","1017.000","hPa","36.4","pmil","0","55.400","deg","20.000","°C","100.000","%a.s.","22.630","deg","20.000","°C","972.000","hPa","0.816","-0.01371","0.000397","-0.00013","0","10.11","Humid","22.75","0","51.00","238323.51","SABD0000000001","AAV1.0.0.11","4.0.0.2323","PSt7-10","191107-136","7/29/2022 11:32:58 AM","0000-00","0","no battery","V","","µV","","µV"
