date,TempInSitu,Lux,Light_Serial
2022-08-22T13:00:00Z,26.81,13676,LUX_858
2022-08-22T13:02:00Z,26.77,27914,LUX_858
2022-08-22T13:04:00Z,26.77,14054,LUX_858
2022-08-22T13:06:00Z,26.85,18304,LUX_858
2022-08-22T13:08:00Z,26.85,23818,LUX_858
2022-08-22T13:10:00Z,26.9,23009,LUX_858
2022-08-22T13:12:00Z,26.98,26614,LUX_858
2022-08-22T13:14:00Z,26.94,32584,LUX_858
2022-08-22T13:16:00Z,26.94,25047,LUX_858
2022-08-22T13:18:00Z,26.98,16087,LUX_858
2022-08-22T13:20:00Z,27.02,14705,LUX_858
2022-08-22T13:22:00Z,27.02,36669,LUX_858
2022-08-22T13:24:00Z,27.07,33147,LUX_858
2022-08-22T13:26:00Z,27.07,26409,LUX_858
2022-08-22T13:28:00Z,27.07,30607,LUX_858
2022-08-22T13:30:00Z,27.11,15549,LUX_858
2022-08-22T13:32:00Z,27.11,24013,LUX_858
2022-08-22T13:34:00Z,27.15,14167,LUX_858
2022-08-22T13:36:00Z,27.15,32717,LUX_858
2022-08-22T13:38:00Z,27.15,18156,LUX_858
2022-08-22T13:40:00Z,27.24,21340,LUX_858
2022-08-22T13:42:00Z,27.24,18744,LUX_858
2022-08-22T13:44:00Z,27.28,34284,LUX_858
2022-08-22T13:46:00Z,27.32,25211,LUX_858
2022-08-22T13:48:00Z,27.32,21955,LUX_858
2022-08-22T13:50:00Z,27.24,22344,LUX_858
2022-08-22T13:52:00Z,27.2,10696,LUX_858
2022-08-22T13:54:00Z,27.15,10138,LUX_858
2022-08-22T13:56:00Z,27.02,8901,LUX_858
2022-08-22T13:58:00Z,26.98,8696,LUX_858
2022-08-22T14:00:00Z,27.07,10680,LUX_858
2022-08-22T14:02:00Z,27.11,18412,LUX_858
2022-08-22T14:04:00Z,26.81,6938,LUX_858
2022-08-22T14:06:00Z,26.81,5622,LUX_858
2022-08-22T14:08:00Z,27.15,17091,LUX_858
2022-08-22T14:10:00Z,27.28,42865,LUX_858
2022-08-22T14:12:00Z,27.32,28191,LUX_858
2022-08-22T14:14:00Z,27.32,26941,LUX_858
2022-08-22T14:16:00Z,27.45,27884,LUX_858
2022-08-22T14:18:00Z,27.5,29972,LUX_858
2022-08-22T14:20:00Z,27.32,15309,LUX_858
2022-08-22T14:22:00Z,27.15,10235,LUX_858
2022-08-22T14:24:00Z,27.45,36762,LUX_858
2022-08-22T14:26:00Z,27.37,30034,LUX_858
2022-08-22T14:28:00Z,27.15,8218,LUX_858
2022-08-22T14:30:00Z,27.5,28570,LUX_858
2022-08-22T14:32:00Z,27.24,10557,LUX_858
2022-08-22T14:34:00Z,27.15,24095,LUX_858
2022-08-22T14:36:00Z,27.2,9098,LUX_858
2022-08-22T14:38:00Z,27.5,27023,LUX_858
2022-08-22T14:40:00Z,27.45,24003,LUX_858
2022-08-22T14:42:00Z,27.2,7552,LUX_858
2022-08-22T14:44:00Z,27.2,14300,LUX_858
2022-08-22T14:46:00Z,27.32,31048,LUX_858
2022-08-22T14:48:00Z,27.45,24924,LUX_858
2022-08-22T14:50:00Z,27.63,17290,LUX_858
2022-08-22T14:52:00Z,27.75,28733,LUX_858
2022-08-22T14:54:00Z,27.71,26245,LUX_858
2022-08-22T14:56:00Z,27.67,22118,LUX_858
2022-08-22T14:58:00Z,27.54,21217,LUX_858
2022-08-22T15:00:00Z,27.5,15974,LUX_858
2022-08-22T15:02:00Z,27.45,33546,LUX_858
2022-08-22T15:04:00Z,27.58,24965,LUX_858
2022-08-22T15:06:00Z,27.45,20797,LUX_858
2022-08-22T15:08:00Z,27.37,7913,LUX_858
2022-08-22T15:10:00Z,27.58,37059,LUX_858
2022-08-22T15:12:00Z,27.5,6953,LUX_858
2022-08-22T15:14:00Z,27.63,24596,LUX_858
2022-08-22T15:16:00Z,27.5,27873,LUX_858
2022-08-22T15:18:00Z,27.67,16737,LUX_858
2022-08-22T15:20:00Z,27.71,21350,LUX_858
