date,E_Conductivity,TempInSitu,Serial,AbsPressure_bar,Sp_Conductance,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-12T15:46:00Z,35924.4,23.54,319,0,48739.126530612244,48.739126530612246,32.86353380482866
2021-01-12T15:46:10Z,35835,23.55,319,0,48649.72653061224,48.64972653061224,32.788570726531475
2021-01-12T15:46:20Z,35805.3,23.55,319,0,48620.026530612246,48.62002653061224,32.76613548630697
2021-01-12T15:46:30Z,35749.3,23.55,319,0,48564.026530612246,48.564026530612246,32.72383975520634
2021-01-12T15:46:40Z,35752.6,23.54,319,0,48567.32653061224,48.56732653061224,32.73371848387974
2021-01-12T15:46:50Z,35716.5,23.54,319,0,48531.22653061224,48.531226530612244,32.706450663114694
2021-01-12T15:47:00Z,35729.6,23.54,319,0,48544.32653061224,48.544326530612246,32.71634523176424
2021-01-12T15:47:10Z,35700,23.54,319,0,48514.72653061224,48.51472653061224,32.6939886906547
2021-01-12T15:47:20Z,35683.6,23.54,319,0,48498.32653061224,48.49832653061224,32.68160296581329
2021-01-12T15:47:30Z,35667.3,23.54,319,0,48482.026530612246,48.482026530612245,32.66929347547406
2021-01-12T15:47:40Z,35637.8,23.54,319,0,48452.526530612246,48.452526530612246,32.64701736786617
2021-01-12T15:47:50Z,35680.4,23.53,319,0,48495.126530612244,48.49512653061225,32.68656301698443
2021-01-12T15:48:00Z,35654.2,23.53,319,0,48468.92653061224,48.468926530612244,32.666773208488856
2021-01-12T15:48:10Z,35664,23.53,319,0,48478.72653061224,48.47872653061224,32.67417528856305
2021-01-12T15:48:20Z,35605.1,23.53,319,0,48419.82653061224,48.41982653061224,32.629691140308815
2021-01-12T15:48:30Z,35608.4,23.53,319,0,48423.126530612244,48.423126530612244,32.632183215877006
2021-01-12T15:48:40Z,35601.8,23.53,319,0,48416.526530612246,48.416526530612245,32.627199093840254
2021-01-12T15:48:50Z,35579,23.53,319,0,48393.72653061224,48.39372653061224,32.60998211332464
2021-01-12T15:49:00Z,35608.4,23.52,319,0,48423.126530612244,48.423126530612244,32.639550101717425
2021-01-12T15:49:10Z,35605.1,23.52,319,0,48419.82653061224,48.41982653061224,32.6370574502098
2021-01-12T15:49:20Z,35579,23.52,319,0,48393.72653061224,48.39372653061224,32.61734386840749
2021-01-12T15:49:30Z,35592,23.52,319,0,48406.72653061224,48.40672653061225,32.62716266621195
2021-01-12T15:49:40Z,35588.8,23.52,319,0,48403.526530612246,48.40352653061225,32.62474568945312
2021-01-12T15:49:50Z,35565.9,23.51,319,0,48380.626530612244,48.38062653061225,32.614812221220504
