date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-15T08:42:10Z,43725.4,23.47,318,53351.47023247188,NA,NA,NA,NA,NA,0,53351.47023247188,53.35147023247188,NA
2021-01-15T08:42:20Z,43038.6,23.47,318,52513.472415284115,NA,NA,NA,NA,NA,5.370569280343716e-4,52513.47295234104,52.51347295234104,NA
2021-01-15T08:42:30Z,42614.6,23.48,318,51996.12955784729,NA,NA,NA,NA,NA,0.0010741138560687433,51996.13063196115,51.99613063196115,NA
2021-01-15T08:42:40Z,42270.7,23.48,318,51576.52057512908,NA,NA,NA,NA,NA,0.001611170784103115,51576.52218629986,51.57652218629986,NA
2021-01-15T08:42:50Z,42077.8,23.48,318,51341.1539779603,NA,NA,NA,NA,NA,0.0021482277121374865,51341.15612618801,51.34115612618801,NA
2021-01-15T08:43:00Z,41851.2,23.47,318,51064.66838481127,NA,NA,NA,NA,NA,0.0026852846401718583,51064.671070095916,51.06467107009592,NA
2021-01-15T08:43:10Z,41680.1,23.47,318,50855.90101946354,NA,NA,NA,NA,NA,0.00322234156820623,50855.90424180511,50.85590424180511,NA
2021-01-15T08:43:20Z,41528.8,23.47,318,50671.29258943951,NA,NA,NA,NA,NA,0.0037593984962406013,50671.296348838005,50.671296348838005,NA
2021-01-15T08:43:30Z,41381.4,23.47,318,50491.44273758529,NA,NA,NA,NA,NA,0.004296455424274973,50491.44703404071,50.49144703404072,NA
2021-01-15T08:43:40Z,41278.4,23.46,318,50365.7674679721,NA,NA,NA,NA,NA,0.004833512352309345,50365.77230148445,50.365772301484455,NA
2021-01-15T08:43:50Z,41194.4,23.46,318,50263.27501508367,NA,NA,NA,NA,NA,0.0053705692803437165,50263.28038565295,50.26328038565295,NA
