"Plot Title: SGD_012121_331_Cal"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739331, SEN S/N: 20739331)","Temp, °C (LGR S/N: 20739331, SEN S/N: 20739331)"
1,01/21/21 10:54:00 AM,0.0,23.18
2,01/21/21 10:55:00 AM,0.0,23.21
3,01/21/21 10:56:00 AM,0.0,23.25
4,01/21/21 10:57:00 AM,0.0,23.29
5,01/21/21 10:58:00 AM,0.0,23.33
6,01/21/21 10:59:00 AM,0.0,23.35
7,01/21/21 11:00:00 AM,0.0,23.38
8,01/21/21 11:01:00 AM,0.0,23.40
9,01/21/21 11:02:00 AM,0.0,23.41
10,01/21/21 11:03:00 AM,0.0,23.44
11,01/21/21 11:04:00 AM,0.0,23.46
12,01/21/21 11:05:00 AM,0.0,23.48
13,01/21/21 11:06:00 AM,0.0,23.50
14,01/21/21 11:07:00 AM,0.0,23.51
15,01/21/21 11:08:00 AM,0.0,23.53
16,01/21/21 11:09:00 AM,0.0,23.55
17,01/21/21 11:10:00 AM,0.0,23.56
18,01/21/21 11:11:00 AM,0.0,23.59
19,01/21/21 11:12:00 AM,0.0,23.61
20,01/21/21 11:13:00 AM,0.0,23.64
21,01/21/21 11:14:00 AM,0.0,23.65
22,01/21/21 11:15:00 AM,0.0,23.68
23,01/21/21 11:16:00 AM,0.0,23.70
24,01/21/21 11:17:00 AM,1413.5,23.20
25,01/21/21 11:18:00 AM,1396.9,23.19
26,01/21/21 11:19:00 AM,1398.1,23.13
27,01/21/21 11:20:00 AM,1401.6,23.10
28,01/21/21 11:21:00 AM,1404.0,23.09
29,01/21/21 11:22:00 AM,1403.4,23.08
30,01/21/21 11:23:00 AM,1402.2,23.06
31,01/21/21 11:24:00 AM,1402.2,23.06
32,01/21/21 11:25:00 AM,1405.8,23.06
33,01/21/21 11:26:00 AM,1413.5,23.06
34,01/21/21 11:27:00 AM,1418.2,23.06
35,01/21/21 11:28:00 AM,1418.8,23.06
36,01/21/21 11:29:00 AM,1417.6,23.05
37,01/21/21 11:30:00 AM,1415.9,23.06
38,01/21/21 11:31:00 AM,1413.5,23.05
39,01/21/21 11:32:00 AM,1411.1,23.06
40,01/21/21 11:33:00 AM,1409.3,23.05
41,01/21/21 11:34:00 AM,1408.2,23.06
42,01/21/21 11:35:00 AM,1406.4,23.06
43,01/21/21 11:36:00 AM,1404.6,23.06
44,01/21/21 11:37:00 AM,1403.4,23.05
45,01/21/21 11:38:00 AM,1401.6,23.06
46,01/21/21 11:39:00 AM,1401.0,23.05
47,01/21/21 11:40:00 AM,1399.9,23.05
48,01/21/21 11:41:00 AM,1398.7,23.05
49,01/21/21 11:42:00 AM,1398.1,23.05
50,01/21/21 11:43:00 AM,1397.5,23.05
51,01/21/21 11:44:00 AM,1397.5,23.05
52,01/21/21 11:45:00 AM,1396.9,23.05
53,01/21/21 11:46:00 AM,1396.9,23.05
54,01/21/21 11:47:00 AM,1396.3,23.04
55,01/21/21 11:48:00 AM,1389.2,23.05
56,01/21/21 11:49:00 AM,1388.0,23.05
57,01/21/21 11:50:00 AM,1387.5,23.05
58,01/21/21 11:51:00 AM,1386.9,23.05
59,01/21/21 11:52:00 AM,0.0,23.08
60,01/21/21 11:53:00 AM,35288.8,23.06
61,01/21/21 11:54:00 AM,35266.3,23.05
62,01/21/21 11:55:00 AM,35224.6,23.05
63,01/21/21 11:56:00 AM,35224.6,23.05
64,01/21/21 11:57:00 AM,35221.4,23.04
65,01/21/21 11:58:00 AM,35247.1,23.04
66,01/21/21 11:59:00 AM,35224.6,23.04
67,01/21/21 12:00:00 PM,35208.6,23.04
68,01/21/21 12:01:00 PM,35237.4,23.04
69,01/21/21 12:02:00 PM,35243.8,23.04
70,01/21/21 12:03:00 PM,35224.6,23.03
71,01/21/21 12:04:00 PM,35234.2,23.03
72,01/21/21 12:05:00 PM,35234.2,23.03
73,01/21/21 12:06:00 PM,35215.0,23.03
74,01/21/21 12:07:00 PM,35256.7,23.03
75,01/21/21 12:08:00 PM,35259.9,23.03
76,01/21/21 12:09:00 PM,35250.3,23.01
77,01/21/21 12:10:00 PM,35272.7,23.01
78,01/21/21 12:11:00 PM,35247.1,23.01
79,01/21/21 12:12:00 PM,35272.7,23.01
80,01/21/21 12:13:00 PM,35275.9,23.00
81,01/21/21 12:14:00 PM,35240.6,23.00
82,01/21/21 12:15:00 PM,35311.3,22.99
83,01/21/21 12:16:00 PM,35324.2,22.99
84,01/21/21 12:17:00 PM,35324.2,22.99
85,01/21/21 12:18:00 PM,35337.1,22.98
86,01/21/21 12:19:00 PM,35333.9,22.98
87,01/21/21 12:20:00 PM,35343.5,22.98
88,01/21/21 12:21:00 PM,35340.3,22.96
89,01/21/21 12:22:00 PM,35362.9,22.96
90,01/21/21 12:23:00 PM,35359.6,22.95
91,01/21/21 12:24:00 PM,35343.5,22.95
92,01/21/21 12:25:00 PM,35346.7,22.94
93,01/21/21 12:26:00 PM,35395.2,22.94
94,01/21/21 12:27:00 PM,35359.6,22.93
95,01/21/21 12:28:00 PM,35385.5,22.93
96,01/21/21 12:29:00 PM,35369.3,22.91
97,01/21/21 12:30:00 PM,35379.0,22.91
98,01/21/21 12:31:00 PM,35388.7,22.91
99,01/21/21 12:32:00 PM,35411.3,22.90
100,01/21/21 12:33:00 PM,35375.8,22.90
101,01/21/21 12:34:00 PM,35366.1,22.90
102,01/21/21 12:35:00 PM,35379.0,22.90
103,01/21/21 12:36:00 PM,35366.1,22.90
104,01/21/21 12:37:00 PM,35366.1,22.90
105,01/21/21 12:38:00 PM,35388.7,22.89
106,01/21/21 12:39:00 PM,35369.3,22.89
107,01/21/21 12:40:00 PM,35359.6,22.89
108,01/21/21 12:41:00 PM,35350.0,22.89
109,01/21/21 12:42:00 PM,35388.7,22.89
110,01/21/21 12:43:00 PM,35369.3,22.89
111,01/21/21 12:44:00 PM,35408.1,22.87
112,01/21/21 12:45:00 PM,35408.1,22.87
113,01/21/21 12:46:00 PM,35395.2,22.87
114,01/21/21 12:47:00 PM,35440.5,22.87
115,01/21/21 12:48:00 PM,35424.3,22.87
116,01/21/21 12:49:00 PM,35463.2,22.87
117,01/21/21 12:50:00 PM,35434.0,22.87
118,01/21/21 12:51:00 PM,35447.0,22.87
119,01/21/21 12:52:00 PM,35437.2,22.86
120,01/21/21 12:53:00 PM,35434.0,22.87
121,01/21/21 12:54:00 PM,35434.0,22.87
122,01/21/21 12:55:00 PM,35443.7,22.86
123,01/21/21 12:56:00 PM,35443.7,22.86
124,01/21/21 12:57:00 PM,35408.1,22.87
125,01/21/21 12:58:00 PM,35434.0,22.86
126,01/21/21 12:59:00 PM,35440.5,22.87
127,01/21/21 01:00:00 PM,35466.4,22.86
