"Plot Title: SGD_011321_354"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739354, SEN S/N: 20739354)","Temp, °C (LGR S/N: 20739354, SEN S/N: 20739354)"
1,01/13/21 08:22:00 AM,0.0,23.83
2,01/13/21 08:22:10 AM,0.0,23.99
3,01/13/21 08:22:20 AM,0.0,23.92
4,01/13/21 08:22:30 AM,0.0,23.92
5,01/13/21 08:22:40 AM,0.0,23.95
6,01/13/21 08:22:50 AM,0.0,23.99
7,01/13/21 08:23:00 AM,0.0,24.02
8,01/13/21 08:23:10 AM,0.0,24.07
9,01/13/21 08:23:20 AM,0.0,24.11
10,01/13/21 08:23:30 AM,0.0,24.14
11,01/13/21 08:23:40 AM,0.0,24.18
12,01/13/21 08:23:50 AM,0.0,24.19
13,01/13/21 08:24:00 AM,0.0,24.23
14,01/13/21 08:24:10 AM,0.0,24.39
15,01/13/21 08:24:20 AM,0.0,24.35
16,01/13/21 08:24:30 AM,0.0,24.35
17,01/13/21 08:24:40 AM,0.0,24.35
18,01/13/21 08:24:50 AM,0.0,24.38
19,01/13/21 08:25:00 AM,0.0,24.40
20,01/13/21 08:25:10 AM,0.0,24.41
21,01/13/21 08:25:20 AM,0.0,24.49
22,01/13/21 08:25:30 AM,0.0,24.51
23,01/13/21 08:25:40 AM,0.0,24.55
24,01/13/21 08:25:50 AM,0.0,24.57
25,01/13/21 08:26:00 AM,0.0,24.57
26,01/13/21 08:26:10 AM,0.0,24.78
27,01/13/21 08:26:20 AM,0.0,24.95
28,01/13/21 08:26:30 AM,0.0,25.09
29,01/13/21 08:26:40 AM,0.0,24.97
30,01/13/21 08:26:50 AM,0.0,24.93
31,01/13/21 08:27:00 AM,0.0,24.93
32,01/13/21 08:27:10 AM,0.0,24.93
33,01/13/21 08:27:20 AM,0.0,24.93
34,01/13/21 08:27:30 AM,0.0,24.94
35,01/13/21 08:27:40 AM,0.0,24.95
36,01/13/21 08:27:50 AM,0.0,24.95
37,01/13/21 08:28:00 AM,0.0,24.95
38,01/13/21 08:28:10 AM,0.0,24.95
39,01/13/21 08:28:20 AM,0.0,24.97
40,01/13/21 08:28:30 AM,0.0,24.97
41,01/13/21 08:28:40 AM,0.0,24.95
42,01/13/21 08:28:50 AM,0.0,24.95
43,01/13/21 08:29:00 AM,0.0,24.94
44,01/13/21 08:29:10 AM,0.0,24.97
45,01/13/21 08:29:20 AM,0.0,24.93
46,01/13/21 08:29:30 AM,0.0,24.90
47,01/13/21 08:29:40 AM,0.0,24.88
48,01/13/21 08:29:50 AM,0.0,24.87
49,01/13/21 08:30:00 AM,0.0,24.84
50,01/13/21 08:30:10 AM,0.0,24.86
51,01/13/21 08:30:20 AM,0.0,24.95
52,01/13/21 08:30:30 AM,0.0,24.89
53,01/13/21 08:30:40 AM,0.0,24.87
54,01/13/21 08:30:50 AM,0.0,24.83
55,01/13/21 08:31:00 AM,0.0,24.82
56,01/13/21 08:31:10 AM,0.0,24.81
57,01/13/21 08:31:20 AM,0.0,24.81
58,01/13/21 08:31:30 AM,0.0,24.81
59,01/13/21 08:31:40 AM,0.0,24.81
60,01/13/21 08:31:50 AM,0.0,24.79
