7450-646496
OS REV: 1.05 Sensor Cal: 1573749572
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1678650420,+2.71,+28.853,+20.309,+0.922
1678650540,+2.71,+28.879,+20.944,+0.922
1678650660,+2.71,+28.879,+19.953,+0.921
1678650780,+2.71,+28.913,+19.341,+0.921
1678650900,+2.71,+28.921,+20.470,+0.920
1678651020,+2.71,+28.956,+20.291,+0.921
1678651140,+2.71,+28.956,+20.069,+0.921
1678651260,+2.71,+28.973,+19.565,+0.926
1678651380,+2.71,+28.990,+18.996,+0.924
1678651500,+2.71,+29.016,+19.982,+0.920
1678651620,+2.71,+29.033,+19.457,+0.923
1678651740,+2.71,+29.059,+20.098,+0.923
1678651860,+2.71,+29.093,+20.236,+0.922
1678651980,+2.71,+29.093,+20.456,+0.923
1678652100,+2.71,+29.127,+20.921,+0.924
1678652220,+2.71,+29.153,+21.305,+0.919
1678652340,+2.71,+29.161,+21.088,+0.921
1678652460,+2.71,+29.196,+20.962,+0.917
1678652580,+2.71,+29.204,+21.457,+0.921
1678652700,+2.71,+29.230,+21.511,+0.922
1678652820,+2.71,+29.247,+20.848,+0.922
1678652940,+2.71,+29.264,+20.162,+0.923
1678653060,+2.71,+29.282,+21.132,+0.924
1678653180,+2.71,+29.316,+21.644,+0.923
1678653300,+2.71,+29.325,+21.000,+0.920
1678653420,+2.71,+29.359,+22.689,+0.918
1678653540,+2.71,+29.376,+22.244,+0.920
1678653660,+2.71,+29.385,+22.312,+0.920
1678653780,+2.71,+29.402,+21.296,+0.924
1678653900,+2.71,+29.453,+22.726,+0.919
1678654020,+2.71,+29.436,+21.430,+0.918
1678654140,+2.71,+29.462,+21.110,+0.919
1678654260,+2.71,+29.471,+20.456,+0.923
1678654380,+2.71,+29.479,+20.043,+0.918
1678654500,+2.71,+29.496,+19.689,+0.925
1678654620,+2.71,+29.514,+20.200,+0.920
1678654740,+2.71,+29.548,+19.951,+0.922
1678654860,+2.71,+29.548,+21.253,+0.921
1678654980,+2.71,+29.557,+19.752,+0.924
1678655100,+2.71,+29.565,+19.709,+0.919
1678655220,+2.71,+29.591,+20.306,+0.918
1678655340,+2.71,+29.591,+20.100,+0.920
1678655460,+2.71,+29.625,+20.142,+0.920
1678655580,+2.71,+29.634,+19.868,+0.919
1678655700,+2.71,+29.651,+19.065,+0.921
1678655820,+2.71,+29.660,+20.458,+0.918
1678655940,+2.71,+29.703,+20.150,+0.919
1678656060,+2.71,+29.720,+20.372,+0.920
1678656180,+2.71,+29.720,+20.327,+0.922
1678656300,+2.71,+29.746,+20.472,+0.920
1678656420,+2.71,+29.763,+21.153,+0.923
1678656540,+2.71,+29.772,+20.578,+0.923
1678656660,+2.71,+29.780,+20.684,+0.921
1678656780,+2.71,+29.815,+20.954,+0.921
1678656900,+2.71,+29.815,+20.695,+0.920
1678657020,+2.71,+29.832,+20.544,+0.918
1678657140,+2.71,+29.832,+20.025,+0.921
1678657260,+2.71,+29.867,+21.392,+0.918
1678657380,+2.71,+29.867,+21.472,+0.921
1678657500,+2.71,+29.892,+21.025,+0.919
1678657620,+2.71,+29.910,+21.082,+0.921
1678657740,+2.71,+29.927,+21.373,+0.919
1678657860,+2.71,+29.927,+20.850,+0.919
1678657980,+2.71,+29.944,+20.626,+0.923
1678658100,+2.71,+29.953,+21.120,+0.923
1678658220,+2.71,+29.987,+21.859,+0.919
1678658340,+2.71,+30.005,+20.956,+0.920
1678658460,+2.71,+30.005,+21.417,+0.922
1678658580,+2.71,+30.013,+22.216,+0.915
1678658700,+2.71,+30.039,+22.012,+0.921
1678658820,+2.71,+30.065,+22.569,+0.918
1678658940,+2.71,+30.056,+22.039,+0.920
1678659060,+2.71,+30.108,+23.444,+0.916
1678659180,+2.71,+30.099,+22.295,+0.921
1678659300,+2.71,+30.125,+23.149,+0.920
1678659420,+2.71,+30.134,+22.668,+0.919
1678659540,+2.71,+30.143,+22.218,+0.918
1678659660,+2.71,+30.169,+23.329,+0.917
1678659780,+2.71,+30.160,+22.224,+0.921
1678659900,+2.71,+30.160,+21.960,+0.916
1678660020,+2.71,+30.194,+21.544,+0.921
1678660140,+2.71,+30.203,+23.003,+0.924
1678660260,+2.71,+30.194,+22.071,+0.919
1678660380,+2.71,+30.229,+21.789,+0.922
1678660500,+2.71,+30.246,+23.010,+0.925
1678660620,+2.71,+30.255,+21.581,+0.923
1678660740,+2.71,+30.272,+22.424,+0.919
1678660860,+2.71,+30.281,+22.849,+0.919
1678660980,+2.71,+30.315,+21.604,+0.921
1678661100,+2.71,+30.307,+20.451,+0.924
1678661220,+2.71,+30.359,+22.368,+0.921
1678661340,+2.71,+30.367,+21.216,+0.920
1678661460,+2.71,+30.385,+21.539,+0.922
1678661580,+2.71,+30.385,+21.151,+0.921
1678661700,+2.71,+30.402,+21.574,+0.918
1678661820,+2.71,+30.411,+22.744,+0.921
1678661940,+2.71,+30.419,+21.936,+0.921
1678662060,+2.71,+30.402,+22.235,+0.921
1678662180,+2.71,+30.428,+21.530,+0.925
1678662300,+2.71,+30.436,+22.717,+0.915
1678662420,+2.71,+30.454,+21.736,+0.921
1678662540,+2.71,+30.462,+22.576,+0.918
1678662660,+2.71,+30.480,+22.010,+0.918
1678662780,+2.71,+30.454,+21.371,+0.918
1678662900,+2.71,+30.488,+22.499,+0.914
1678663020,+2.71,+30.523,+22.910,+0.917
1678663140,+2.71,+30.514,+22.460,+0.915
1678663260,+2.71,+30.523,+22.344,+0.917
1678663380,+2.71,+30.540,+22.688,+0.920
1678663500,+2.71,+30.566,+23.481,+0.920
1678663620,+2.71,+30.558,+22.403,+0.918
1678663740,+2.71,+30.549,+22.726,+0.916
1678663860,+2.71,+30.549,+22.677,+0.918
1678663980,+2.71,+30.575,+23.162,+0.916
1678664100,+2.71,+30.592,+23.238,+0.917
1678664220,+2.71,+30.610,+23.290,+0.918
1678664340,+2.71,+30.618,+22.633,+0.916
1678664460,+2.71,+30.627,+23.617,+0.917
1678664580,+2.71,+30.618,+22.552,+0.918
1678664700,+2.71,+30.644,+21.949,+0.914
1678664820,+2.71,+30.653,+23.002,+0.916
