7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1656604800, +2.74, +25.495, +17.19130, +88.000, +1319.000, +657.000
1656604920, +2.74, +25.479, +17.64340, +78.000, +1304.000, +688.000
1656605040, +2.74, +25.487, +18.33704, +100.000, +1343.000, +579.000
1656605160, +2.74, +25.479, +19.09570, +88.000, +1319.000, +656.000
1656605280, +2.75, +25.462, +19.84507, +88.000, +1324.000, +646.000
1656605400, +2.74, +25.470, +20.49845, +71.000, +1219.000, +704.000
1656605520, +2.74, +25.445, +21.45220, +108.000, +1315.000, +588.000
1656605640, +2.74, +25.462, +22.37189, +71.000, +1216.000, +704.000
1656605760, +2.74, +25.445, +23.13984, +96.000, +1339.000, +606.000
1656605880, +2.74, +25.445, +23.11816, +70.000, +1216.000, +704.000
1656606000, +2.74, +25.470, +24.15862, +88.000, +1336.000, +622.000
1656606120, +2.74, +25.454, +23.93256, +104.000, +1335.000, +574.000
1656606240, +2.74, +25.437, +24.84606, +88.000, +1318.000, +659.000
1656606360, +2.74, +25.445, +25.85554, +99.000, +1343.000, +592.000
1656606480, +2.74, +25.445, +26.84335, +99.000, +1342.000, +588.000
1656606600, +2.74, +25.445, +27.05082, +104.000, +1340.000, +572.000
1656606720, +2.74, +25.437, +26.99199, +108.000, +1304.000, +592.000
1656606840, +2.74, +25.437, +27.49983, +70.000, +1219.000, +704.000
1656606960, +2.74, +25.429, +31.93104, +98.000, +1289.000, +623.000
1656607080, +2.74, +25.429, +44.41956, +70.000, +1217.000, +704.000
1656607200, +2.74, +25.421, +38.82713, +71.000, +1255.000, +719.000
1656607320, +2.74, +25.421, +40.63244, +99.000, +1294.000, +623.000
1656607440, +2.74, +25.429, +48.45441, +88.000, +1321.000, +652.000
1656607560, +2.74, +25.421, +51.04006, +83.000, +1305.000, +680.000
1656607680, +2.74, +25.404, +35.34038, +67.000, +1217.000, +704.000
1656607800, +2.74, +25.437, +47.58427, +104.000, +1302.000, +604.000
1656607920, +2.74, +25.445, +43.15306, +96.000, +1340.000, +598.000
1656608040, +2.74, +25.421, +37.36245, +100.000, +1340.000, +588.000
1656608160, +2.74, +25.445, +53.60712, +88.000, +1319.000, +654.000
1656608280, +2.74, +25.421, +51.62841, +100.000, +1343.000, +585.000
1656608400, +2.74, +25.437, +43.21809, +104.000, +1324.000, +576.000
1656608520, +2.74, +25.429, +48.90961, +70.000, +1217.000, +704.000
1656608640, +2.74, +25.429, +52.15483, +76.000, +1278.000, +710.000
1656608760, +2.74, +25.437, +59.65785, +104.000, +1299.000, +607.000
1656608880, +2.74, +25.429, +66.61587, +89.000, +1334.000, +624.000
1656609000, +2.74, +25.429, +62.98977, +86.000, +1319.000, +662.000
1656609120, +2.74, +25.404, +55.73757, +104.000, +1337.000, +574.000
1656609240, +2.74, +25.429, +60.79739, +71.000, +1216.000, +704.000
1656609360, +2.74, +25.412, +54.20167, +70.000, +1216.000, +704.000
1656609480, +2.74, +25.421, +45.60865, +100.000, +1340.000, +577.000
1656609600, +2.74, +25.421, +45.12558, +70.000, +1219.000, +707.000
1656609720, +2.74, +25.404, +47.95896, +70.000, +1217.000, +704.000
1656609840, +2.74, +25.437, +45.26183, +104.000, +1326.000, +576.000
1656609960, +2.74, +25.404, +44.25235, +72.000, +1219.000, +705.000
1656610080, +2.74, +25.421, +41.57999, +71.000, +1216.000, +704.000
1656610200, +2.74, +25.421, +42.95178, +80.000, +1308.000, +679.000
1656610320, +2.74, +25.421, +47.91560, +89.000, +1334.000, +624.000
1656610440, +2.74, +25.437, +49.19449, +67.000, +1222.000, +704.000
1656610560, +2.74, +25.454, +48.44512, +71.000, +1216.000, +704.000
1656610680, +2.74, +25.445, +48.54731, +88.000, +1328.000, +640.000
1656610800, +2.74, +25.454, +59.09737, +88.000, +1321.000, +647.000
1656610920, +2.74, +25.437, +48.99631, +102.000, +1295.000, +621.000
1656611040, +2.74, +25.437, +74.76298, +108.000, +1334.000, +574.000
1656611160, +2.74, +25.470, +64.99326, +70.000, +1216.000, +704.000
1656611280, +2.74, +25.470, +58.90538, +88.000, +1315.000, +660.000
1656611400, +2.74, +25.495, +60.29574, +88.000, +1326.000, +644.000
1656611520, +2.74, +25.495, +69.28513, +88.000, +1324.000, +646.000
1656611640, +2.74, +25.520, +64.02403, +84.000, +1319.000, +656.000
1656611760, +2.74, +25.529, +73.83401, +80.000, +1311.000, +675.000
1656611880, +2.74, +25.537, +66.66542, +84.000, +1319.000, +662.000
1656612000, +2.74, +25.545, +76.98014, +67.000, +1216.000, +704.000
1656612120, +2.74, +25.553, +83.87313, +84.000, +1315.000, +668.000
1656612240, +2.74, +25.562, +113.55388, +88.000, +1331.000, +630.000
1656612360, +2.74, +25.570, +78.82880, +102.000, +1336.000, +574.000
1656612480, +2.74, +25.545, +83.68424, +88.000, +1326.000, +643.000
1656612600, +2.74, +25.562, +91.36377, +88.000, +1335.000, +630.000
1656612720, +2.74, +25.587, +108.37330, +102.000, +1340.000, +576.000
1656612840, +2.74, +25.595, +119.94523, +88.000, +1324.000, +647.000
1656612960, +2.74, +25.612, +108.75108, +88.000, +1321.000, +652.000
1656613080, +2.74, +25.620, +126.08266, +88.000, +1324.000, +648.000
1656613200, +2.74, +25.637, +129.44245, +88.000, +1328.000, +643.000
1656613320, +2.74, +25.628, +141.90310, +80.000, +1315.000, +663.000
1656613440, +2.74, +25.645, +126.55644, +88.000, +1315.000, +664.000
1656613560, +2.74, +25.678, +151.75334, +108.000, +1318.000, +582.000
1656613680, +2.74, +25.670, +125.00195, +90.000, +1334.000, +624.000
1656613800, +2.74, +25.703, +155.97088, +81.000, +1318.000, +664.000
1656613920, +2.74, +25.686, +151.01635, +83.000, +1319.000, +664.000
1656614040, +2.74, +25.711, +131.76179, +70.000, +1216.000, +704.000
1656614160, +2.74, +25.703, +139.89652, +83.000, +1320.000, +662.000
1656614280, +2.74, +25.728, +132.42137, +70.000, +1217.000, +707.000
1656614400, +2.74, +25.769, +167.53043, +84.000, +1319.000, +659.000
1656614520, +2.74, +25.769, +321.84557, +88.000, +1331.000, +630.000
1656614640, +2.74, +25.778, +344.55591, +88.000, +1324.000, +648.000
1656614760, +2.74, +25.786, +274.08387, +80.000, +1319.000, +660.000
1656614880, +2.74, +25.803, +135.22687, +71.000, +1260.000, +718.000
1656615000, +2.74, +25.861, +131.91662, +70.000, +1216.000, +704.000
1656615120, +2.74, +25.836, +293.91748, +80.000, +1315.000, +671.000
1656615240, +2.74, +25.869, +144.45469, +80.000, +1304.000, +684.000
1656615360, +2.74, +25.877, +179.70310, +71.000, +1216.000, +704.000
1656615480, +2.74, +25.919, +173.08570, +67.000, +1238.000, +718.000
1656615600, +2.74, +25.919, +204.19088, +65.000, +1222.000, +710.000
1656615720, +2.74, +25.935, +187.80995, +104.000, +1311.000, +590.000
1656615840, +2.74, +25.935, +209.24451, +67.000, +1217.000, +704.000
1656615960, +2.74, +25.969, +181.57653, +70.000, +1217.000, +704.000
1656616080, +2.74, +25.985, +198.83069, +83.000, +1318.000, +664.000
1656616200, +2.74, +26.010, +175.31834, +88.000, +1320.000, +656.000
1656616320, +2.74, +26.018, +195.87965, +68.000, +1216.000, +704.000
1656616440, +2.74, +26.035, +185.15309, +84.000, +1315.000, +664.000
1656616560, +2.74, +26.043, +135.44673, +72.000, +1272.000, +716.000
1656616680, +2.74, +26.052, +145.85744, +67.000, +1216.000, +704.000
1656616800, +2.74, +26.068, +149.22343, +70.000, +1216.000, +704.000
1656616920, +2.74, +26.093, +127.21291, +83.000, +1313.000, +668.000
1656617040, +2.74, +26.126, +190.33986, +80.000, +1315.000, +668.000
1656617160, +2.74, +26.135, +206.48855, +80.000, +1313.000, +668.000
1656617280, +2.74, +26.159, +284.72063, +67.000, +1217.000, +707.000
1656617400, +2.74, +26.184, +274.35946, +67.000, +1216.000, +704.000
1656617520, +2.74, +26.168, +141.08251, +83.000, +1315.000, +668.000
1656617640, +2.74, +26.226, +177.86063, +83.000, +1313.000, +670.000
1656617760, +2.74, +26.267, +157.25287, +81.000, +1315.000, +668.000
1656617880, +2.74, +26.292, +186.55274, +83.000, +1311.000, +672.000
1656618000, +2.74, +26.300, +192.21330, +83.000, +1312.000, +671.000
1656618120, +2.74, +26.325, +169.04776, +81.000, +1311.000, +672.000
1656618240, +2.74, +26.342, +150.80269, +67.000, +1216.000, +707.000
1656618360, +2.74, +26.358, +167.34463, +70.000, +1216.000, +707.000
1656618480, +2.74, +26.400, +152.15899, +83.000, +1310.000, +671.000
1656618600, +2.74, +26.408, +190.13239, +67.000, +1216.000, +704.000
1656618720, +2.74, +26.441, +166.95137, +71.000, +1216.000, +704.000
1656618840, +2.74, +26.474, +154.44117, +70.000, +1217.000, +704.000
1656618960, +2.74, +26.491, +187.25567, +67.000, +1216.000, +705.000
1656619080, +2.74, +26.491, +212.11194, +68.000, +1219.000, +704.000
1656619200, +2.74, +26.516, +210.58533, +70.000, +1216.000, +707.000
1656619320, +2.74, +26.516, +173.80720, +70.000, +1217.000, +704.000
1656619440, +2.74, +26.541, +147.50792, +70.000, +1216.000, +704.000
1656619560, +2.74, +26.590, +161.83272, +67.000, +1219.000, +704.000
1656619680, +2.74, +26.623, +216.78469, +71.000, +1217.000, +704.000
1656619800, +2.74, +26.656, +207.97181, +67.000, +1216.000, +704.000
1656619920, +2.74, +26.665, +155.03572, +70.000, +1219.000, +705.000
1656620040, +2.74, +26.689, +206.65576, +70.000, +1216.000, +704.000
1656620160, +2.74, +26.714, +156.50659, +67.000, +1217.000, +704.000
1656620280, +2.74, +26.714, +237.99319, +68.000, +1216.000, +704.000
1656620400, +2.74, +26.731, +231.10329, +67.000, +1216.000, +705.000
1656620520, +2.74, +26.739, +227.38119, +70.000, +1216.000, +705.000
1656620640, +2.74, +26.772, +218.04190, +65.000, +1217.000, +704.000
1656620760, +2.74, +26.780, +156.86580, +67.000, +1219.000, +705.000
1656620880, +2.74, +26.805, +170.63321, +71.000, +1216.000, +707.000
1656621000, +2.74, +26.822, +120.87730, +71.000, +1216.000, +704.000
1656621120, +2.74, +26.830, +111.03017, +70.000, +1217.000, +704.000
1656621240, +2.74, +26.863, +161.00593, +67.000, +1217.000, +704.000
1656621360, +2.74, +26.863, +154.77560, +67.000, +1216.000, +704.000
1656621480, +2.74, +26.880, +380.36171, +67.000, +1216.000, +704.000
1656621600, +2.74, +26.880, +188.49430, +65.000, +1216.000, +704.000
1656621720, +2.74, +26.913, +153.84972, +68.000, +1217.000, +707.000
1656621840, +2.74, +26.929, +158.21900, +67.000, +1217.000, +704.000
1656621960, +2.74, +26.946, +144.60642, +67.000, +1216.000, +703.000
1656622080, +2.74, +26.946, +943.30200, +68.000, +1217.000, +704.000
1656622200, +2.74, +26.971, +325.16820, +70.000, +1216.000, +704.000
1656622320, +2.74, +26.971, +201.39776, +67.000, +1219.000, +704.000
1656622440, +2.74, +26.979, +369.01583, +68.000, +1216.000, +704.000
1656622560, +2.74, +27.004, +200.93637, +70.000, +1219.000, +707.000
1656622680, +2.74, +27.004, +174.44510, +100.000, +1292.000, +623.000
1656622800, +2.74, +27.004, +165.35353, +68.000, +1217.000, +707.000
1656622920, +2.74, +27.020, +618.43633, +67.000, +1216.000, +704.000
1656623040, +2.74, +27.045, +377.59646, +67.000, +1216.000, +703.000
1656623160, +2.74, +27.020, +709.73290, +67.000, +1216.000, +705.000
1656623280, +2.74, +27.045, +640.14338, +67.000, +1216.000, +704.000
1656623400, +2.74, +27.070, +254.05516, +70.000, +1217.000, +704.000
1656623520, +2.74, +27.094, +335.08966, +103.000, +1284.000, +623.000
1656623640, +2.74, +27.103, +123.30502, +68.000, +1216.000, +704.000
1656623760, +2.74, +27.111, +225.86077, +108.000, +1295.000, +609.000
1656623880, +2.74, +27.128, +163.52655, +67.000, +1216.000, +704.000
1656624000, +2.74, +27.128, +141.24353, +100.000, +1288.000, +627.000
1656624120, +2.74, +27.128, +519.12890, +67.000, +1219.000, +704.000
1656624240, +2.74, +27.144, +1207.73784, +102.000, +1283.000, +623.000
1656624360, +2.74, +27.152, +1146.14060, +104.000, +1294.000, +627.000
1656624480, +2.74, +27.161, +182.03483, +102.000, +1279.000, +623.000
1656624600, +2.74, +27.161, +192.26284, +104.000, +1289.000, +623.000
1656624720, +2.74, +27.161, +182.47764, +100.000, +1292.000, +624.000
1656624840, +2.74, +27.152, +128.41748, +104.000, +1292.000, +625.000
1656624960, +2.74, +27.161, +121.08477, +100.000, +1291.000, +623.000
1656625080, +2.74, +27.169, +118.39075, +68.000, +1217.000, +705.000
1656625200, +2.74, +27.177, +106.38220, +67.000, +1219.000, +707.000
1656625320, +2.74, +27.161, +128.77669, +104.000, +1299.000, +615.000
1656625440, +2.74, +27.161, +108.66128, +104.000, +1296.000, +622.000
1656625560, +2.74, +27.169, +150.93894, +67.000, +1219.000, +704.000
1656625680, +2.74, +27.152, +259.94487, +100.000, +1283.000, +615.000
1656625800, +2.74, +27.152, +816.34208, +104.000, +1295.000, +627.000
1656625920, +2.74, +27.169, +1192.66058, +97.000, +1288.000, +625.000
1656626040, +2.74, +27.169, +1164.62101, +102.000, +1296.000, +620.000
1656626160, +2.74, +27.177, +1155.02160, +100.000, +1292.000, +623.000
1656626280, +2.74, +27.194, +1072.54410, +102.000, +1292.000, +625.000
1656626400, +2.74, +27.210, +129.68399, +97.000, +1287.000, +623.000
1656626520, +2.74, +27.210, +183.68840, +67.000, +1217.000, +704.000
1656626640, +2.74, +27.227, +1221.56718, +104.000, +1286.000, +623.000
1656626760, +2.74, +27.218, +183.80607, +104.000, +1288.000, +617.000
1656626880, +2.74, +27.235, +1017.45898, +67.000, +1216.000, +705.000
1656627000, +2.74, +27.243, +195.78366, +102.000, +1289.000, +625.000
1656627120, +2.74, +27.210, +246.09694, +98.000, +1289.000, +627.000
1656627240, +2.74, +27.227, +254.82931, +104.000, +1287.000, +623.000
1656627360, +2.74, +27.243, +187.51888, +100.000, +1287.000, +623.000
1656627480, +2.74, +27.251, +848.67660, +102.000, +1288.000, +625.000
1656627600, +2.74, +27.235, +515.52757, +104.000, +1288.000, +623.000
1656627720, +2.74, +27.251, +215.26736, +100.000, +1295.000, +625.000
1656627840, +2.74, +27.251, +158.24687, +96.000, +1292.000, +623.000
1656627960, +2.74, +27.284, +145.51991, +102.000, +1295.000, +623.000
1656628080, +2.74, +27.293, +154.55265, +104.000, +1288.000, +625.000
1656628200, +2.74, +27.268, +319.65319, +104.000, +1287.000, +623.000
1656628320, +2.74, +27.284, +171.16582, +104.000, +1291.000, +623.000
1656628440, +2.74, +27.268, +178.67813, +104.000, +1295.000, +620.000
1656628560, +2.74, +27.268, +161.41777, +100.000, +1287.000, +620.000
1656628680, +2.74, +27.260, +163.00322, +104.000, +1295.000, +623.000
1656628800, +2.74, +27.260, +239.82636, +100.000, +1288.000, +623.000
1656628920, +2.74, +27.268, +124.59940, +100.000, +1295.000, +623.000
1656629040, +2.74, +27.268, +105.27052, +104.000, +1292.000, +623.000
1656629160, +2.74, +27.284, +155.41969, +102.000, +1294.000, +620.000
1656629280, +2.74, +27.276, +152.61419, +100.000, +1287.000, +621.000
1656629400, +2.74, +27.284, +888.29429, +104.000, +1292.000, +623.000
1656629520, +2.74, +27.284, +1114.68551, +104.000, +1288.000, +621.000
1656629640, +2.74, +27.284, +1095.72513, +104.000, +1295.000, +617.000
1656629760, +2.74, +27.301, +1125.71554, +104.000, +1292.000, +625.000
1656629880, +2.74, +27.301, +241.46755, +96.000, +1287.000, +623.000
1656630000, +2.74, +27.326, +149.53928, +100.000, +1287.000, +624.000
1656630120, +2.74, +27.334, +645.14746, +67.000, +1217.000, +705.000
1656630240, +2.74, +27.350, +1091.92562, +102.000, +1289.000, +622.000
1656630360, +2.74, +27.334, +1131.27081, +104.000, +1296.000, +609.000
1656630480, +2.74, +27.375, +1162.71661, +103.000, +1287.000, +623.000
1656630600, +2.74, +27.367, +1181.55932, +104.000, +1294.000, +615.000
1656630720, +2.74, +27.375, +315.85058, +102.000, +1294.000, +611.000
1656630840, +2.74, +27.400, +1078.88281, +104.000, +1295.000, +623.000
1656630960, +2.74, +27.424, +184.55854, +104.000, +1300.000, +600.000
1656631080, +2.74, +27.424, +120.46236, +102.000, +1294.000, +620.000
1656631200, +2.74, +27.441, +114.95664, +104.000, +1296.000, +615.000
1656631320, +2.74, +27.433, +110.94037, +102.000, +1292.000, +622.000
1656631440, +2.74, +27.457, +1049.53339, +78.000, +1299.000, +688.000
1656631560, +2.74, +27.441, +981.12367, +104.000, +1295.000, +620.000
1656631680, +2.74, +27.474, +1003.83401, +104.000, +1289.000, +623.000
1656631800, +2.74, +27.490, +1051.13433, +108.000, +1295.000, +615.000
1656631920, +2.74, +27.466, +283.59967, +102.000, +1297.000, +604.000
1656632040, +2.74, +27.490, +821.06437, +102.000, +1308.000, +591.000
1656632160, +2.74, +27.499, +878.83733, +104.000, +1295.000, +614.000
1656632280, +2.74, +27.482, +993.55955, +104.000, +1297.000, +601.000
1656632400, +2.74, +27.540, +915.02090, +104.000, +1300.000, +596.000
1656632520, +2.74, +27.548, +854.70875, +102.000, +1295.000, +615.000
1656632640, +2.74, +27.556, +950.71212, +102.000, +1300.000, +606.000
1656632760, +2.74, +27.589, +245.42189, +102.000, +1296.000, +611.000
1656632880, +2.74, +27.581, +1017.66336, +104.000, +1295.000, +611.000
1656633000, +2.74, +27.606, +970.22370, +104.000, +1303.000, +599.000
1656633120, +2.74, +27.622, +925.55548, +104.000, +1299.000, +605.000
1656633240, +2.74, +27.614, +493.32198, +104.000, +1296.000, +619.000
1656633360, +2.74, +27.622, +1032.64463, +104.000, +1299.000, +606.000
1656633480, +2.74, +27.614, +918.76777, +104.000, +1296.000, +608.000
1656633600, +2.74, +27.647, +859.05016, +104.000, +1295.000, +611.000
1656633720, +2.74, +27.655, +883.84450, +103.000, +1297.000, +607.000
1656633840, +2.74, +27.663, +864.17191, +104.000, +1299.000, +606.000
1656633960, +2.74, +27.672, +830.43463, +104.000, +1296.000, +604.000
1656634080, +2.74, +27.672, +960.72648, +104.000, +1295.000, +609.000
1656634200, +2.74, +27.688, +946.54412, +104.000, +1302.000, +600.000
1656634320, +2.74, +27.713, +190.40179, +104.000, +1302.000, +600.000
1656634440, +2.74, +27.704, +891.97303, +104.000, +1296.000, +615.000
1656634560, +2.74, +27.688, +848.07277, +102.000, +1304.000, +600.000
1656634680, +2.74, +27.696, +764.22968, +104.000, +1302.000, +601.000
1656634800, +2.74, +27.713, +882.88766, +102.000, +1304.000, +592.000
1656634920, +2.74, +27.713, +778.87961, +104.000, +1294.000, +611.000
1656635040, +2.74, +27.704, +570.99048, +104.000, +1295.000, +607.000
1656635160, +2.74, +27.696, +186.58680, +108.000, +1295.000, +611.000
1656635280, +2.74, +27.704, +752.22732, +102.000, +1304.000, +595.000
1656635400, +2.74, +27.713, +796.43105, +104.000, +1295.000, +611.000
1656635520, +2.74, +27.721, +769.80662, +104.000, +1296.000, +608.000
1656635640, +2.74, +27.721, +766.64501, +102.000, +1296.000, +608.000
1656635760, +2.74, +27.704, +737.87156, +104.000, +1297.000, +608.000
1656635880, +2.74, +27.713, +551.19402, +102.000, +1295.000, +620.000
1656636000, +2.74, +27.713, +695.26567, +104.000, +1304.000, +593.000
1656636120, +2.74, +27.721, +737.36681, +104.000, +1296.000, +608.000
1656636240, +2.74, +27.721, +661.77921, +104.000, +1299.000, +600.000
1656636360, +2.74, +27.713, +652.96943, +104.000, +1295.000, +611.000
1656636480, +2.74, +27.729, +448.93555, +104.000, +1295.000, +615.000
1656636600, +2.74, +27.713, +251.86588, +104.000, +1300.000, +604.000
1656636720, +2.74, +27.729, +164.13038, +104.000, +1304.000, +600.000
1656636840, +2.74, +27.713, +609.18374, +104.000, +1295.000, +615.000
1656636960, +2.74, +27.688, +651.13625, +104.000, +1295.000, +615.000
1656637080, +2.74, +27.696, +616.95307, +104.000, +1305.000, +596.000
1656637200, +2.74, +27.688, +523.47341, +104.000, +1296.000, +607.000
1656637320, +2.74, +27.688, +541.63177, +104.000, +1295.000, +615.000
1656637440, +2.74, +27.672, +593.21776, +102.000, +1302.000, +600.000
1656637560, +2.74, +27.680, +502.54050, +102.000, +1297.000, +611.000
1656637680, +2.74, +27.688, +498.75648, +108.000, +1297.000, +608.000
1656637800, +2.74, +27.688, +504.43561, +103.000, +1297.000, +607.000
1656637920, +2.74, +27.713, +501.32974, +108.000, +1299.000, +593.000
1656638040, +2.74, +27.704, +83.98770, +104.000, +1295.000, +609.000
1656638160, +2.74, +27.680, +108.00481, +100.000, +1296.000, +623.000
1656638280, +2.74, +27.696, +213.24529, +102.000, +1304.000, +600.000
1656638400, +2.74, +27.688, +495.54842, +104.000, +1310.000, +590.000
1656638520, +2.74, +27.663, +453.96440, +102.000, +1296.000, +620.000
1656638640, +2.74, +27.655, +496.45881, +104.000, +1296.000, +608.000
1656638760, +2.74, +27.639, +437.75069, +102.000, +1296.000, +611.000
1656638880, +2.74, +27.630, +469.20578, +104.000, +1302.000, +603.000
1656639000, +2.74, +27.606, +424.22481, +104.000, +1294.000, +623.000
1656639120, +2.74, +27.597, +442.47607, +102.000, +1296.000, +607.000
