7450-646496
OS REV: 1.05 Sensor Cal: 1573749572
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1679878380,+2.69,+30.298,+10.068,+0.931
1679878500,+2.69,+30.289,+10.426,+0.932
1679878620,+2.69,+30.255,+10.686,+0.931
1679878740,+2.69,+30.281,+11.096,+0.932
1679878860,+2.69,+30.307,+11.933,+0.932
1679878980,+2.69,+30.307,+11.876,+0.931
1679879100,+2.69,+30.359,+12.334,+0.932
1679879220,+2.69,+30.385,+12.188,+0.931
1679879340,+2.69,+30.367,+12.093,+0.932
1679879460,+2.69,+30.367,+11.708,+0.931
1679879580,+2.69,+30.376,+12.040,+0.932
1679879700,+2.69,+30.436,+12.484,+0.932
1679879820,+2.69,+30.462,+12.581,+0.933
1679879940,+2.69,+30.480,+12.339,+0.932
1679880060,+2.69,+30.462,+12.076,+0.930
1679880180,+2.69,+30.445,+11.726,+0.931
1679880300,+2.69,+30.428,+11.468,+0.933
1679880420,+2.69,+30.411,+11.503,+0.931
1679880540,+2.69,+30.402,+11.439,+0.932
1679880660,+2.69,+30.385,+11.196,+0.932
1679880780,+2.69,+30.376,+11.303,+0.931
1679880900,+2.69,+30.367,+11.343,+0.932
1679881020,+2.69,+30.367,+11.412,+0.933
1679881140,+2.69,+30.359,+11.380,+0.933
1679881260,+2.69,+30.367,+11.231,+0.931
1679881380,+2.69,+30.359,+11.249,+0.932
1679881500,+2.69,+30.367,+11.492,+0.933
1679881620,+2.69,+30.350,+11.484,+0.932
1679881740,+2.69,+30.376,+11.716,+0.932
1679881860,+2.69,+30.367,+11.730,+0.933
1679881980,+2.69,+30.359,+11.873,+0.931
1679882100,+2.69,+30.385,+12.054,+0.932
1679882220,+2.69,+30.376,+12.003,+0.932
1679882340,+2.69,+30.376,+11.618,+0.933
1679882460,+2.69,+30.385,+11.664,+0.931
1679882580,+2.69,+30.393,+11.734,+0.932
1679882700,+2.69,+30.402,+11.553,+0.932
1679882820,+2.69,+30.376,+11.466,+0.932
1679882940,+2.69,+30.367,+11.206,+0.933
1679883060,+2.69,+30.367,+10.987,+0.932
1679883180,+2.69,+30.367,+11.011,+0.932
1679883300,+2.69,+30.359,+11.110,+0.932
1679883420,+2.69,+30.385,+11.053,+0.932
1679883540,+2.69,+30.367,+10.851,+0.930
1679883660,+2.69,+30.367,+11.088,+0.932
1679883780,+2.69,+30.359,+11.110,+0.932
1679883900,+2.69,+30.359,+11.054,+0.931
1679884020,+2.69,+30.359,+10.946,+0.932
1679884140,+2.69,+30.350,+11.142,+0.932
1679884260,+2.69,+30.359,+11.594,+0.931
1679884380,+2.69,+30.359,+11.760,+0.932
1679884500,+2.69,+30.367,+11.631,+0.931
1679884620,+2.69,+30.385,+11.560,+0.932
1679884740,+2.69,+30.385,+11.612,+0.933
1679884860,+2.69,+30.393,+11.598,+0.934
1679884980,+2.69,+30.411,+11.320,+0.933
1679885100,+2.69,+30.411,+11.304,+0.933
1679885220,+2.69,+30.385,+11.113,+0.933
1679885340,+2.69,+30.385,+11.127,+0.932
1679885460,+2.69,+30.419,+11.252,+0.933
1679885580,+2.69,+30.402,+11.154,+0.934
1679885700,+2.69,+30.411,+11.276,+0.934
1679885820,+2.69,+30.393,+11.105,+0.932
1679885940,+2.69,+30.402,+11.133,+0.933
1679886060,+2.69,+30.385,+10.845,+0.933
1679886180,+2.69,+30.376,+10.908,+0.931
1679886300,+2.69,+30.367,+10.748,+0.932
1679886420,+2.69,+30.367,+10.669,+0.932
1679886540,+2.69,+30.376,+10.699,+0.932
1679886660,+2.69,+30.367,+10.742,+0.931
1679886780,+2.69,+30.359,+10.687,+0.932
1679886900,+2.69,+30.376,+10.660,+0.932
1679887020,+2.69,+30.376,+10.485,+0.930
1679887140,+2.69,+30.393,+10.333,+0.931
1679887260,+2.69,+30.359,+10.267,+0.931
1679887380,+2.69,+30.333,+10.242,+0.932
1679887500,+2.69,+30.350,+10.076,+0.932
1679887620,+2.69,+30.333, +9.936,+0.932
1679887740,+2.69,+30.307, +9.817,+0.931
1679887860,+2.69,+30.315, +9.727,+0.932
1679887980,+2.69,+30.289, +9.648,+0.931
1679888100,+2.69,+30.298, +9.574,+0.931
1679888220,+2.69,+30.298, +9.528,+0.932
1679888340,+2.69,+30.289, +9.387,+0.932
1679888460,+2.69,+30.281, +9.300,+0.932
1679888580,+2.69,+30.264, +9.204,+0.931
1679888700,+2.69,+30.272, +9.103,+0.930
1679888820,+2.69,+30.272, +9.020,+0.931
1679888940,+2.69,+30.255, +8.946,+0.932
1679889060,+2.69,+30.264, +8.817,+0.931
1679889180,+2.69,+30.264, +8.740,+0.932
1679889300,+2.69,+30.246, +8.637,+0.930
1679889420,+2.69,+30.255, +8.519,+0.931
1679889540,+2.69,+30.246, +8.407,+0.930
1679889660,+2.69,+30.229, +8.325,+0.930
