"Plot Title: SGD_011621_354"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739354, SEN S/N: 20739354)","Temp, °C (LGR S/N: 20739354, SEN S/N: 20739354)"
1,01/16/21 08:16:00 AM,36278.1,23.46
2,01/16/21 08:16:10 AM,36099.1,23.47
3,01/16/21 08:16:20 AM,36041.8,23.47
4,01/16/21 08:16:30 AM,36035.8,23.48
5,01/16/21 08:16:40 AM,35966.6,23.48
6,01/16/21 08:16:50 AM,35933.6,23.48
7,01/16/21 08:17:00 AM,35951.6,23.48
8,01/16/21 08:17:10 AM,35918.6,23.48
9,01/16/21 08:17:20 AM,35933.6,23.48
10,01/16/21 08:17:30 AM,35924.6,23.48
11,01/16/21 08:17:40 AM,35900.7,23.48
12,01/16/21 08:17:50 AM,35918.6,23.48
13,01/16/21 08:18:00 AM,35921.6,23.48
14,01/16/21 08:18:10 AM,35921.6,23.48
15,01/16/21 08:18:20 AM,35912.7,23.48
16,01/16/21 08:18:30 AM,35933.6,23.48
17,01/16/21 08:18:40 AM,35933.6,23.48
18,01/16/21 08:18:50 AM,35927.6,23.49
19,01/16/21 08:19:00 AM,35915.6,23.48
20,01/16/21 08:19:10 AM,35906.7,23.48
21,01/16/21 08:19:20 AM,35921.6,23.48
22,01/16/21 08:19:30 AM,35933.6,23.48
23,01/16/21 08:19:40 AM,35930.6,23.48
24,01/16/21 08:19:50 AM,35960.6,23.49
25,01/16/21 08:20:00 AM,35948.6,23.46
26,01/16/21 08:20:10 AM,35960.6,23.47
27,01/16/21 08:20:20 AM,35975.6,23.47
28,01/16/21 08:20:30 AM,35975.6,23.47
29,01/16/21 08:20:40 AM,35957.6,23.47
30,01/16/21 08:20:50 AM,35960.6,23.47
31,01/16/21 08:21:00 AM,35969.6,23.47
32,01/16/21 08:21:10 AM,1806.6,23.42
33,01/16/21 08:21:20 AM,2746.9,23.35
34,01/16/21 08:21:30 AM,3189.1,23.32
35,01/16/21 08:21:40 AM,2795.1,23.34
36,01/16/21 08:21:50 AM,2378.6,23.34
37,01/16/21 08:22:00 AM,2153.1,23.34
38,01/16/21 08:22:10 AM,2017.7,23.35
39,01/16/21 08:22:20 AM,1931.3,23.35
40,01/16/21 08:22:30 AM,1874.4,23.35
41,01/16/21 08:22:40 AM,1829.5,23.35
42,01/16/21 08:22:50 AM,1789.8,23.35
43,01/16/21 08:23:00 AM,1756.3,23.35
44,01/16/21 08:23:10 AM,1725.1,23.35
45,01/16/21 08:23:20 AM,1697.8,23.36
46,01/16/21 08:23:30 AM,1676.7,23.36
47,01/16/21 08:23:40 AM,1662.3,23.36
48,01/16/21 08:23:50 AM,1651.7,23.35
49,01/16/21 08:24:00 AM,1645.1,23.35
50,01/16/21 08:24:10 AM,1639.6,23.35
51,01/16/21 08:24:20 AM,1634.6,23.35
52,01/16/21 08:24:30 AM,1626.8,23.35
53,01/16/21 08:24:40 AM,1619.1,23.35
54,01/16/21 08:24:50 AM,1610.8,23.35
55,01/16/21 08:25:00 AM,1603.6,23.36
56,01/16/21 08:25:10 AM,1597.0,23.35
57,01/16/21 08:25:20 AM,1591.5,23.35
58,01/16/21 08:25:30 AM,1586.5,23.35
59,01/16/21 08:25:40 AM,1582.6,23.35
60,01/16/21 08:25:50 AM,1561.7,23.34
61,01/16/21 08:26:00 AM,1540.8,23.32
62,01/16/21 08:26:10 AM,1537.0,23.34
63,01/16/21 08:26:20 AM,1534.8,23.34
64,01/16/21 08:26:30 AM,1533.1,23.34
65,01/16/21 08:26:40 AM,1532.0,23.34
66,01/16/21 08:26:50 AM,0.0,23.48
67,01/16/21 08:27:00 AM,0.0,23.19
68,01/16/21 08:27:10 AM,0.0,23.22
69,01/16/21 08:27:20 AM,0.0,23.18
70,01/16/21 08:27:30 AM,0.0,23.15
71,01/16/21 08:27:40 AM,0.0,23.16
72,01/16/21 08:27:50 AM,0.0,23.13
73,01/16/21 08:28:00 AM,0.0,23.09
74,01/16/21 08:28:10 AM,0.0,23.08
75,01/16/21 08:28:20 AM,0.0,23.10
76,01/16/21 08:28:30 AM,0.0,23.10
77,01/16/21 08:28:40 AM,0.0,23.09
78,01/16/21 08:28:50 AM,0.0,23.08
79,01/16/21 08:29:00 AM,0.0,23.09
80,01/16/21 08:29:10 AM,0.0,23.16
81,01/16/21 08:29:20 AM,0.0,23.15
82,01/16/21 08:29:30 AM,0.0,23.14
83,01/16/21 08:29:40 AM,0.0,23.13
84,01/16/21 08:29:50 AM,0.0,23.11
85,01/16/21 08:30:00 AM,0.0,23.10
86,01/16/21 08:30:10 AM,0.0,23.10
87,01/16/21 08:30:20 AM,0.0,23.11
88,01/16/21 08:30:30 AM,0.0,23.13
89,01/16/21 08:30:40 AM,0.0,23.16
90,01/16/21 08:30:50 AM,0.0,23.18
91,01/16/21 08:31:00 AM,0.0,23.20
92,01/16/21 08:31:10 AM,0.0,23.21
93,01/16/21 08:31:20 AM,0.0,23.21
94,01/16/21 08:31:30 AM,0.0,23.22
95,01/16/21 08:31:40 AM,0.0,23.22
96,01/16/21 08:31:50 AM,0.0,23.25
97,01/16/21 08:32:00 AM,0.0,23.26
98,01/16/21 08:32:10 AM,0.0,23.30
99,01/16/21 08:32:20 AM,0.0,23.31
100,01/16/21 08:32:30 AM,0.0,23.31
101,01/16/21 08:32:40 AM,0.0,23.30
102,01/16/21 08:32:50 AM,0.0,23.29
103,01/16/21 08:33:00 AM,0.0,23.29
104,01/16/21 08:33:10 AM,0.0,23.30
105,01/16/21 08:33:20 AM,0.0,23.36
106,01/16/21 08:33:30 AM,0.0,23.31
107,01/16/21 08:33:40 AM,0.0,23.29
108,01/16/21 08:33:50 AM,0.0,23.31
109,01/16/21 08:34:00 AM,0.0,23.34
110,01/16/21 08:34:10 AM,0.0,23.37
111,01/16/21 08:34:20 AM,0.0,23.38
112,01/16/21 08:34:30 AM,0.0,23.40
113,01/16/21 08:34:40 AM,0.0,23.41
114,01/16/21 08:34:50 AM,0.0,23.41
115,01/16/21 08:35:00 AM,0.0,23.43
116,01/16/21 08:35:10 AM,0.0,23.42
117,01/16/21 08:35:20 AM,0.0,23.43
118,01/16/21 08:35:30 AM,0.0,23.38
119,01/16/21 08:35:40 AM,0.0,23.35
120,01/16/21 08:35:50 AM,0.0,23.34
121,01/16/21 08:36:00 AM,0.0,23.32
122,01/16/21 08:36:10 AM,0.0,23.32
123,01/16/21 08:36:20 AM,0.0,23.32
124,01/16/21 08:36:30 AM,0.0,23.45
125,01/16/21 08:36:40 AM,0.0,23.40
126,01/16/21 08:36:50 AM,0.0,23.36
127,01/16/21 08:37:00 AM,0.0,23.37
128,01/16/21 08:37:10 AM,0.0,23.35
129,01/16/21 08:37:20 AM,0.0,23.34
130,01/16/21 08:37:30 AM,0.0,23.34
131,01/16/21 08:37:40 AM,0.0,23.32
132,01/16/21 08:37:50 AM,0.0,23.34
133,01/16/21 08:38:00 AM,0.0,23.32
134,01/16/21 08:38:10 AM,0.0,23.31
135,01/16/21 08:38:20 AM,0.0,23.31
136,01/16/21 08:38:30 AM,0.0,23.30
137,01/16/21 08:38:40 AM,0.0,23.29
138,01/16/21 08:38:50 AM,0.0,23.29
139,01/16/21 08:39:00 AM,0.0,23.27
140,01/16/21 08:39:10 AM,0.0,23.26
141,01/16/21 08:39:20 AM,0.0,23.26
142,01/16/21 08:39:30 AM,0.0,23.26
143,01/16/21 08:39:40 AM,0.0,23.26
144,01/16/21 08:39:50 AM,0.0,23.25
145,01/16/21 08:40:00 AM,0.0,23.22
146,01/16/21 08:40:10 AM,0.0,23.22
147,01/16/21 08:40:20 AM,0.0,23.20
148,01/16/21 08:40:30 AM,0.0,23.18
149,01/16/21 08:40:40 AM,0.0,24.87
150,01/16/21 08:40:50 AM,0.0,23.49
151,01/16/21 08:41:00 AM,0.0,23.41
152,01/16/21 08:41:10 AM,0.0,23.38
153,01/16/21 08:41:20 AM,0.0,23.45
154,01/16/21 08:41:30 AM,0.0,23.56
155,01/16/21 08:41:40 AM,0.0,23.58
156,01/16/21 08:41:50 AM,0.0,23.62
157,01/16/21 08:42:00 AM,0.0,23.63
158,01/16/21 08:42:10 AM,0.0,23.64
159,01/16/21 08:42:20 AM,0.0,23.70
160,01/16/21 08:42:30 AM,0.0,23.70
161,01/16/21 08:42:40 AM,0.0,23.84
162,01/16/21 08:42:50 AM,0.0,24.03
163,01/16/21 08:43:00 AM,0.0,24.25
164,01/16/21 08:43:10 AM,0.0,24.24
165,01/16/21 08:43:20 AM,0.0,24.24
166,01/16/21 08:43:30 AM,0.0,24.24
167,01/16/21 08:43:40 AM,0.0,24.25
168,01/16/21 08:43:50 AM,0.0,24.29
169,01/16/21 08:44:00 AM,0.0,24.34
170,01/16/21 08:44:10 AM,0.0,24.39
171,01/16/21 08:44:20 AM,0.0,24.45
172,01/16/21 08:44:30 AM,0.0,24.50
173,01/16/21 08:44:40 AM,0.0,24.56
174,01/16/21 08:44:50 AM,0.0,24.61
175,01/16/21 08:45:00 AM,0.0,24.67
176,01/16/21 08:45:10 AM,0.0,24.73
177,01/16/21 08:45:20 AM,0.0,24.78
178,01/16/21 08:45:30 AM,0.0,24.84
179,01/16/21 08:45:40 AM,0.0,24.90
180,01/16/21 08:45:50 AM,0.0,24.95
181,01/16/21 08:46:00 AM,0.0,25.02
182,01/16/21 08:46:10 AM,0.0,25.06
183,01/16/21 08:46:20 AM,0.0,25.11
184,01/16/21 08:46:30 AM,0.0,25.19
185,01/16/21 08:46:40 AM,0.0,25.24
186,01/16/21 08:46:50 AM,0.0,25.28
187,01/16/21 08:47:00 AM,0.0,25.33
188,01/16/21 08:47:10 AM,0.0,25.38
189,01/16/21 08:47:20 AM,0.0,25.43
190,01/16/21 08:47:30 AM,0.0,25.49
191,01/16/21 08:47:40 AM,0.0,25.54
192,01/16/21 08:47:50 AM,0.0,25.59
193,01/16/21 08:48:00 AM,0.0,25.63
194,01/16/21 08:48:10 AM,0.0,25.68
195,01/16/21 08:48:20 AM,0.0,25.73
196,01/16/21 08:48:30 AM,0.0,25.78
197,01/16/21 08:48:40 AM,0.0,25.82
198,01/16/21 08:48:50 AM,0.0,25.87
199,01/16/21 08:49:00 AM,0.0,25.91
200,01/16/21 08:49:10 AM,0.0,25.96
201,01/16/21 08:49:20 AM,0.0,26.00
202,01/16/21 08:49:30 AM,0.0,26.03
203,01/16/21 08:49:40 AM,0.0,26.08
204,01/16/21 08:49:50 AM,0.0,26.12
205,01/16/21 08:50:00 AM,0.0,26.16
206,01/16/21 08:50:10 AM,0.0,26.20
207,01/16/21 08:50:20 AM,0.0,26.24
208,01/16/21 08:50:30 AM,0.0,26.27
209,01/16/21 08:50:40 AM,0.0,26.30
