"Plot Title: Pressure_011721_876_profiling"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810876, SEN S/N: 20810876)","Temp, °C (LGR S/N: 20810876, SEN S/N: 20810876)","Water Level, meters (LGR S/N: 20810876)"
1,01/17/21 09:00:00 AM,101.425,24.545,-0.010
2,01/17/21 09:00:01 AM,101.425,24.545,-0.010
3,01/17/21 09:00:02 AM,101.425,24.545,-0.010
4,01/17/21 09:00:03 AM,101.425,24.545,-0.010
5,01/17/21 09:00:04 AM,101.425,24.545,-0.010
6,01/17/21 09:00:05 AM,101.425,24.545,-0.010
7,01/17/21 09:00:06 AM,101.425,24.545,-0.010
8,01/17/21 09:00:07 AM,101.408,24.545,-0.011
9,01/17/21 09:00:08 AM,101.425,24.545,-0.010
10,01/17/21 09:00:09 AM,101.425,24.545,-0.010
11,01/17/21 09:00:10 AM,101.425,24.545,-0.010
12,01/17/21 09:00:11 AM,101.408,24.545,-0.011
13,01/17/21 09:00:12 AM,101.425,24.545,-0.010
14,01/17/21 09:00:13 AM,101.425,24.545,-0.010
15,01/17/21 09:00:14 AM,101.425,24.545,-0.010
16,01/17/21 09:00:15 AM,101.425,24.545,-0.010
17,01/17/21 09:00:16 AM,101.425,24.545,-0.010
18,01/17/21 09:00:17 AM,101.425,24.545,-0.010
19,01/17/21 09:00:18 AM,101.425,24.545,-0.010
20,01/17/21 09:00:19 AM,101.425,24.545,-0.010
21,01/17/21 09:00:20 AM,101.442,24.545,-0.008
22,01/17/21 09:00:21 AM,101.425,24.545,-0.010
23,01/17/21 09:00:22 AM,101.425,24.545,-0.010
24,01/17/21 09:00:23 AM,101.425,24.545,-0.010
25,01/17/21 09:00:24 AM,101.408,24.545,-0.011
26,01/17/21 09:00:25 AM,101.425,24.545,-0.010
27,01/17/21 09:00:26 AM,101.408,24.545,-0.011
28,01/17/21 09:00:27 AM,101.425,24.545,-0.010
29,01/17/21 09:00:28 AM,101.425,24.545,-0.010
30,01/17/21 09:00:29 AM,101.425,24.545,-0.010
31,01/17/21 09:00:30 AM,101.425,24.545,-0.010
32,01/17/21 09:00:31 AM,101.425,24.545,-0.010
33,01/17/21 09:00:32 AM,101.425,24.545,-0.010
34,01/17/21 09:00:33 AM,101.425,24.545,-0.010
35,01/17/21 09:00:34 AM,101.425,24.545,-0.010
36,01/17/21 09:00:35 AM,101.425,24.545,-0.010
37,01/17/21 09:00:36 AM,101.425,24.545,-0.010
38,01/17/21 09:00:37 AM,101.425,24.545,-0.010
39,01/17/21 09:00:38 AM,101.442,24.545,-0.008
40,01/17/21 09:00:39 AM,101.425,24.545,-0.010
41,01/17/21 09:00:40 AM,101.425,24.545,-0.010
42,01/17/21 09:00:41 AM,101.425,24.545,-0.010
43,01/17/21 09:00:42 AM,101.425,24.545,-0.010
44,01/17/21 09:00:43 AM,101.425,24.545,-0.010
45,01/17/21 09:00:44 AM,101.425,24.545,-0.010
46,01/17/21 09:00:45 AM,101.425,24.545,-0.010
47,01/17/21 09:00:46 AM,101.408,24.545,-0.011
48,01/17/21 09:00:47 AM,101.425,24.545,-0.010
49,01/17/21 09:00:48 AM,101.425,24.545,-0.010
50,01/17/21 09:00:49 AM,101.425,24.545,-0.010
51,01/17/21 09:00:50 AM,101.425,24.545,-0.010
52,01/17/21 09:00:51 AM,101.425,24.545,-0.010
53,01/17/21 09:00:52 AM,101.425,24.545,-0.010
54,01/17/21 09:00:53 AM,101.425,24.545,-0.010
55,01/17/21 09:00:54 AM,101.425,24.545,-0.010
56,01/17/21 09:00:55 AM,101.425,24.545,-0.010
57,01/17/21 09:00:56 AM,101.425,24.545,-0.010
58,01/17/21 09:00:57 AM,101.425,24.545,-0.010
59,01/17/21 09:00:58 AM,101.425,24.545,-0.010
60,01/17/21 09:00:59 AM,101.425,24.545,-0.010
61,01/17/21 09:01:00 AM,101.425,24.545,-0.010
62,01/17/21 09:01:01 AM,101.425,24.545,-0.010
63,01/17/21 09:01:02 AM,101.425,24.545,-0.010
64,01/17/21 09:01:03 AM,101.425,24.545,-0.010
65,01/17/21 09:01:04 AM,101.425,24.545,-0.010
66,01/17/21 09:01:05 AM,101.425,24.545,-0.010
67,01/17/21 09:01:06 AM,101.425,24.545,-0.010
68,01/17/21 09:01:07 AM,101.425,24.545,-0.010
69,01/17/21 09:01:08 AM,101.425,24.545,-0.010
70,01/17/21 09:01:09 AM,101.425,24.545,-0.010
71,01/17/21 09:01:10 AM,101.425,24.545,-0.010
72,01/17/21 09:01:11 AM,101.425,24.545,-0.010
73,01/17/21 09:01:12 AM,101.425,24.545,-0.010
74,01/17/21 09:01:13 AM,101.425,24.545,-0.010
75,01/17/21 09:01:14 AM,101.425,24.545,-0.010
76,01/17/21 09:01:15 AM,101.425,24.545,-0.010
77,01/17/21 09:01:16 AM,101.425,24.545,-0.010
78,01/17/21 09:01:17 AM,101.425,24.545,-0.010
79,01/17/21 09:01:18 AM,101.425,24.545,-0.010
80,01/17/21 09:01:19 AM,101.425,24.545,-0.010
81,01/17/21 09:01:20 AM,101.425,24.545,-0.010
82,01/17/21 09:01:21 AM,101.425,24.545,-0.010
83,01/17/21 09:01:22 AM,101.425,24.545,-0.010
84,01/17/21 09:01:23 AM,101.425,24.545,-0.010
85,01/17/21 09:01:24 AM,101.408,24.545,-0.011
86,01/17/21 09:01:25 AM,101.408,24.545,-0.011
87,01/17/21 09:01:26 AM,101.408,24.545,-0.011
88,01/17/21 09:01:27 AM,101.425,24.545,-0.010
89,01/17/21 09:01:28 AM,101.408,24.545,-0.011
90,01/17/21 09:01:29 AM,101.425,24.545,-0.010
91,01/17/21 09:01:30 AM,101.425,24.545,-0.010
92,01/17/21 09:01:31 AM,101.408,24.545,-0.011
93,01/17/21 09:01:32 AM,101.408,24.545,-0.011
94,01/17/21 09:01:33 AM,101.425,24.545,-0.010
95,01/17/21 09:01:34 AM,101.425,24.545,-0.010
96,01/17/21 09:01:35 AM,101.408,24.545,-0.011
97,01/17/21 09:01:36 AM,101.425,24.545,-0.010
98,01/17/21 09:01:37 AM,101.425,24.545,-0.010
99,01/17/21 09:01:38 AM,101.408,24.545,-0.011
100,01/17/21 09:01:39 AM,101.425,24.545,-0.010
101,01/17/21 09:01:40 AM,101.408,24.545,-0.011
102,01/17/21 09:01:41 AM,101.425,24.545,-0.010
103,01/17/21 09:01:42 AM,101.425,24.545,-0.010
104,01/17/21 09:01:43 AM,101.408,24.545,-0.011
105,01/17/21 09:01:44 AM,101.408,24.545,-0.011
106,01/17/21 09:01:45 AM,101.408,24.545,-0.011
107,01/17/21 09:01:46 AM,101.408,24.545,-0.011
108,01/17/21 09:01:47 AM,101.425,24.545,-0.010
109,01/17/21 09:01:48 AM,101.408,24.545,-0.011
110,01/17/21 09:01:49 AM,101.408,24.545,-0.011
111,01/17/21 09:01:50 AM,101.408,24.545,-0.011
112,01/17/21 09:01:51 AM,101.408,24.545,-0.011
113,01/17/21 09:01:52 AM,101.425,24.545,-0.010
114,01/17/21 09:01:53 AM,101.408,24.545,-0.011
115,01/17/21 09:01:54 AM,101.408,24.545,-0.011
116,01/17/21 09:01:55 AM,101.408,24.545,-0.011
117,01/17/21 09:01:56 AM,101.425,24.545,-0.010
118,01/17/21 09:01:57 AM,101.408,24.545,-0.011
119,01/17/21 09:01:58 AM,101.408,24.545,-0.011
120,01/17/21 09:01:59 AM,101.408,24.545,-0.011
121,01/17/21 09:02:00 AM,101.425,24.545,-0.010
122,01/17/21 09:02:01 AM,101.425,24.545,-0.010
123,01/17/21 09:02:02 AM,101.425,24.545,-0.010
124,01/17/21 09:02:03 AM,101.425,24.545,-0.010
125,01/17/21 09:02:04 AM,101.408,24.545,-0.011
126,01/17/21 09:02:05 AM,101.425,24.545,-0.010
127,01/17/21 09:02:06 AM,101.408,24.545,-0.011
128,01/17/21 09:02:07 AM,101.408,24.545,-0.011
129,01/17/21 09:02:08 AM,101.425,24.545,-0.010
130,01/17/21 09:02:09 AM,101.425,24.545,-0.010
131,01/17/21 09:02:10 AM,101.425,24.545,-0.010
132,01/17/21 09:02:11 AM,101.425,24.545,-0.010
133,01/17/21 09:02:12 AM,101.425,24.545,-0.010
134,01/17/21 09:02:13 AM,101.425,24.545,-0.010
135,01/17/21 09:02:14 AM,101.425,24.545,-0.010
136,01/17/21 09:02:15 AM,101.425,24.545,-0.010
137,01/17/21 09:02:16 AM,101.408,24.545,-0.011
138,01/17/21 09:02:17 AM,101.408,24.545,-0.011
139,01/17/21 09:02:18 AM,101.408,24.545,-0.011
140,01/17/21 09:02:19 AM,101.408,24.545,-0.011
141,01/17/21 09:02:20 AM,101.408,24.545,-0.011
142,01/17/21 09:02:21 AM,101.408,24.545,-0.011
143,01/17/21 09:02:22 AM,101.425,24.545,-0.010
144,01/17/21 09:02:23 AM,101.425,24.545,-0.010
145,01/17/21 09:02:24 AM,101.425,24.545,-0.010
146,01/17/21 09:02:25 AM,101.425,24.545,-0.010
147,01/17/21 09:02:26 AM,101.425,24.545,-0.010
148,01/17/21 09:02:27 AM,101.425,24.545,-0.010
149,01/17/21 09:02:28 AM,101.425,24.545,-0.010
150,01/17/21 09:02:29 AM,101.425,24.545,-0.010
151,01/17/21 09:02:30 AM,101.425,24.545,-0.010
152,01/17/21 09:02:31 AM,101.425,24.545,-0.010
153,01/17/21 09:02:32 AM,101.425,24.545,-0.010
154,01/17/21 09:02:33 AM,101.405,24.448,-0.012
155,01/17/21 09:02:34 AM,101.425,24.545,-0.010
156,01/17/21 09:02:35 AM,101.423,24.448,-0.010
157,01/17/21 09:02:36 AM,101.423,24.448,-0.010
158,01/17/21 09:02:37 AM,101.423,24.448,-0.010
159,01/17/21 09:02:38 AM,101.423,24.448,-0.010
160,01/17/21 09:02:39 AM,101.423,24.448,-0.010
161,01/17/21 09:02:40 AM,101.423,24.448,-0.010
162,01/17/21 09:02:41 AM,101.423,24.448,-0.010
163,01/17/21 09:02:42 AM,101.423,24.448,-0.010
164,01/17/21 09:02:43 AM,101.423,24.448,-0.010
165,01/17/21 09:02:44 AM,101.423,24.448,-0.010
166,01/17/21 09:02:45 AM,101.423,24.448,-0.010
167,01/17/21 09:02:46 AM,101.423,24.448,-0.010
168,01/17/21 09:02:47 AM,101.423,24.448,-0.010
169,01/17/21 09:02:48 AM,101.423,24.448,-0.010
170,01/17/21 09:02:49 AM,101.405,24.448,-0.012
171,01/17/21 09:02:50 AM,101.423,24.448,-0.010
172,01/17/21 09:02:51 AM,101.423,24.448,-0.010
173,01/17/21 09:02:52 AM,101.423,24.448,-0.010
174,01/17/21 09:02:53 AM,101.423,24.448,-0.010
