Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
110,1/13/2021 9:49,21,1,13,9,49,0,5.6,26.5,9,134,0,2.821869,255,7,1,N/A,Sniff,0,6.3,0,0.97,29
111,1/13/2021 9:55,21,1,13,9,55,1,5.5,26.8,8,134,0.7117945,3.436847,255,7,2,0,Sniff,1.6,7.7,0.3,1.2,29.1
112,1/13/2021 10:01,21,1,13,10,1,2,5.5,27.4,7,134,0,2.847178,255,7,3,N/A,Sniff,0,6.4,0,1.1,29.3
113,1/13/2021 10:07,21,1,13,10,7,1,5.5,28.4,7,134,0,2.847178,255,7,4,N/A,Sniff,0,6.4,0,1.1,29.3
114,1/13/2021 10:13,21,1,13,10,13,2,5.5,29.6,7,134,0.7117945,3.436847,255,7,5,0,Sniff,1.6,7.7,0.3,1.3,29.2
115,1/13/2021 10:19,21,1,13,10,19,1,5.5,30.5,6,134,0,2.847178,255,7,6,N/A,Sniff,0,6.4,0,1.1,29.3
116,1/13/2021 10:25,21,1,13,10,25,2,5.5,31.1,6,134,0.7117945,3.436847,255,7,7,0,Sniff,1.6,7.7,0.3,1.3,29.2
117,1/13/2021 10:31,21,1,13,10,31,0,5.5,31.7,6,134,0,2.847178,255,7,8,N/A,Sniff,0,6.4,0,1.1,29.3
118,1/13/2021 10:37,21,1,13,10,37,1,5.5,32,6,134,0.7117945,3.436847,255,7,9,0,Sniff,1.6,7.7,0.3,1.3,29.4
119,1/13/2021 10:43,21,1,13,10,43,3,5.5,32.3,6,134,0.7117945,3.436847,255,7,10,1,Sniff,1.6,7.7,0.3,1.3,29.3
120,1/13/2021 10:49,21,1,13,10,49,0,5.5,32.3,6,134,0,2.847178,255,7,11,N/A,Sniff,0,6.4,0,1.1,29.1
121,1/13/2021 10:55,21,1,13,10,55,1,5.5,32.3,6,134,0,2.847178,255,7,12,N/A,Sniff,0,6.4,0,1.1,29.3
122,1/13/2021 11:01,21,1,13,11,1,2,5.5,32.6,6,134,0,2.847178,255,7,13,N/A,Sniff,0,6.4,0,1.1,29.3
123,1/13/2021 11:07,21,1,13,11,7,1,5.5,33.2,6,134,0,2.847178,255,7,14,N/A,Sniff,0,6.4,0,1.1,29.3
124,1/13/2021 11:13,21,1,13,11,13,0,5.5,33.8,6,134,0,2.847178,255,7,15,N/A,Sniff,0,6.4,0,1.1,29.5
125,1/13/2021 11:19,21,1,13,11,19,0,5.5,34.8,6,134,0,2.847178,255,7,16,N/A,Sniff,0,6.4,0,1.1,29.5
126,1/13/2021 11:25,21,1,13,11,25,2,5.5,35.4,6,134,0.7117945,3.436847,255,7,17,0,Sniff,1.6,7.7,0.3,1.3,29.5
127,1/13/2021 11:31,21,1,13,11,31,2,5.5,35.7,6,134,0.7117945,3.436847,255,7,18,0,Sniff,1.6,7.7,0.3,1.3,29.6
128,1/13/2021 11:37,21,1,13,11,37,0,5.5,36,6,134,0,2.847178,255,7,19,N/A,Sniff,0,6.4,0,1.1,30
129,1/13/2021 11:43,21,1,13,11,43,1,5.5,35.7,6,134,0,2.847178,255,7,20,N/A,Sniff,0,6.4,0,1.1,30
130,1/13/2021 11:49,21,1,13,11,49,2,5.5,35.4,6,134,0,2.847178,255,7,21,N/A,Sniff,0,6.4,0,1.1,29.8
131,1/13/2021 11:55,21,1,13,11,55,2,5.5,35.1,6,134,0.7117945,3.436847,255,7,22,1,Sniff,1.6,7.7,0.3,1.3,29.9
132,1/13/2021 12:01,21,1,13,12,1,1,5.5,34.8,6,134,0.7117945,3.436847,255,7,23,0,Sniff,1.6,7.7,0.3,1.3,30.2
133,1/13/2021 12:07,21,1,13,12,7,5,5.5,34.2,5,134,1.423589,3.889317,255,7,24,0.5,Sniff,2.3,8.8,0.4,1.4,30.5
134,1/13/2021 12:13,21,1,13,12,13,2,5.5,33.8,5,134,0.7117945,3.436847,255,7,25,1,Sniff,1.6,7.7,0.3,1.3,30.5
135,1/13/2021 12:19,21,1,13,12,19,2,5.5,33.5,6,134,1.423589,3.889317,255,7,26,0,Sniff,3.2,8.8,0.5,1.4,30
136,1/13/2021 12:25,21,1,13,12,25,4,5.5,33.2,5,134,1.423589,3.889317,255,7,27,1,Sniff,3.2,8.8,0.5,1.4,30.3
137,1/13/2021 12:31,21,1,13,12,31,1,5.5,32.9,5,134,0.7117945,3.436847,255,7,28,0,Sniff,1.6,7.7,0.3,1.3,30
138,1/13/2021 12:37,21,1,13,12,37,3,5.5,33.2,5,134,0,2.847178,255,7,29,N/A,Sniff,0,6.4,0,1,29.5
139,1/13/2021 12:43,21,1,13,12,43,1,5.5,33.2,5,134,0,2.847178,255,7,30,N/A,Sniff,0,6.4,0,1.1,29.5
140,1/13/2021 12:49,21,1,13,12,49,4,5.5,33.5,5,134,0.7117945,3.436847,255,7,31,2,Sniff,1.6,7.7,0.3,1.3,30
141,1/13/2021 12:55,21,1,13,12,55,0,5.5,33.8,5,134,0,2.847178,255,7,32,N/A,Sniff,0,6.4,0,1.1,30.4
142,1/13/2021 12:56,21,1,13,12,56,0,0.8,33.8,5,134,0,19.84127,255,7,33,N/A,Sniff,0,44,0,7.3,30.5
