"Plot Title: CT_346"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739346, SEN S/N: 20739346)","Temp, °C (LGR S/N: 20739346, SEN S/N: 20739346)"
1,06/12/22 11:28:00 AM,0.0,28.42
2,06/12/22 11:32:00 AM,0.0,28.68
3,06/12/22 11:36:00 AM,0.0,28.82
4,06/12/22 11:40:00 AM,0.0,28.87
5,06/12/22 11:44:00 AM,0.0,28.92
6,06/12/22 11:48:00 AM,0.0,28.96
7,06/12/22 11:52:00 AM,0.0,28.97
8,06/12/22 11:56:00 AM,0.0,29.10
9,06/12/22 12:00:00 PM,0.0,29.49
10,06/12/22 12:04:00 PM,39846.0,28.78
11,06/12/22 12:08:00 PM,39778.9,28.64
12,06/12/22 12:12:00 PM,39717.7,28.62
13,06/12/22 12:16:00 PM,39738.1,28.63
14,06/12/22 12:20:00 PM,39697.4,28.62
15,06/12/22 12:24:00 PM,39648.0,28.60
16,06/12/22 12:28:00 PM,39595.9,28.62
17,06/12/22 12:32:00 PM,39648.0,28.62
18,06/12/22 12:36:00 PM,39604.5,28.62
19,06/12/22 12:40:00 PM,39604.5,28.63
20,06/12/22 12:44:00 PM,39587.2,28.63
21,06/12/22 12:48:00 PM,39566.9,28.64
22,06/12/22 12:52:00 PM,39578.5,28.64
23,06/12/22 12:56:00 PM,39575.6,28.64
24,06/12/22 01:00:00 PM,39572.7,28.64
25,06/12/22 01:04:00 PM,39558.2,28.64
26,06/12/22 01:08:00 PM,39584.3,28.65
27,06/12/22 01:12:00 PM,39546.7,28.64
28,06/12/22 01:16:00 PM,39526.4,28.60
29,06/12/22 01:20:00 PM,39532.2,28.62
30,06/12/22 01:24:00 PM,39520.7,28.63
31,06/12/22 01:28:00 PM,39506.2,28.65
32,06/12/22 01:32:00 PM,39523.6,28.66
33,06/12/22 01:36:00 PM,39523.6,28.68
34,06/12/22 01:40:00 PM,39517.8,28.68
35,06/12/22 01:44:00 PM,39517.8,28.69
36,06/12/22 01:48:00 PM,39509.1,28.69
37,06/12/22 01:52:00 PM,39486.0,28.69
38,06/12/22 01:56:00 PM,39463.0,28.69
39,06/12/22 02:00:00 PM,39460.1,28.66
40,06/12/22 02:04:00 PM,39460.1,28.65
41,06/12/22 02:08:00 PM,39460.1,28.65
42,06/12/22 02:12:00 PM,39448.6,28.68
43,06/12/22 02:16:00 PM,39457.2,28.68
44,06/12/22 02:20:00 PM,39437.1,28.68
45,06/12/22 02:24:00 PM,39457.2,28.66
46,06/12/22 02:28:00 PM,39439.9,28.64
47,06/12/22 02:32:00 PM,39448.6,28.65
48,06/12/22 02:36:00 PM,39457.2,28.65
49,06/12/22 02:40:00 PM,39451.5,28.65
50,06/12/22 02:44:00 PM,39442.8,28.66
51,06/12/22 02:48:00 PM,39431.3,28.70
52,06/12/22 02:52:00 PM,39460.1,28.71
53,06/12/22 02:56:00 PM,39428.4,28.73
54,06/12/22 03:00:00 PM,39448.6,28.74
55,06/12/22 03:04:00 PM,39457.2,28.74
56,06/12/22 03:08:00 PM,39457.2,28.75
57,06/12/22 03:12:00 PM,39437.1,28.76
58,06/12/22 03:16:00 PM,39442.8,28.79
59,06/12/22 03:20:00 PM,39419.8,28.79
60,06/12/22 03:24:00 PM,39419.8,28.79
61,06/12/22 03:28:00 PM,39419.8,28.79
62,06/12/22 03:32:00 PM,39445.7,28.79
63,06/12/22 03:36:00 PM,39442.8,28.79
64,06/12/22 03:40:00 PM,39439.9,28.80
65,06/12/22 03:44:00 PM,39428.4,28.81
66,06/12/22 03:48:00 PM,39460.1,28.81
67,06/12/22 03:52:00 PM,39428.4,28.81
68,06/12/22 03:56:00 PM,39445.7,28.81
69,06/12/22 04:00:00 PM,39414.0,28.81
70,06/12/22 04:04:00 PM,39405.4,28.81
71,06/12/22 04:08:00 PM,39445.7,28.79
72,06/12/22 04:12:00 PM,39445.7,28.78
73,06/12/22 04:16:00 PM,39422.7,28.75
74,06/12/22 04:20:00 PM,39442.8,28.74
75,06/12/22 04:24:00 PM,39399.7,28.73
76,06/12/22 04:28:00 PM,39419.8,28.71
77,06/12/22 04:32:00 PM,39399.7,28.69
78,06/12/22 04:36:00 PM,39391.0,28.68
79,06/12/22 04:40:00 PM,39422.7,28.66
80,06/12/22 04:44:00 PM,39382.4,28.64
81,06/12/22 04:48:00 PM,39414.0,28.63
82,06/12/22 04:52:00 PM,39393.9,28.62
83,06/12/22 04:56:00 PM,39379.5,28.57
84,06/12/22 05:00:00 PM,39419.8,28.55
85,06/12/22 05:04:00 PM,2656.3,28.37
86,06/12/22 05:08:00 PM,2678.6,28.29
87,06/12/22 05:12:00 PM,2817.4,28.27
88,06/12/22 05:16:00 PM,3004.9,28.26
89,06/12/22 05:20:00 PM,3014.1,28.27
90,06/12/22 05:24:00 PM,3022.6,28.32
91,06/12/22 05:28:00 PM,3026.2,28.36
92,06/12/22 05:32:00 PM,3029.9,28.39
93,06/12/22 05:36:00 PM,3034.2,28.42
94,06/12/22 05:40:00 PM,3033.5,28.42
95,06/12/22 05:44:00 PM,3033.5,28.42
96,06/12/22 05:48:00 PM,3032.3,28.41
97,06/12/22 05:52:00 PM,3031.7,28.41
98,06/12/22 05:56:00 PM,3029.9,28.38
99,06/12/22 06:00:00 PM,3028.1,28.36
100,06/12/22 06:04:00 PM,3027.5,28.33
101,06/12/22 06:08:00 PM,3026.2,28.31
102,06/12/22 06:12:00 PM,3023.8,28.28
103,06/12/22 06:16:00 PM,3022.0,28.25
104,06/12/22 06:20:00 PM,3020.1,28.21
105,06/12/22 06:24:00 PM,3018.3,28.17
106,06/12/22 06:28:00 PM,3016.5,28.13
107,06/12/22 06:32:00 PM,3014.7,28.10
108,06/12/22 06:36:00 PM,3012.8,28.07
109,06/12/22 06:40:00 PM,3012.2,28.04
110,06/12/22 06:44:00 PM,3009.2,27.99
111,06/12/22 06:48:00 PM,3008.6,27.95
112,06/12/22 06:52:00 PM,3006.7,27.91
113,06/12/22 06:56:00 PM,3006.1,27.89
114,06/12/22 07:00:00 PM,3004.3,27.85
115,06/12/22 07:04:00 PM,3002.5,27.83
116,06/12/22 07:08:00 PM,2999.4,27.78
117,06/12/22 07:12:00 PM,2997.6,27.74
118,06/12/22 07:16:00 PM,2997.0,27.72
119,06/12/22 07:20:00 PM,2994.6,27.67
120,06/12/22 07:24:00 PM,2992.7,27.63
121,06/12/22 07:28:00 PM,2990.9,27.59
122,06/12/22 07:32:00 PM,2987.9,27.56
123,06/12/22 07:36:00 PM,2987.3,27.52
124,06/12/22 07:40:00 PM,2984.8,27.48
125,06/12/22 07:44:00 PM,2981.8,27.43
126,06/12/22 07:48:00 PM,2980.0,27.40
127,06/12/22 07:52:00 PM,2979.4,27.35
128,06/12/22 07:56:00 PM,2973.9,27.31
129,06/12/22 08:00:00 PM,2956.2,27.12
130,06/12/22 08:04:00 PM,2629.2,26.30
131,06/12/22 08:08:00 PM,2415.1,26.20
132,06/12/22 08:12:00 PM,1961.0,26.09
133,06/12/22 08:16:00 PM,1668.8,25.99
134,06/12/22 08:20:00 PM,1522.8,25.97
135,06/12/22 08:24:00 PM,1307.5,25.95
136,06/12/22 08:28:00 PM,1149.1,26.07
137,06/12/22 08:32:00 PM,987.4,26.07
138,06/12/22 08:36:00 PM,761.4,26.23
139,06/12/22 08:40:00 PM,690.3,26.30
140,06/12/22 08:44:00 PM,676.1,26.30
141,06/12/22 08:48:00 PM,662.9,26.35
142,06/12/22 08:52:00 PM,653.7,26.37
143,06/12/22 08:56:00 PM,628.5,26.34
144,06/12/22 09:00:00 PM,617.9,26.35
145,06/12/22 09:04:00 PM,602.1,26.31
146,06/12/22 09:08:00 PM,584.4,26.30
147,06/12/22 09:12:00 PM,568.2,26.31
148,06/12/22 09:16:00 PM,544.6,26.27
149,06/12/22 09:20:00 PM,520.6,26.29
150,06/12/22 09:24:00 PM,514.6,26.27
151,06/12/22 09:28:00 PM,502.0,26.25
152,06/12/22 09:32:00 PM,494.1,26.23
153,06/12/22 09:36:00 PM,483.0,26.19
154,06/12/22 09:40:00 PM,475.2,26.15
155,06/12/22 09:44:00 PM,462.3,26.11
156,06/12/22 09:48:00 PM,463.7,26.10
157,06/12/22 09:52:00 PM,471.0,26.08
