Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-03 06:00:00,24.36,0, , , , , 
2022-06-03 06:02:00,24.32,0, , , , , 
2022-06-03 06:04:00,24.36,0, , , , , 
2022-06-03 06:06:00,24.36,0, , , , , 
2022-06-03 06:08:00,24.36,0, , , , , 
2022-06-03 06:10:00,24.36,0, , , , , 
2022-06-03 06:12:00,24.36,0, , , , , 
2022-06-03 06:14:00,24.36,0, , , , , 
2022-06-03 06:16:00,24.36,107, , , , , 
2022-06-03 06:18:00,24.54,8, , , , , 
2022-06-03 06:20:00,24.58,7, , , , , 
2022-06-03 06:22:00,24.58,0, , , , , 
2022-06-03 06:24:00,24.58,0, , , , , 
2022-06-03 06:26:00,24.58,0, , , , , 
2022-06-03 06:28:00,24.62,0, , , , , 
2022-06-03 06:30:00,24.62,0, , , , , 
2022-06-03 06:32:00,24.66,0, , , , , 
2022-06-03 06:34:00,24.62,0, , , , , 
2022-06-03 06:36:00,24.58,0, , , , , 
2022-06-03 06:38:00,24.58,0, , , , , 
2022-06-03 06:40:00,24.62,0, , , , , 
2022-06-03 06:42:00,24.62,0, , , , , 
2022-06-03 06:44:00,24.66,0, , , , , 
2022-06-03 06:46:00,24.71,0, , , , , 
2022-06-03 06:48:00,24.66,0, , , , , 
2022-06-03 06:50:00,24.75,0, , , , , 
2022-06-03 06:52:00,24.71,0, , , , , 
2022-06-03 06:54:00,24.79,0, , , , , 
2022-06-03 06:56:00,24.75,0, , , , , 
2022-06-03 06:58:00,24.88,1, , , , , 
2022-06-03 07:00:00,24.92,15, , , , , 
2022-06-03 07:02:00,24.92,15, , , , , 
2022-06-03 07:04:00,24.97,15, , , , , 
2022-06-03 07:06:00,25.01,18, , , , , 
2022-06-03 07:08:00,25.01,20, , , , , 
2022-06-03 07:10:00,25.01,19, , , , , 
2022-06-03 07:12:00,25.01,"3,233", , , , , 
2022-06-03 07:14:00,24.88,"3,382", , , , , 
2022-06-03 07:16:00,24.79,"3,873", , , , , 
2022-06-03 07:18:00,24.97,"3,615", , , , , 
2022-06-03 07:20:00,25.01,"2,893", , , , , 
2022-06-03 07:22:00,25.31,"4,800", , , , , 
2022-06-03 07:24:00,25.57,"3,512", , , , , 
2022-06-03 07:26:00,25.31,149, , , , , 
2022-06-03 07:28:00,25.39,"6,999", , , , , 
2022-06-03 07:30:00,25.74,"7,173", , , , , 
2022-06-03 07:32:00,25.69,"6,118", , , , , 
2022-06-03 07:34:00,25.78,"5,896", , , , , 
2022-06-03 07:36:00,25.57,"5,119", , , , , 
2022-06-03 07:38:00,25.39,"3,164", , , , , 
2022-06-03 07:40:00,25.82,"3,587", , , , , 
2022-06-03 07:42:00,25.74,0, , , , , 
2022-06-03 07:44:00,25.57,0, , , , , 
2022-06-03 07:46:00,25.82,"1,162", , , , , 
2022-06-03 07:48:00,25.99,964, , , , , 
2022-06-03 07:50:00,25.99,949, , , , , 
2022-06-03 07:52:00,26.04,828, , , , , 
2022-06-03 07:54:00,26.04,848, , , , , 
2022-06-03 07:56:00,26.08,904, , , , , 
