Date,LoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-06-13 12:46:00,20739332,28.07,59532.638369327535,37.27151200274234
2022-06-13 12:48:00,20739332,28.11,59488.638369327535,37.208736431832186
2022-06-13 12:50:00,20739332,28.07,59373.038369327536,37.15858921099793
2022-06-13 12:52:00,20739332,28.08,59325.33836932753,37.11696251537405
2022-06-13 12:54:00,20739332,28.19,59492.638369327535,37.14841848863458
2022-06-13 12:56:00,20739332,28.26,59750.038369327536,37.27477463331056
2022-06-13 12:58:00,20739332,28.24,59484.638369327535,37.10340381731652
2022-06-13 13:00:00,20739332,28.24,59540.638369327535,37.14288608792818
2022-06-13 13:02:00,20739332,28.26,59508.638369327535,37.10458872252799
2022-06-13 13:04:00,20739332,28.29,59697.43836932753,37.21401155792435
2022-06-13 13:06:00,20739332,28.29,59604.83836932753,37.14876725959207
2022-06-13 13:08:00,20739332,28.32,59758.038369327536,37.233047875037975
2022-06-13 13:10:00,20739332,28.29,59600.83836932753,37.14594936708693
2022-06-13 13:12:00,20739332,28.27,59440.73836932753,37.04889030710482
2022-06-13 13:14:00,20739332,28.34,59697.43836932753,37.17461924558313
2022-06-13 13:16:00,20739332,28.31,59388.93836932753,36.981052768546235
2022-06-13 13:18:00,20739332,28.24,59456.638369327535,37.08366533870087
2022-06-13 13:20:00,20739332,28.25,59428.73836932753,37.056142438290436
2022-06-13 13:22:00,20739332,28.21,59476.638369327535,37.12137310244674
2022-06-13 13:24:00,20739332,28.22,59673.23836932753,37.252199975489404
2022-06-13 13:26:00,20739332,28.22,59685.33836932753,37.26073926005042
2022-06-13 13:28:00,20739332,28.22,59560.73836932753,37.172821643774405
2022-06-13 13:30:00,20739332,28.22,59592.83836932753,37.195468010795295
2022-06-13 13:32:00,20739332,28.25,59641.038369327536,37.20580045902617
2022-06-13 13:34:00,20739332,28.25,59444.73836932753,37.06741787592857
2022-06-13 13:36:00,20739332,28.25,59592.83836932753,37.17181358819129
2022-06-13 13:38:00,20739332,28.2,59412.83836932753,37.08423719751528
2022-06-13 13:40:00,20739332,28.26,59677.33836932753,37.22350761794644
2022-06-13 13:42:00,20739332,28.25,59685.33836932753,37.23704198164843
2022-06-13 13:44:00,20739332,28.3,59612.93836932753,37.14660254602069
2022-06-13 13:46:00,20739332,28.29,59596.83836932753,37.14313151066641
2022-06-13 13:48:00,20739332,28.26,59388.93836932753,37.02024955262671
2022-06-13 13:50:00,20739332,28.3,59452.638369327535,37.03372551752038
2022-06-13 13:52:00,20739332,28.32,59604.83836932753,37.12516624476892
2022-06-13 13:54:00,20739332,28.31,59741.93836932753,37.22959327455976
2022-06-13 13:56:00,20739332,28.29,59552.73836932753,37.11206703561924
2022-06-13 13:58:00,20739332,28.31,59645.038369327536,37.16133988403224
2022-06-13 14:00:00,20739332,28.35,59645.038369327536,37.12987513462721
2022-06-13 14:02:00,20739332,28.36,59612.93836932753,37.09943505374276
2022-06-13 14:04:00,20739332,28.34,59464.638369327535,37.010808529421226
2022-06-13 14:06:00,20739332,28.39,59693.43836932753,37.13248445858134
2022-06-13 14:08:00,20739332,28.419999999999998,59705.538369327536,37.11742912057665
2022-06-13 14:10:00,20739332,28.4,59600.83836932753,37.0595422393495
2022-06-13 14:12:00,20739332,28.419999999999998,59528.638369327535,36.99315568447602
2022-06-13 14:14:00,20739332,28.46,59637.038369327536,37.03796220907723
2022-06-13 14:16:00,20739332,28.49,59677.33836932753,37.04276023653082
2022-06-13 14:18:00,20739332,28.54,59633.038369327536,36.972619218164176
2022-06-13 14:20:00,20739332,28.52,59552.73836932753,36.931952349268066
2022-06-13 14:22:00,20739332,28.58,59608.83836932753,36.92447654584274
2022-06-13 14:24:00,20739332,28.59,59572.73836932753,36.891422361892694
2022-06-13 14:26:00,20739332,28.64,59770.23836932753,36.99064846548841
2022-06-13 14:28:00,20739332,28.65,59681.33836932753,36.920688723758616
2022-06-13 14:30:00,20739332,28.65,59685.33836932753,36.92348529123028
2022-06-13 14:32:00,20739332,28.63,59584.73836932753,36.86870399983568
2022-06-13 14:34:00,20739332,28.68,59661.23836932753,36.8833099780152
2022-06-13 14:36:00,20739332,28.76,59701.538369327536,36.84933505969595
2022-06-13 14:38:00,20739332,28.74,59721.73836932753,36.878947809982655
2022-06-13 14:40:00,20739332,28.66,59697.43836932753,36.92416134849923
2022-06-13 14:42:00,20739332,28.66,59604.83836932753,36.85944153878874
2022-06-13 14:44:00,20739332,28.7,59504.638369327535,36.758441114173145
2022-06-13 14:46:00,20739332,28.65,59472.638369327535,36.77482728669751
2022-06-13 14:48:00,20739332,28.69,59645.038369327536,36.864224823881685
2022-06-13 14:50:00,20739332,28.7,59536.638369327535,36.780777751600375
2022-06-13 14:52:00,20739332,28.73,59516.638369327535,36.74359769461848
2022-06-13 14:54:00,20739332,28.73,59508.638369327535,36.738017316853835
2022-06-13 14:56:00,20739332,28.78,59492.638369327535,36.68823100944369
2022-06-13 14:58:00,20739332,28.78,59376.93836932753,36.607632379203
2022-06-13 15:00:00,20739332,28.75,59400.83836932753,36.64740480162126
2022-06-13 15:02:00,20739332,28.74,59428.73836932753,36.67457010731816
2022-06-13 15:04:00,20739332,28.69,59182.93836932753,36.541709411779344
2022-06-13 15:06:00,20739332,28.68,59309.43836932753,36.637667435839376
2022-06-13 15:08:00,20739332,28.68,59242.138369327535,36.5907069627241
2022-06-13 15:10:00,20739332,28.65,58990.538369327536,36.43825646293429
2022-06-13 15:12:00,20739332,28.66,59084.538369327536,36.49614978587194
2022-06-13 15:14:00,20739332,28.74,59341.23836932753,36.613572808202854
2022-06-13 15:16:00,20739332,28.76,59254.038369327536,36.53742066271369
2022-06-13 15:18:00,20739332,28.69,59037.43836932753,36.4402583918403
2022-06-13 15:20:00,20739332,28.65,59143.538369327536,36.5450149721064
2022-06-13 15:22:00,20739332,28.66,59246.038369327536,36.60885019714985
2022-06-13 15:24:00,20739332,28.69,59194.73836932753,36.549939121031585
2022-06-13 15:26:00,20739332,28.7,59242.138369327535,36.575296906836805
2022-06-13 15:28:00,20739332,28.71,59198.638369327535,36.537267766850185
2022-06-13 15:30:00,20739332,28.7,59297.538369327536,36.61393628838068
2022-06-13 15:32:00,20739332,28.73,59428.73836932753,36.68229110106956
2022-06-13 15:34:00,20739332,28.71,59226.33836932753,36.55657972614415
2022-06-13 15:36:00,20739332,28.65,59218.43836932753,36.59729682606216
2022-06-13 15:38:00,20739332,28.64,59112.038369327536,36.530728603700204
2022-06-13 15:40:00,20739332,28.65,58564.638369327535,36.14135193586116
2022-06-13 15:42:00,20739332,28.74,58877.43836932753,36.2905364509041
2022-06-13 15:44:00,20739332,28.79,58963.138369327535,36.311978295378246
2022-06-13 15:46:00,20739332,28.81,58799.73836932753,36.18315972663739
2022-06-13 15:48:00,20739332,28.8,58776.538369327536,36.17464548546184
2022-06-13 15:50:00,20739332,28.83,58838.538369327536,36.19490033734971
2022-06-13 15:52:00,20739332,28.85,58838.538369327536,36.17969353563966
2022-06-13 15:54:00,20739332,28.8,58768.73836932753,36.16922568703225
2022-06-13 15:56:00,20739332,28.75,58583.73836932753,36.07863135046416
2022-06-13 15:58:00,20739332,28.71,58537.73836932753,36.077006122791474
2022-06-13 16:00:00,20739332,28.69,58518.638369327535,36.07890474123473
2022-06-13 16:02:00,20739332,28.63,58207.138369327535,35.90756675042745
2022-06-13 16:04:00,20739332,28.59,58241.138369327535,35.96153770226351
2022-06-13 16:06:00,20739332,28.58,58404.138369327535,36.08275780835866
2022-06-13 16:08:00,20739332,28.55,58347.138369327535,36.065822394259754
2022-06-13 16:10:00,20739332,28.49,58192.038369327536,36.0031910358116
2022-06-13 16:12:00,20739332,28.44,58173.23836932753,36.028083958349306
2022-06-13 16:14:00,20739332,28.44,58335.73836932753,36.1416943763377
2022-06-13 16:16:00,20739332,28.39,58290.23836932753,36.14805369224117
2022-06-13 16:18:00,20739332,28.35,58214.638369327535,36.125685093521696
2022-06-13 16:20:00,20739332,28.32,58339.538369327536,36.236179214248665
2022-06-13 16:22:00,20739332,28.3,58158.138369327535,36.12431239154992
2022-06-13 16:24:00,20739332,28.22,58056.83836932753,36.114440239637304
2022-06-13 16:26:00,20739332,28.25,58248.638369327535,36.22610262833351
2022-06-13 16:28:00,20739332,28.22,58449.83836932753,36.39052340735556
2022-06-13 16:30:00,20739332,28.2,58461.33836932753,36.41404233629368
2022-06-13 16:32:00,20739332,28.169999999999998,58427.038369327536,36.41307833874342
2022-06-13 16:34:00,20739332,28.16,58537.73836932753,36.49872936712966
2022-06-13 16:36:00,20739332,28.15,58572.23836932753,36.530770752670506
2022-06-13 16:38:00,20739332,28.15,58676.038369327536,36.603889357398245
2022-06-13 16:40:00,20739332,28.14,58672.23836932753,36.60898000493394
2022-06-13 16:42:00,20739332,28.08,58668.33836932753,36.652893608873995
2022-06-13 16:44:00,20739332,28.07,58419.33836932753,36.485018067411545
2022-06-13 16:46:00,20739332,28.11,58488.038369327536,36.50245113896532
2022-06-13 16:48:00,20739332,28.06,58514.83836932753,36.56013961284442
2022-06-13 16:50:00,20739332,28.06,58419.33836932753,36.49276904898193
2022-06-13 16:52:00,20739332,28.11,58568.43836932753,36.55911847549296
2022-06-13 16:54:00,20739332,28.06,58556.93836932753,36.589845682295476
2022-06-13 16:56:00,20739332,28.01,58369.93836932753,36.49668616293758
2022-06-13 16:58:00,20739332,28.07,58545.43836932753,36.57396032765568
2022-06-13 17:00:00,20739332,28.06,58381.33836932753,36.46596768066228
2022-06-13 17:02:00,20739332,28.01,58568.43836932753,36.636872669785326
2022-06-13 17:04:00,20739332,28.01,58583.73836932753,36.64768170197594
2022-06-13 17:06:00,20739332,28.01,58568.43836932753,36.636872669785326
2022-06-13 17:08:00,20739332,28.01,58507.138369327535,36.59357124013556
2022-06-13 17:10:00,20739332,28,58472.73836932753,36.577051206483745
2022-06-13 17:12:00,20739332,28.02,58545.43836932753,36.61284044216033
2022-06-13 17:14:00,20739332,28.02,58749.43836932753,36.75696240409645
2022-06-13 17:16:00,20739332,28,58687.638369327535,36.72890749585494
2022-06-13 17:18:00,20739332,28.01,58629.83836932753,36.68025331586501
2022-06-13 17:20:00,20739332,28,58583.73836932753,36.65547477703535
2022-06-13 17:22:00,20739332,28,58618.33836932753,36.679926060301845
2022-06-13 17:24:00,20739332,28,58645.23836932753,36.698937757210125
2022-06-13 17:26:00,20739332,28.01,58749.43836932753,36.7647783741256
2022-06-13 17:28:00,20739332,27.98,58645.23836932753,36.71455133860509
2022-06-13 17:30:00,20739332,27.98,58676.038369327536,36.736330957061156
2022-06-13 17:32:00,20739332,27.98,58645.23836932753,36.71455133860509
2022-06-13 17:34:00,20739332,27.96,58610.638369327535,36.705701210113226
2022-06-13 17:36:00,20739332,27.96,58726.23836932753,36.78748343711158
2022-06-13 17:38:00,20739332,27.95,58676.038369327536,36.7597866131725
2022-06-13 17:40:00,20739332,27.95,58683.73836932753,36.765235442354566
2022-06-13 17:42:00,20739332,27.95,58660.638369327535,36.74888936062578
2022-06-13 17:44:00,20739332,27.919999999999998,58664.538369327536,36.775124470790125
2022-06-13 17:46:00,20739332,27.919999999999998,58633.73836932753,36.75331695420521
2022-06-13 17:48:00,20739332,27.91,58583.73836932753,36.72573794416118
2022-06-13 17:50:00,20739332,27.9,58614.538369327536,36.75537251032173
2022-06-13 17:52:00,20739332,27.87,58683.73836932753,36.82791661240881
2022-06-13 17:54:00,20739332,27.88,58676.038369327536,36.81461443779743
2022-06-13 17:56:00,20739332,27.88,58572.23836932753,36.74106159534815
2022-06-13 17:58:00,20739332,27.87,58583.73836932753,36.75703868516332
2022-06-13 18:00:00,20739332,27.9,58780.33836932753,36.872834806481265
2022-06-13 18:02:00,20739332,27.87,58572.23836932753,36.7488891901744
2022-06-13 18:04:00,20739332,27.87,58714.638369327535,36.84982251829568
2022-06-13 18:06:00,20739332,27.87,58722.33836932753,36.85528161148897
2022-06-13 18:08:00,20739332,27.86,58714.638369327535,36.857675103446915
2022-06-13 18:10:00,20739332,27.85,58676.038369327536,36.838154146240655
2022-06-13 18:12:00,20739332,27.85,58703.038369327536,36.857303050693325
2022-06-13 18:14:00,20739332,27.85,58664.538369327536,36.82999863811743
2022-06-13 18:16:00,20739332,27.85,58764.93836932753,36.90120998529
2022-06-13 18:18:00,20739332,27.83,58699.23836932753,36.87032234573019
2022-06-13 18:20:00,20739332,27.83,58679.93836932753,36.85662840139719
2022-06-13 18:22:00,20739332,27.83,58753.33836932753,36.90871250946008
