date,TempInSitu,Lux,Light_Serial
2022-06-13T12:46:00Z,28.48,4532,LUX_858
2022-06-13T12:48:00Z,28.53,4571,LUX_858
2022-06-13T12:50:00Z,28.53,4641,LUX_858
2022-06-13T12:52:00Z,28.57,4698,LUX_858
2022-06-13T12:54:00Z,28.57,4726,LUX_858
2022-06-13T12:56:00Z,28.65,4850,LUX_858
2022-06-13T12:58:00Z,28.65,5089,LUX_858
2022-06-13T13:00:00Z,28.7,5627,LUX_858
2022-06-13T13:02:00Z,28.7,5015,LUX_858
2022-06-13T13:04:00Z,28.7,4609,LUX_858
2022-06-13T13:06:00Z,28.7,5320,LUX_858
2022-06-13T13:08:00Z,28.74,5181,LUX_858
2022-06-13T13:10:00Z,28.78,5005,LUX_858
2022-06-13T13:12:00Z,28.7,4585,LUX_858
2022-06-13T13:14:00Z,28.7,3629,LUX_858
2022-06-13T13:16:00Z,28.74,4511,LUX_858
2022-06-13T13:18:00Z,28.74,5576,LUX_858
2022-06-13T13:20:00Z,28.74,5568,LUX_858
2022-06-13T13:22:00Z,28.74,5417,LUX_858
2022-06-13T13:24:00Z,28.7,4320,LUX_858
2022-06-13T13:26:00Z,28.65,4143,LUX_858
2022-06-13T13:28:00Z,28.65,5601,LUX_858
2022-06-13T13:30:00Z,28.7,5407,LUX_858
2022-06-13T13:32:00Z,28.65,4804,LUX_858
2022-06-13T13:34:00Z,28.7,5376,LUX_858
2022-06-13T13:36:00Z,28.7,5732,LUX_858
2022-06-13T13:38:00Z,28.7,4846,LUX_858
2022-06-13T13:40:00Z,28.65,4776,LUX_858
2022-06-13T13:42:00Z,28.7,5037,LUX_858
2022-06-13T13:44:00Z,28.74,5919,LUX_858
2022-06-13T13:46:00Z,28.7,6587,LUX_858
2022-06-13T13:48:00Z,28.7,6070,LUX_858
2022-06-13T13:50:00Z,28.74,6451,LUX_858
2022-06-13T13:52:00Z,28.78,6116,LUX_858
2022-06-13T13:54:00Z,28.78,5609,LUX_858
2022-06-13T13:56:00Z,28.7,5238,LUX_858
2022-06-13T13:58:00Z,28.7,5185,LUX_858
2022-06-13T14:00:00Z,28.74,4984,LUX_858
2022-06-13T14:02:00Z,28.74,5740,LUX_858
2022-06-13T14:04:00Z,28.83,5553,LUX_858
2022-06-13T14:06:00Z,28.83,5181,LUX_858
2022-06-13T14:08:00Z,28.78,4613,LUX_858
2022-06-13T14:10:00Z,28.78,4125,LUX_858
2022-06-13T14:12:00Z,28.78,3872,LUX_858
2022-06-13T14:14:00Z,28.78,4077,LUX_858
2022-06-13T14:16:00Z,28.87,4087,LUX_858
2022-06-13T14:18:00Z,28.87,4376,LUX_858
2022-06-13T14:20:00Z,28.95,4948,LUX_858
2022-06-13T14:22:00Z,28.95,4709,LUX_858
2022-06-13T14:24:00Z,28.91,3593,LUX_858
2022-06-13T14:26:00Z,28.95,3692,LUX_858
2022-06-13T14:28:00Z,28.95,3671,LUX_858
2022-06-13T14:30:00Z,28.95,3185,LUX_858
2022-06-13T14:32:00Z,29,3025,LUX_858
2022-06-13T14:34:00Z,28.95,2970,LUX_858
2022-06-13T14:36:00Z,29,3025,LUX_858
2022-06-13T14:38:00Z,29.04,2993,LUX_858
2022-06-13T14:40:00Z,29.04,2674,LUX_858
2022-06-13T14:42:00Z,29,3119,LUX_858
2022-06-13T14:44:00Z,29.04,3046,LUX_858
2022-06-13T14:46:00Z,29.04,2944,LUX_858
2022-06-13T14:48:00Z,29,2721,LUX_858
2022-06-13T14:50:00Z,29.04,3071,LUX_858
2022-06-13T14:52:00Z,29.04,3448,LUX_858
2022-06-13T14:54:00Z,29.13,4147,LUX_858
2022-06-13T14:56:00Z,29.13,5640,LUX_858
2022-06-13T14:58:00Z,29.21,5911,LUX_858
2022-06-13T15:00:00Z,29.21,6313,LUX_858
2022-06-13T15:02:00Z,29.26,6684,LUX_858
2022-06-13T15:04:00Z,29.21,6843,LUX_858
2022-06-13T15:06:00Z,29.17,6531,LUX_858
2022-06-13T15:08:00Z,29.21,6525,LUX_858
2022-06-13T15:10:00Z,29.13,6456,LUX_858
2022-06-13T15:12:00Z,29,5937,LUX_858
2022-06-13T15:14:00Z,29.08,6136,LUX_858
2022-06-13T15:16:00Z,29.13,3918,LUX_858
2022-06-13T15:18:00Z,29.04,3238,LUX_858
2022-06-13T15:20:00Z,29.04,2982,LUX_858
2022-06-13T15:22:00Z,29,2830,LUX_858
2022-06-13T15:24:00Z,28.91,3159,LUX_858
2022-06-13T15:26:00Z,29,3235,LUX_858
2022-06-13T15:28:00Z,28.95,3159,LUX_858
2022-06-13T15:30:00Z,29,3448,LUX_858
2022-06-13T15:32:00Z,29,4020,LUX_858
2022-06-13T15:34:00Z,29,3752,LUX_858
2022-06-13T15:36:00Z,28.95,3338,LUX_858
2022-06-13T15:38:00Z,28.95,2908,LUX_858
2022-06-13T15:40:00Z,28.87,2603,LUX_858
2022-06-13T15:42:00Z,28.87,3286,LUX_858
2022-06-13T15:44:00Z,28.95,3392,LUX_858
2022-06-13T15:46:00Z,29,3709,LUX_858
2022-06-13T15:48:00Z,29.04,3579,LUX_858
2022-06-13T15:50:00Z,29.04,3523,LUX_858
2022-06-13T15:52:00Z,29.13,3840,LUX_858
2022-06-13T15:54:00Z,29.13,3928,LUX_858
2022-06-13T15:56:00Z,29,3731,LUX_858
2022-06-13T15:58:00Z,29.04,3695,LUX_858
2022-06-13T16:00:00Z,28.95,3244,LUX_858
2022-06-13T16:02:00Z,28.91,2922,LUX_858
2022-06-13T16:04:00Z,28.87,3128,LUX_858
2022-06-13T16:06:00Z,28.95,3410,LUX_858
2022-06-13T16:08:00Z,28.91,3355,LUX_858
2022-06-13T16:10:00Z,28.78,3203,LUX_858
2022-06-13T16:12:00Z,28.78,2912,LUX_858
2022-06-13T16:14:00Z,28.74,2723,LUX_858
2022-06-13T16:16:00Z,28.7,2363,LUX_858
2022-06-13T16:18:00Z,28.65,2058,LUX_858
2022-06-13T16:20:00Z,28.57,1764,LUX_858
2022-06-13T16:22:00Z,28.57,1477,LUX_858
2022-06-13T16:24:00Z,28.53,1587,LUX_858
2022-06-13T16:26:00Z,28.48,1439,LUX_858
2022-06-13T16:28:00Z,28.53,2298,LUX_858
2022-06-13T16:30:00Z,28.53,2278,LUX_858
2022-06-13T16:32:00Z,28.53,2003,LUX_858
2022-06-13T16:34:00Z,28.53,2088,LUX_858
2022-06-13T16:36:00Z,28.48,1542,LUX_858
2022-06-13T16:38:00Z,28.48,1553,LUX_858
2022-06-13T16:40:00Z,28.44,2300,LUX_858
2022-06-13T16:42:00Z,28.44,1804,LUX_858
2022-06-13T16:44:00Z,28.35,1546,LUX_858
2022-06-13T16:46:00Z,28.35,1301,LUX_858
2022-06-13T16:48:00Z,28.4,1260,LUX_858
2022-06-13T16:50:00Z,28.35,1152,LUX_858
2022-06-13T16:52:00Z,28.35,1240,LUX_858
2022-06-13T16:54:00Z,28.4,1182,LUX_858
2022-06-13T16:56:00Z,28.27,1020,LUX_858
2022-06-13T16:58:00Z,28.27,951,LUX_858
2022-06-13T17:00:00Z,28.23,941,LUX_858
2022-06-13T17:02:00Z,28.23,1115,LUX_858
