Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-07-14 16:02:00,24.49,73, , , , , 
2022-07-14 16:04:00,24.54,109, , , , , 
2022-07-14 16:06:00,24.45,106, , , , , 
2022-07-14 16:08:00,24.24,82, , , , , 
2022-07-14 16:10:00,24.15,104, , , , , 
2022-07-14 16:12:00,24.11,97, , , , , 
2022-07-14 16:14:00,24.15,76, , , , , 
2022-07-14 16:16:00,24.11,80, , , , , 
2022-07-14 16:18:00,24.15,65, , , , , 
2022-07-14 16:20:00,24.15,104, , , , , 
2022-07-14 16:22:00,24.11,73, , , , , 
2022-07-14 16:24:00,24.06,80, , , , , 
2022-07-14 16:26:00,23.89,79, , , , , 
2022-07-14 16:28:00,23.85,74, , , , , 
2022-07-14 16:30:00,23.89,73, , , , , 
2022-07-14 16:32:00,23.89,56, , , , , 
2022-07-14 16:34:00,24.02,73, , , , , 
2022-07-14 16:36:00,23.98,63, , , , , 
2022-07-14 16:38:00,24.02,72, , , , , 
2022-07-14 16:40:00,24.06,74, , , , , 
2022-07-14 16:42:00,24.11,70, , , , , 
2022-07-14 16:44:00,24.06,68, , , , , 
2022-07-14 16:46:00,23.94,63, , , , , 
2022-07-14 16:48:00,23.89,67, , , , , 
2022-07-14 16:50:00,23.89,58, , , , , 
2022-07-14 16:52:00,23.89,49, , , , , 
2022-07-14 16:54:00,23.94,41, , , , , 
2022-07-14 16:56:00,24.02,40, , , , , 
2022-07-14 16:58:00,24.02,37, , , , , 
2022-07-14 17:00:00,24.02,0, , , , , 
2022-07-14 17:02:00,23.98,115, , , , , 
2022-07-14 17:04:00,24.45,"1,287", , , , , 
2022-07-14 17:06:00,24.88,"1,204", , , , , 
2022-07-14 17:08:00,25.22,"1,003", , , , , 
2022-07-14 17:10:00,25.48,792, , , , , 
2022-07-14 17:12:00,25.74,39, , , , , 
2022-07-14 17:14:00,25.48,1, , , , , 
2022-07-14 17:16:00,25.27,2, , , , , 
2022-07-14 17:18:00,25.09,11, , , , , 
2022-07-14 17:20:00,24.84,29, , , , , 
2022-07-14 17:22:00,23.72,151, , , , , 
2022-07-14 17:24:00,23.16,191, , , , , 
2022-07-14 17:26:00,23.12,190, , , , , 
2022-07-14 17:28:00,23.25,186, , , , , 
2022-07-14 17:30:00,23.38,187, , , , , 
2022-07-14 17:32:00,23.42,187, , , , , 
2022-07-14 17:34:00,23.59,187, , , , , 
2022-07-14 17:36:00,23.64,185, , , , , 
2022-07-14 17:38:00,23.68,187, , , , , 
2022-07-14 17:40:00,23.72,175, , , , , 
2022-07-14 17:42:00,23.81,176, , , , , 
2022-07-14 17:44:00,23.85,174, , , , , 
2022-07-14 17:46:00,23.89,173, , , , , 
2022-07-14 17:48:00,23.98,173, , , , , 
2022-07-14 17:50:00,24.06,172, , , , , 
2022-07-14 17:52:00,24.19,185, , , , , 
2022-07-14 17:54:00,24.15,185, , , , , 
2022-07-14 17:56:00,24.24,7, , , , , 
2022-07-14 17:58:00,24.49,0, , , , , 
2022-07-14 18:00:00,24.62,0, , , , , 
2022-07-14 18:02:00,24.71,0, , , , , 
2022-07-14 18:04:00,24.88,0, , , , , 
2022-07-14 18:06:00,24.88,0, , , , , 
2022-07-14 18:08:00,25.01,0, , , , , 
2022-07-14 18:10:00,24.97,0, , , , , 
2022-07-14 18:12:00,25.01,0, , , , , 
2022-07-14 18:14:00,25.01,0, , , , , 
2022-07-14 18:16:00,25.05,0, , , , , 
2022-07-14 18:18:00,25.05,0, , , , , 
2022-07-14 18:20:00,25.05,0, , , , , 
2022-07-14 18:22:00,25.01,0, , , , , 
2022-07-14 18:24:00,25.05,0, , , , , 
2022-07-14 18:26:00,25.01,0, , , , , 
2022-07-14 18:28:00,25.01,0, , , , , 
2022-07-14 18:30:00,25.01,0, , , , , 
2022-07-14 18:32:00,24.97,0, , , , , 
2022-07-14 18:34:00,24.97,0, , , , , 
2022-07-14 18:36:00,24.92,0, , , , , 
2022-07-14 18:38:00,24.97,0, , , , , 
2022-07-14 18:40:00,24.92,0, , , , , 
2022-07-14 18:42:00,24.92,0, , , , , 
2022-07-14 18:44:00,24.84,0, , , , , 
2022-07-14 18:46:00,24.88,0, , , , , 
2022-07-14 18:48:00,24.84,0, , , , , 
2022-07-14 18:50:00,24.79,0, , , , , 
2022-07-14 18:52:00,24.84,0, , , , , 
2022-07-14 18:54:00,24.79,0, , , , , 
2022-07-14 18:56:00,24.84,0, , , , , 
2022-07-14 18:58:00,24.71,0, , , , , 
2022-07-14 19:00:00,24.71,0, , , , , 
2022-07-14 19:02:00,24.71,0, , , , , 
2022-07-14 19:04:00,24.71,0, , , , , 
2022-07-14 19:06:00,24.71,0, , , , , 
2022-07-14 19:08:00,24.66,0, , , , , 
2022-07-14 19:10:00,24.66,0, , , , , 
2022-07-14 19:12:00,24.66,0, , , , , 
2022-07-14 19:14:00,24.66,0, , , , , 
2022-07-14 19:16:00,24.62,0, , , , , 
2022-07-14 19:18:00,24.66,0, , , , , 
2022-07-14 19:20:00,24.58,0, , , , , 
2022-07-14 19:22:00,24.62,0, , , , , 
2022-07-14 19:24:00,24.58,0, , , , , 
2022-07-14 19:26:00,24.62,0, , , , , 
2022-07-14 19:28:00,24.58,0, , , , , 
2022-07-14 19:30:00,24.54,0, , , , , 
2022-07-14 19:32:00,24.54,0, , , , , 
2022-07-14 19:34:00,24.54,0, , , , , 
2022-07-14 19:36:00,24.49,0, , , , , 
2022-07-14 19:38:00,24.54,0, , , , , 
2022-07-14 19:40:00,24.49,0, , , , , 
2022-07-14 19:42:00,24.45,0, , , , , 
2022-07-14 19:44:00,24.45,0, , , , , 
2022-07-14 19:46:00,24.45,0, , , , , 
2022-07-14 19:48:00,24.49,0, , , , , 
2022-07-14 19:50:00,24.45,0, , , , , 
2022-07-14 19:52:00,24.41,0, , , , , 
2022-07-14 19:54:00,24.41,0, , , , , 
2022-07-14 19:56:00,24.36,0, , , , , 
2022-07-14 19:58:00,24.41,0, , , , , 
2022-07-14 20:00:00,24.36,0, , , , , 
2022-07-14 20:02:00,24.32,0, , , , , 
2022-07-14 20:04:00,24.32,0, , , , , 
2022-07-14 20:06:00,24.32,0, , , , , 
2022-07-14 20:08:00,24.28,0, , , , , 
2022-07-14 20:10:00,24.24,0, , , , , 
2022-07-14 20:12:00,24.28,0, , , , , 
2022-07-14 20:14:00,24.19,0, , , , , 
2022-07-14 20:16:00,24.24,0, , , , , 
2022-07-14 20:18:00,24.15,0, , , , , 
2022-07-14 20:20:00,24.15,0, , , , , 
2022-07-14 20:22:00,24.15,0, , , , , 
2022-07-14 20:24:00,24.11,0, , , , , 
2022-07-14 20:26:00,24.11,0, , , , , 
2022-07-14 20:28:00,24.06,0, , , , , 
2022-07-14 20:30:00,24.06,0, , , , , 
2022-07-14 20:32:00,24.06,0, , , , , 
2022-07-14 20:34:00,23.98,0, , , , , 
2022-07-14 20:36:00,24.02,0, , , , , 
2022-07-14 20:38:00,23.98,0, , , , , 
2022-07-14 20:40:00,23.98,0, , , , , 
2022-07-14 20:42:00,23.94,0, , , , , 
2022-07-14 20:44:00,23.94,0, , , , , 
2022-07-14 20:46:00,23.89,0, , , , , 
2022-07-14 20:48:00,23.94,0, , , , , 
2022-07-14 20:50:00,23.89,0, , , , , 
2022-07-14 20:52:00,23.89,0, , , , , 
2022-07-14 20:54:00,23.89,0, , , , , 
2022-07-14 20:56:00,23.85,0, , , , , 
2022-07-14 20:58:00,23.85,0, , , , , 
2022-07-14 21:00:00,23.85,0, , , , , 
2022-07-14 21:02:00,23.89,0, , , , , 
2022-07-14 21:04:00,23.85,0, , , , , 
2022-07-14 21:06:00,23.81,0, , , , , 
2022-07-14 21:08:00,23.85,0, , , , , 
2022-07-14 21:10:00,23.85,0, , , , , 
2022-07-14 21:12:00,23.81,0, , , , , 
2022-07-14 21:14:00,23.85,0, , , , , 
2022-07-14 21:16:00,23.81,0, , , , , 
2022-07-14 21:18:00,23.81,0, , , , , 
2022-07-14 21:20:00,23.76,0, , , , , 
2022-07-14 21:22:00,23.76,0, , , , , 
2022-07-14 21:24:00,23.76,0, , , , , 
2022-07-14 21:26:00,23.76,0, , , , , 
2022-07-14 21:28:00,23.76,0, , , , , 
2022-07-14 21:30:00,23.76,0, , , , , 
2022-07-14 21:32:00,23.76,0, , , , , 
2022-07-14 21:34:00,23.76,0, , , , , 
2022-07-14 21:36:00,23.72,0, , , , , 
2022-07-14 21:38:00,23.76,0, , , , , 
2022-07-14 21:40:00,23.76,0, , , , , 
2022-07-14 21:42:00,23.72,0, , , , , 
2022-07-14 21:44:00,23.76,0, , , , , 
2022-07-14 21:46:00,23.72,0, , , , , 
2022-07-14 21:48:00,23.68,0, , , , , 
2022-07-14 21:50:00,23.72,0, , , , , 
2022-07-14 21:52:00,23.72,0, , , , , 
2022-07-14 21:54:00,23.68,0, , , , , 
2022-07-14 21:56:00,23.72,0, , , , , 
2022-07-14 21:58:00,23.72,0, , , , , 
2022-07-14 22:00:00,23.72,0, , , , , 
2022-07-14 22:02:00,23.72,0, , , , , 
2022-07-14 22:04:00,23.72,0, , , , , 
2022-07-14 22:06:00,23.72,0, , , , , 
2022-07-14 22:08:00,23.68,0, , , , , 
2022-07-14 22:10:00,23.64,0, , , , , 
2022-07-14 22:12:00,23.64,0, , , , , 
2022-07-14 22:14:00,23.64,0, , , , , 
2022-07-14 22:16:00,23.59,0, , , , , 
2022-07-14 22:18:00,23.68,0, , , , , 
2022-07-14 22:20:00,23.64,0, , , , , 
2022-07-14 22:22:00,23.59,0, , , , , 
2022-07-14 22:24:00,23.64,0, , , , , 
2022-07-14 22:26:00,23.59,0, , , , , 
2022-07-14 22:28:00,23.59,0, , , , , 
2022-07-14 22:30:00,23.55,0, , , , , 
2022-07-14 22:32:00,23.55,0, , , , , 
2022-07-14 22:34:00,23.55,0, , , , , 
2022-07-14 22:36:00,23.59,0, , , , , 
2022-07-14 22:38:00,23.55,0, , , , , 
2022-07-14 22:40:00,23.51,0, , , , , 
2022-07-14 22:42:00,23.51,0, , , , , 
2022-07-14 22:44:00,23.51,0, , , , , 
2022-07-14 22:46:00,23.51,0, , , , , 
2022-07-14 22:48:00,23.55,0, , , , , 
2022-07-14 22:50:00,23.46,0, , , , , 
2022-07-14 22:52:00,23.51,0, , , , , 
2022-07-14 22:54:00,23.51,0, , , , , 
2022-07-14 22:56:00,23.51,0, , , , , 
2022-07-14 22:58:00,23.46,0, , , , , 
2022-07-14 23:00:00,23.46,0, , , , , 
2022-07-14 23:02:00,23.42,0, , , , , 
2022-07-14 23:04:00,23.46,0, , , , , 
2022-07-14 23:06:00,23.46,0, , , , , 
2022-07-14 23:08:00,23.42,0, , , , , 
2022-07-14 23:10:00,23.42,0, , , , , 
2022-07-14 23:12:00,23.38,0, , , , , 
2022-07-14 23:14:00,23.38,0, , , , , 
2022-07-14 23:16:00,23.34,0, , , , , 
2022-07-14 23:18:00,23.38,0, , , , , 
2022-07-14 23:20:00,23.38,0, , , , , 
2022-07-14 23:22:00,23.38,0, , , , , 
2022-07-14 23:24:00,23.38,0, , , , , 
2022-07-14 23:26:00,23.38,0, , , , , 
2022-07-14 23:28:00,23.34,0, , , , , 
2022-07-14 23:30:00,23.38,0, , , , , 
2022-07-14 23:32:00,23.38,0, , , , , 
2022-07-14 23:34:00,23.34,0, , , , , 
2022-07-14 23:36:00,23.38,0, , , , , 
2022-07-14 23:38:00,23.34,0, , , , , 
2022-07-14 23:40:00,23.34,0, , , , , 
2022-07-14 23:42:00,23.29,0, , , , , 
2022-07-14 23:44:00,23.29,0, , , , , 
2022-07-14 23:46:00,23.29,0, , , , , 
2022-07-14 23:48:00,23.25,0, , , , , 
2022-07-14 23:50:00,23.29,0, , , , , 
2022-07-14 23:52:00,23.21,0, , , , , 
2022-07-14 23:54:00,23.21,0, , , , , 
2022-07-14 23:56:00,23.21,0, , , , , 
2022-07-14 23:58:00,23.21,0, , , , , 
2022-07-15 00:00:00,23.21,0, , , , , 
2022-07-15 00:02:00,23.16,0, , , , , 
2022-07-15 00:04:00,23.16,0, , , , , 
2022-07-15 00:06:00,23.16,0, , , , , 
2022-07-15 00:08:00,23.12,0, , , , , 
2022-07-15 00:10:00,23.12,0, , , , , 
2022-07-15 00:12:00,23.12,0, , , , , 
2022-07-15 00:14:00,23.08,0, , , , , 
2022-07-15 00:16:00,23.08,0, , , , , 
2022-07-15 00:18:00,23.03,0, , , , , 
2022-07-15 00:20:00,23.03,0, , , , , 
2022-07-15 00:22:00,23.08,0, , , , , 
2022-07-15 00:24:00,23.03,0, , , , , 
2022-07-15 00:26:00,23.03,0, , , , , 
2022-07-15 00:28:00,23.03,0, , , , , 
2022-07-15 00:30:00,22.99,0, , , , , 
2022-07-15 00:32:00,23.03,0, , , , , 
2022-07-15 00:34:00,22.99,0, , , , , 
2022-07-15 00:36:00,22.95,0, , , , , 
2022-07-15 00:38:00,22.95,0, , , , , 
2022-07-15 00:40:00,22.99,0, , , , , 
2022-07-15 00:42:00,22.99,0, , , , , 
2022-07-15 00:44:00,22.95,0, , , , , 
2022-07-15 00:46:00,22.95,0, , , , , 
2022-07-15 00:48:00,22.95,0, , , , , 
2022-07-15 00:50:00,22.91,0, , , , , 
2022-07-15 00:52:00,22.95,0, , , , , 
2022-07-15 00:54:00,22.91,0, , , , , 
2022-07-15 00:56:00,22.91,0, , , , , 
2022-07-15 00:58:00,22.91,0, , , , , 
2022-07-15 01:00:00,22.86,0, , , , , 
2022-07-15 01:02:00,22.86,0, , , , , 
2022-07-15 01:04:00,22.82,0, , , , , 
2022-07-15 01:06:00,22.86,0, , , , , 
2022-07-15 01:08:00,22.82,0, , , , , 
2022-07-15 01:10:00,22.82,0, , , , , 
2022-07-15 01:12:00,22.78,0, , , , , 
2022-07-15 01:14:00,22.82,0, , , , , 
2022-07-15 01:16:00,22.78,0, , , , , 
2022-07-15 01:18:00,22.73,0, , , , , 
2022-07-15 01:20:00,22.73,0, , , , , 
2022-07-15 01:22:00,22.73,0, , , , , 
2022-07-15 01:24:00,22.73,0, , , , , 
2022-07-15 01:26:00,22.73,0, , , , , 
2022-07-15 01:28:00,22.69,0, , , , , 
2022-07-15 01:30:00,22.69,0, , , , , 
2022-07-15 01:32:00,22.73,0, , , , , 
2022-07-15 01:34:00,22.69,0, , , , , 
2022-07-15 01:36:00,22.69,0, , , , , 
2022-07-15 01:38:00,22.65,0, , , , , 
2022-07-15 01:40:00,22.65,0, , , , , 
2022-07-15 01:42:00,22.61,0, , , , , 
2022-07-15 01:44:00,22.65,0, , , , , 
2022-07-15 01:46:00,22.61,0, , , , , 
2022-07-15 01:48:00,22.65,0, , , , , 
2022-07-15 01:50:00,22.61,0, , , , , 
2022-07-15 01:52:00,22.61,0, , , , , 
2022-07-15 01:54:00,22.61,0, , , , , 
2022-07-15 01:56:00,22.61,0, , , , , 
2022-07-15 01:58:00,22.56,0, , , , , 
2022-07-15 02:00:00,22.61,0, , , , , 
2022-07-15 02:02:00,22.61,0, , , , , 
2022-07-15 02:04:00,22.65,0, , , , , 
2022-07-15 02:06:00,22.65,0, , , , , 
2022-07-15 02:08:00,22.61,0, , , , , 
2022-07-15 02:10:00,22.65,0, , , , , 
2022-07-15 02:12:00,22.61,0, , , , , 
2022-07-15 02:14:00,22.65,0, , , , , 
2022-07-15 02:16:00,22.61,0, , , , , 
2022-07-15 02:18:00,22.61,0, , , , , 
2022-07-15 02:20:00,22.65,0, , , , , 
2022-07-15 02:22:00,22.65,0, , , , , 
2022-07-15 02:24:00,22.65,0, , , , , 
2022-07-15 02:26:00,22.73,0, , , , , 
2022-07-15 02:28:00,22.69,0, , , , , 
2022-07-15 02:30:00,22.65,0, , , , , 
2022-07-15 02:32:00,22.69,0, , , , , 
2022-07-15 02:34:00,22.69,0, , , , , 
2022-07-15 02:36:00,22.73,0, , , , , 
2022-07-15 02:38:00,22.69,0, , , , , 
2022-07-15 02:40:00,22.78,0, , , , , 
2022-07-15 02:42:00,22.73,0, , , , , 
2022-07-15 02:44:00,22.69,0, , , , , 
2022-07-15 02:46:00,22.73,0, , , , , 
2022-07-15 02:48:00,22.78,0, , , , , 
2022-07-15 02:50:00,22.73,0, , , , , 
2022-07-15 02:52:00,22.73,0, , , , , 
