7450-646496
OS REV: 1.05 Sensor Cal: 1573749572
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658458320,+2.92,+27.309, +9.051,+0.932
1658458440,+2.92,+27.309, +9.021,+0.933
1658458560,+2.92,+27.301, +8.933,+0.933
1658458680,+2.92,+27.301, +8.857,+0.932
1658458800,+2.92,+27.301, +8.982,+0.932
1658458920,+2.92,+27.301, +8.987,+0.931
1658459040,+2.92,+27.267, +8.921,+0.932
1658459160,+2.92,+27.267, +8.992,+0.932
1658459280,+2.92,+27.301, +9.105,+0.932
1658459400,+2.92,+27.292, +9.001,+0.932
1658459520,+2.92,+27.267, +8.987,+0.932
1658459640,+2.92,+27.284, +8.852,+0.932
1658459760,+2.92,+27.250, +8.695,+0.933
1658459880,+2.92,+27.267, +8.670,+0.932
1658460000,+2.92,+27.250, +8.594,+0.931
1658460120,+2.92,+27.242, +8.493,+0.932
1658460240,+2.92,+27.216, +8.524,+0.931
1658460360,+2.92,+27.233, +8.552,+0.932
1658460480,+2.92,+27.225, +8.551,+0.932
1658460600,+2.92,+27.208, +8.473,+0.932
1658460720,+2.92,+27.182, +8.299,+0.931
1658460840,+2.92,+27.199, +8.480,+0.933
1658460960,+2.92,+27.199, +8.489,+0.932
1658461080,+2.92,+27.165, +8.345,+0.931
1658461200,+2.92,+27.174, +8.420,+0.932
1658461320,+2.92,+27.182, +8.397,+0.931
1658461440,+2.92,+27.148, +8.334,+0.931
1658461560,+2.92,+27.174, +8.312,+0.930
1658461680,+2.92,+27.097, +8.054,+0.931
1658461800,+2.92,+27.114, +8.246,+0.932
1658461920,+2.92,+27.148, +8.279,+0.932
1658462040,+2.92,+27.140, +8.239,+0.931
1658462160,+2.92,+27.106, +8.223,+0.932
1658462280,+2.92,+27.114, +8.160,+0.931
1658462400,+2.92,+27.038, +8.014,+0.931
1658462520,+2.92,+27.063, +8.131,+0.932
1658462640,+2.92,+27.106, +8.189,+0.931
1658462760,+2.92,+27.080, +8.204,+0.931
1658462880,+2.92,+27.072, +8.165,+0.932
1658463000,+2.92,+27.080, +8.105,+0.931
1658463120,+2.92,+27.055, +8.061,+0.931
1658463240,+2.92,+27.055, +8.122,+0.932
1658463360,+2.92,+27.063, +8.167,+0.932
1658463480,+2.92,+27.046, +8.132,+0.930
1658463600,+2.92,+27.046, +8.043,+0.931
1658463720,+2.92,+27.038, +8.063,+0.932
1658463840,+2.92,+26.996, +7.970,+0.931
1658463960,+2.92,+27.029, +8.107,+0.931
1658464080,+2.92,+26.987, +7.997,+0.932
1658464200,+2.92,+26.996, +7.986,+0.931
1658464320,+2.92,+27.012, +8.047,+0.932
1658464440,+2.92,+27.021, +8.019,+0.930
1658464560,+2.92,+26.953, +7.803,+0.930
1658464680,+2.92,+27.004, +7.940,+0.930
1658464800,+2.92,+27.021, +7.998,+0.931
1658464920,+2.92,+27.004, +7.952,+0.930
1658465040,+2.92,+26.987, +7.938,+0.932
1658465160,+2.92,+27.004, +7.978,+0.930
1658465280,+2.92,+26.987, +7.959,+0.932
1658465400,+2.92,+26.945, +7.902,+0.932
1658465520,+2.92,+26.953, +7.895,+0.931
1658465640,+2.92,+26.936, +7.833,+0.931
1658465760,+2.92,+26.877, +7.815,+0.931
1658465880,+2.92,+26.928, +7.854,+0.931
1658466000,+2.92,+26.911, +7.848,+0.930
1658466120,+2.92,+26.919, +7.801,+0.931
1658466240,+2.92,+26.894, +7.782,+0.931
1658466360,+2.92,+26.885, +7.677,+0.930
1658466480,+2.92,+26.843, +7.759,+0.931
1658466600,+2.92,+26.902, +7.834,+0.931
1658466720,+2.92,+26.894, +7.815,+0.931
1658466840,+2.92,+26.860, +7.770,+0.930
1658466960,+2.92,+26.843, +7.732,+0.930
1658467080,+2.92,+26.894, +7.796,+0.932
1658467200,+2.92,+26.894, +7.800,+0.931
