"","DateTime","Battery","Heading","Pitch","Roll","Pressure","Temperature","AnalogIn1","AnalogIn2","Speed.1.0.150m.","Dir.1.0.150m.","Speed.2.0.200m.","Dir.2.0.200m.","Speed.3.0.250m.","Dir.3.0.250m.","Speed.4.0.300m.","Dir.4.0.300m.","Speed.5.0.350m.","Dir.5.0.350m.","Speed.6.0.400m.","Dir.6.0.400m.","Speed.7.0.450m.","Dir.7.0.450m.","Speed.8.0.500m.","Dir.8.0.500m.","Speed.9.0.550m.","Dir.9.0.550m.","Speed.10.0.600m.","Dir.10.0.600m.","Speed.11.0.650m.","Dir.11.0.650m.","Speed.12.0.700m.","Dir.12.0.700m.","Speed.13.0.750m.","Dir.13.0.750m.","Speed.14.0.800m.","Dir.14.0.800m.","Speed.15.0.850m.","Dir.15.0.850m.","Speed.16.0.900m.","Dir.16.0.900m.","Speed.17.0.950m.","Dir.17.0.950m.","X"
"1",2022-03-29 13:36:00,12,139.3,3.4,5.5,2.556,29.73,0,0,0.029,141.95,0.022,136.85,0.02,110.22,0.014,143.97,0.017,159.44,0.014,149.74,0.013,138.01,0.017,122.74,0.017,113.63,0.016,104.93,0.009,130.6,0.012,189.46,0.017,208.07,0.012,214.99,0.007,285.95,0.021,328.57,0.028,341.57,NA
"2",2022-03-29 13:38:00,12,139.1,3.4,5.5,2.593,29.52,0,0,0.016,50.19,0.018,45,0.018,40.6,0.02,36.87,0.021,41.19,0.023,39.81,0.025,45,0.028,49.4,0.027,53.97,0.025,49.9,0.025,58.24,0.027,58.67,0.022,63.43,0.022,63.43,0.02,69.78,0.015,78.69,0.015,78.69,NA
"3",2022-03-29 13:40:00,12,139.2,3.4,5.5,2.562,29.34,0,0,0.014,17.1,0.017,28.07,0.02,23.96,0.023,30.96,0.022,35.84,0.021,41.19,0.022,43.15,0.021,41.19,0.023,50.19,0.025,49.9,0.024,53.62,0.021,58.57,0.019,57.99,0.017,57.26,0.012,59.04,0.01,60.95,0.007,33.69,NA
"4",2022-03-29 13:42:00,12,139.2,3.3,5.5,2.562,29.24,0,0,0.006,38.66,0.015,47.73,0.021,46.97,0.025,40.1,0.024,45,0.025,36.87,0.023,30.96,0.021,37.41,0.023,45,0.023,48.58,0.025,40.1,0.024,38.29,0.021,37.41,0.019,34.51,0.018,40.6,0.016,42.51,0.013,61.39,NA
"5",2022-03-29 13:44:00,12,139.1,3.3,5.5,2.548,29.17,0,0,0.013,347.01,0.013,347.01,0.013,351.25,0.014,4.09,0.011,21.8,0.013,26.57,0.013,26.57,0.015,28.3,0.015,28.3,0.014,24.78,0.015,19.65,0.012,19.98,0.01,11.31,0.007,8.13,0.005,21.8,0.005,36.87,0.006,38.66,NA
"6",2022-03-29 13:46:00,12,139.2,3.3,5.5,2.564,29.12,0,0,0.002,153.43,0.002,153.43,0.005,53.13,0.005,68.2,0.005,68.2,0.006,71.57,0.009,54.46,0.005,21.8,0.008,7.13,0.009,20.56,0.012,19.98,0.01,23.96,0.013,22.62,0.014,30.26,0.012,19.98,0.014,24.78,0.011,26.57,NA
"7",2022-03-29 13:48:00,12,139.1,3.3,5.5,2.585,29.1,0,0,0.018,225,0.018,225,0.017,239.04,0.018,243.43,0.016,251.57,0.015,262.41,0.017,263.29,0.016,273.58,0.014,278.13,0.016,296.57,0.018,296.57,0.02,290.22,0.02,300.47,0.018,299.36,0.018,296.57,0.02,281.31,0.019,278.97,NA
"8",2022-03-29 13:50:00,11.9,139.1,3.3,5.5,2.558,29.06,0,0,0.016,248.2,0.016,251.57,0.013,243.43,0.015,241.7,0.018,243.43,0.017,234.46,0.015,241.7,0.016,251.57,0.015,262.41,0.015,266.19,0.015,266.19,0.016,273.58,0.013,274.4,0.013,274.4,0.012,270,0.01,270,0.012,270,NA
"9",2022-03-29 13:52:00,11.9,139.2,3.3,5.5,2.537,29.05,0,0,0.032,69.86,0.033,72.12,0.029,74.05,0.029,69.68,0.026,67.38,0.025,64.44,0.024,67.75,0.026,54.46,0.025,48.18,0.029,43.6,0.027,53.97,0.026,54.46,0.028,62.53,0.023,64.54,0.025,61.39,0.025,68.63,0.023,70.02,NA
"10",2022-03-29 13:54:00,11.9,139.1,3.3,5.5,2.559,29.04,0,0,0.014,338.96,0.014,338.96,0.013,351.25,0.011,0,0.011,0,0.011,15.26,0.01,16.7,0.01,16.7,0.01,5.71,0.01,16.7,0.013,8.75,0.013,8.75,0.011,0,0.005,11.31,0.008,7.13,0.007,333.43,0.006,329.04,NA
"11",2022-03-29 13:56:00,11.9,139.1,3.3,5.5,2.559,29.05,0,0,0.019,57.99,0.017,57.26,0.019,57.99,0.019,55.49,0.019,55.49,0.019,53.75,0.019,51.34,0.022,46.85,0.024,45,0.026,51.34,0.022,50.53,0.019,51.34,0.019,51.34,0.019,53.75,0.014,65.22,0.017,72.65,0.015,74.05,NA
