Plot Title: CT_353_CSled_20220314,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739353, SEN S/N: 20739353)","Temp, °C (LGR S/N: 20739353, SEN S/N: 20739353)"
1,3/14/22 07:12,40351.2,27.61
2,3/14/22 07:14,40226.7,28.02
3,3/14/22 07:16,37541.3,28.15
4,3/14/22 07:18,40912.4,28.02
5,3/14/22 07:20,38284.9,27.61
6,3/14/22 07:22,29709,26.73
7,3/14/22 07:24,29395.8,26.51
8,3/14/22 07:26,29974.6,28
9,3/14/22 07:28,30719.5,28.14
10,3/14/22 07:30,30758.7,28.17
11,3/14/22 07:32,29134.3,28.16
12,3/14/22 07:34,29172.3,28.2
13,3/14/22 07:36,29726.4,28.02
14,3/14/22 07:38,26984.5,27.6
15,3/14/22 07:40,28647.2,28.03
16,3/14/22 07:42,33093.2,28.04
17,3/14/22 07:44,32435,28.19
18,3/14/22 07:46,28598,28.17
19,3/14/22 07:48,25650.6,28.2
20,3/14/22 07:50,25230.6,28.08
21,3/14/22 07:52,26148.3,28.13
22,3/14/22 07:54,26048.7,28.26
23,3/14/22 07:56,25933.8,28.26
24,3/14/22 07:58,26059.4,28.25
25,3/14/22 08:00,26241.3,28.27
26,3/14/22 08:02,26207.3,28.27
27,3/14/22 08:04,31738,28.28
28,3/14/22 08:06,30682.6,28.3
29,3/14/22 08:08,30087.7,28.28
30,3/14/22 08:10,30264.4,28.33
31,3/14/22 08:12,31148.4,28.27
32,3/14/22 08:14,31686.9,28.33
33,3/14/22 08:16,31772.1,28.36
34,3/14/22 08:18,28571.4,28.36
35,3/14/22 08:20,30481.4,28.37
36,3/14/22 08:22,30402,28.39
37,3/14/22 08:24,32032.5,28.49
38,3/14/22 08:26,29421.5,28.63
39,3/14/22 08:28,28428.9,28.63
40,3/14/22 08:30,27025.7,28.7
41,3/14/22 08:32,30632.1,28.66
42,3/14/22 08:34,29637.2,28.71
43,3/14/22 08:36,29987.9,28.74
44,3/14/22 08:38,27836.5,28.76
45,3/14/22 08:40,27210.2,28.81
46,3/14/22 08:42,29888.5,28.74
47,3/14/22 08:44,30253.2,28.73
48,3/14/22 08:46,29485.9,28.8
49,3/14/22 08:48,31818.5,28.88
50,3/14/22 08:50,36578.2,28.82
51,3/14/22 08:52,34410.6,28.79
52,3/14/22 08:54,33022.7,28.76
53,3/14/22 08:56,36312.6,28.76
54,3/14/22 08:58,33981.6,28.86
55,3/14/22 09:00,35455.6,28.87
56,3/14/22 09:02,35618.2,28.91
57,3/14/22 09:04,36245.2,28.95
58,3/14/22 09:06,40237.6,28.99
59,3/14/22 09:08,39221.4,29.06
60,3/14/22 09:10,39347.8,29.08
61,3/14/22 09:12,38011,29.15
62,3/14/22 09:14,33801.7,29.07
63,3/14/22 09:16,37590.1,29.29
64,3/14/22 09:18,39946.9,29.26
