date,DO_mg_L,Temperature
2022-03-31T15:31:00Z,11.878,30.917
2022-03-31T15:33:00Z,12.161,30.978
2022-03-31T15:35:00Z,12.047,30.96
2022-03-31T15:37:00Z,11.735,30.917
2022-03-31T15:39:00Z,11.771,30.865
2022-03-31T15:41:00Z,11.605,30.882
2022-03-31T15:43:00Z,11.517,30.761
2022-03-31T15:45:00Z,11.724,30.769
2022-03-31T15:47:00Z,11.73,30.743
2022-03-31T15:49:00Z,12.079,30.778
2022-03-31T15:51:00Z,11.971,30.752
2022-03-31T15:53:00Z,10.796,30.743
2022-03-31T15:55:00Z,11.143,30.639
2022-03-31T15:57:00Z,11.701,30.683
2022-03-31T15:59:00Z,11.676,30.7
2022-03-31T16:01:00Z,11.736,30.657
2022-03-31T16:03:00Z,11.601,30.631
2022-03-31T16:05:00Z,11.649,30.631
2022-03-31T16:07:00Z,10.812,30.518
2022-03-31T16:09:00Z,11.489,30.544
2022-03-31T16:11:00Z,11.134,30.518
2022-03-31T16:13:00Z,11.056,30.492
2022-03-31T16:15:00Z,11.273,30.51
2022-03-31T16:17:00Z,11.611,30.518
2022-03-31T16:19:00Z,11.235,30.501
2022-03-31T16:21:00Z,11.018,30.44
2022-03-31T16:23:00Z,10.922,30.475
2022-03-31T16:25:00Z,10.482,30.38
2022-03-31T16:27:00Z,10.387,30.415
2022-03-31T16:29:00Z,10.739,30.363
2022-03-31T16:31:00Z,10.666,30.345
2022-03-31T16:33:00Z,10.762,30.354
2022-03-31T16:35:00Z,10.779,30.363
2022-03-31T16:37:00Z,10.507,30.311
2022-03-31T16:39:00Z,10.283,30.311
2022-03-31T16:41:00Z,10.654,30.319
2022-03-31T16:43:00Z,9.777,30.207
2022-03-31T16:45:00Z,10.175,30.199
2022-03-31T16:47:00Z,10.257,30.259
2022-03-31T16:49:00Z,10.319,30.25
2022-03-31T16:51:00Z,10.169,30.207
2022-03-31T16:53:00Z,10.085,30.207
2022-03-31T16:55:00Z,10.205,30.233
2022-03-31T16:57:00Z,10.162,30.224
2022-03-31T16:59:00Z,10.008,30.199
2022-03-31T17:01:00Z,10.333,30.233
2022-03-31T17:03:00Z,9.875,30.104
2022-03-31T17:05:00Z,10.064,30.138
2022-03-31T17:07:00Z,9.958,30.104
2022-03-31T17:09:00Z,9.997,30.086
2022-03-31T17:11:00Z,9.979,30.112
2022-03-31T17:13:00Z,9.896,30.086
2022-03-31T17:15:00Z,9.817,30.052
2022-03-31T17:17:00Z,9.638,30.026
2022-03-31T17:19:00Z,9.615,29.983
2022-03-31T17:21:00Z,9.783,29.983
2022-03-31T17:23:00Z,9.991,29.991
2022-03-31T17:25:00Z,9.734,29.957
2022-03-31T17:27:00Z,9.429,29.914
2022-03-31T17:29:00Z,9.345,29.905
2022-03-31T17:31:00Z,9.374,29.948
2022-03-31T17:33:00Z,9.1,29.879
2022-03-31T17:35:00Z,9,29.828
2022-03-31T17:37:00Z,9.112,29.811
2022-03-31T17:39:00Z,8.981,29.785
2022-03-31T17:41:00Z,9.085,29.802
2022-03-31T17:43:00Z,9.215,29.811
2022-03-31T17:45:00Z,8.863,29.759
2022-03-31T17:47:00Z,8.832,29.742
2022-03-31T17:49:00Z,8.662,29.69
2022-03-31T17:51:00Z,8.677,29.716
2022-03-31T17:53:00Z,8.457,29.681
2022-03-31T17:55:00Z,8.506,29.681
2022-03-31T17:57:00Z,8.532,29.664
2022-03-31T17:59:00Z,8.29,29.647
2022-03-31T18:01:00Z,8.305,29.613
2022-03-31T18:03:00Z,8.23,29.613
2022-03-31T18:05:00Z,8.098,29.561
2022-03-31T18:07:00Z,8.16,29.57
2022-03-31T18:09:00Z,8.275,29.613
2022-03-31T18:11:00Z,8.068,29.552
2022-03-31T18:13:00Z,8.178,29.57
2022-03-31T18:15:00Z,8.194,29.604
2022-03-31T18:17:00Z,8.035,29.587
2022-03-31T18:19:00Z,8.062,29.57
2022-03-31T18:21:00Z,8.089,29.587
2022-03-31T18:23:00Z,7.871,29.535
2022-03-31T18:25:00Z,7.899,29.527
2022-03-31T18:27:00Z,7.927,29.544
2022-03-31T18:29:00Z,7.879,29.518
2022-03-31T18:31:00Z,7.485,29.432
2022-03-31T18:33:00Z,7.629,29.415
2022-03-31T18:35:00Z,7.773,29.449
2022-03-31T18:37:00Z,7.513,29.415
2022-03-31T18:39:00Z,7.664,29.406
2022-03-31T18:41:00Z,7.521,29.398
2022-03-31T18:43:00Z,7.311,29.346
2022-03-31T18:45:00Z,7.219,29.286
2022-03-31T18:47:00Z,7.379,29.277
2022-03-31T18:49:00Z,7.447,29.32
2022-03-31T18:51:00Z,7.336,29.295
2022-03-31T18:53:00Z,7.321,29.269
2022-03-31T18:55:00Z,7.259,29.243
2022-03-31T18:57:00Z,7.191,29.209
2022-03-31T18:59:00Z,7.33,29.209
2022-03-31T19:01:00Z,7.273,29.235
2022-03-31T19:03:00Z,7.147,29.209
2022-03-31T19:05:00Z,7.148,29.192
2022-03-31T19:07:00Z,7.403,29.252
2022-03-31T19:09:00Z,7.176,29.26
2022-03-31T19:11:00Z,7.149,29.269
2022-03-31T19:13:00Z,7.16,29.26
2022-03-31T19:15:00Z,7.313,29.295
2022-03-31T19:17:00Z,7.236,29.277
2022-03-31T19:19:00Z,7.304,29.286
2022-03-31T19:21:00Z,7.136,29.277
2022-03-31T19:23:00Z,7.308,29.303
