"Plot Title: Pressure_877_CSled_20220331"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810877, SEN S/N: 20810877)","Temp, °C (LGR S/N: 20810877, SEN S/N: 20810877)","Water Level, meters (LGR S/N: 20810877)"
1,03/31/22 02:34:00 PM,100.899,30.356,-0.001
2,03/31/22 02:36:00 PM,100.925,30.054,0.002
3,03/31/22 02:38:00 PM,100.897,29.752,-0.001
4,03/31/22 02:40:00 PM,100.908,29.552,0.000
5,03/31/22 02:42:00 PM,100.905,29.452,-0.000
6,03/31/22 02:44:00 PM,100.898,29.252,-0.001
7,03/31/22 02:46:00 PM,100.895,29.152,-0.001
8,03/31/22 02:48:00 PM,100.891,29.053,-0.002
9,03/31/22 02:50:00 PM,100.891,29.053,-0.002
10,03/31/22 02:52:00 PM,100.891,29.053,-0.002
11,03/31/22 02:54:00 PM,100.906,28.953,-0.000
12,03/31/22 02:56:00 PM,100.888,28.953,-0.002
13,03/31/22 02:58:00 PM,100.888,28.953,-0.002
14,03/31/22 03:00:00 PM,100.888,28.953,-0.002
15,03/31/22 03:02:00 PM,100.870,28.953,-0.004
16,03/31/22 03:04:00 PM,100.888,28.953,-0.002
17,03/31/22 03:06:00 PM,100.888,28.953,-0.002
18,03/31/22 03:08:00 PM,100.888,28.953,-0.002
19,03/31/22 03:10:00 PM,100.888,28.953,-0.002
20,03/31/22 03:12:00 PM,100.852,28.953,-0.006
21,03/31/22 03:14:00 PM,100.839,29.652,-0.007
22,03/31/22 03:16:00 PM,101.020,30.760,0.011
23,03/31/22 03:18:00 PM,100.908,31.166,0.000
24,03/31/22 03:20:00 PM,104.802,31.370,0.387
25,03/31/22 03:22:00 PM,104.430,31.574,0.350
26,03/31/22 03:24:00 PM,104.416,31.676,0.349
27,03/31/22 03:26:00 PM,104.614,31.676,0.369
28,03/31/22 03:28:00 PM,104.380,31.676,0.345
29,03/31/22 03:30:00 PM,104.650,31.676,0.372
30,03/31/22 03:32:00 PM,104.452,31.676,0.353
31,03/31/22 03:34:00 PM,104.289,31.676,0.336
32,03/31/22 03:36:00 PM,104.412,31.574,0.349
33,03/31/22 03:38:00 PM,104.394,31.574,0.347
34,03/31/22 03:40:00 PM,104.448,31.574,0.352
35,03/31/22 03:42:00 PM,104.286,31.574,0.336
36,03/31/22 03:44:00 PM,104.307,31.676,0.338
37,03/31/22 03:46:00 PM,104.452,31.676,0.353
38,03/31/22 03:48:00 PM,103.944,31.574,0.302
39,03/31/22 03:50:00 PM,104.376,31.574,0.345
40,03/31/22 03:52:00 PM,104.264,31.472,0.334
41,03/31/22 03:54:00 PM,104.138,31.472,0.321
42,03/31/22 03:56:00 PM,104.210,31.472,0.328
43,03/31/22 03:58:00 PM,103.922,31.472,0.300
44,03/31/22 04:00:00 PM,104.214,31.574,0.329
45,03/31/22 04:02:00 PM,104.016,31.574,0.309
46,03/31/22 04:04:00 PM,104.138,31.472,0.321
47,03/31/22 04:06:00 PM,104.048,31.472,0.312
48,03/31/22 04:08:00 PM,104.012,31.472,0.309
49,03/31/22 04:10:00 PM,103.976,31.472,0.305
50,03/31/22 04:12:00 PM,103.976,31.472,0.305
51,03/31/22 04:14:00 PM,103.796,31.472,0.287
52,03/31/22 04:16:00 PM,103.832,31.472,0.291
53,03/31/22 04:18:00 PM,103.868,31.472,0.294
54,03/31/22 04:20:00 PM,103.760,31.472,0.284
55,03/31/22 04:22:00 PM,103.580,31.472,0.266
56,03/31/22 04:24:00 PM,103.616,31.472,0.269
57,03/31/22 04:26:00 PM,103.778,31.472,0.286
58,03/31/22 04:28:00 PM,103.756,31.370,0.283
59,03/31/22 04:30:00 PM,103.414,31.370,0.249
60,03/31/22 04:32:00 PM,103.666,31.370,0.274
61,03/31/22 04:34:00 PM,103.537,31.268,0.262
62,03/31/22 04:36:00 PM,103.771,31.268,0.285
63,03/31/22 04:38:00 PM,103.735,31.268,0.281
64,03/31/22 04:40:00 PM,103.537,31.268,0.262
65,03/31/22 04:42:00 PM,103.447,31.268,0.253
66,03/31/22 04:44:00 PM,103.393,31.268,0.247
67,03/31/22 04:46:00 PM,103.537,31.268,0.262
68,03/31/22 04:48:00 PM,103.339,31.268,0.242
69,03/31/22 04:50:00 PM,103.303,31.268,0.238
70,03/31/22 04:52:00 PM,103.249,31.268,0.233
71,03/31/22 04:54:00 PM,103.285,31.268,0.236
72,03/31/22 04:56:00 PM,103.263,31.166,0.234
73,03/31/22 04:58:00 PM,103.317,31.166,0.240
74,03/31/22 05:00:00 PM,103.479,31.166,0.256
75,03/31/22 05:02:00 PM,103.098,31.064,0.218
76,03/31/22 05:04:00 PM,103.422,31.064,0.250
77,03/31/22 05:06:00 PM,103.076,30.963,0.216
78,03/31/22 05:08:00 PM,103.238,30.963,0.232
79,03/31/22 05:10:00 PM,103.199,30.862,0.228
80,03/31/22 05:12:00 PM,103.235,30.862,0.232
81,03/31/22 05:14:00 PM,103.001,30.862,0.208
82,03/31/22 05:16:00 PM,102.907,30.760,0.199
83,03/31/22 05:18:00 PM,102.886,30.659,0.197
84,03/31/22 05:20:00 PM,103.008,30.558,0.209
85,03/31/22 05:22:00 PM,102.954,30.558,0.204
86,03/31/22 05:24:00 PM,102.987,30.457,0.207
87,03/31/22 05:26:00 PM,102.876,30.356,0.196
88,03/31/22 05:28:00 PM,102.908,30.255,0.199
89,03/31/22 05:30:00 PM,102.800,30.255,0.188
90,03/31/22 05:32:00 PM,102.854,30.255,0.194
91,03/31/22 05:34:00 PM,102.764,30.255,0.185
92,03/31/22 05:36:00 PM,102.728,30.255,0.181
93,03/31/22 05:38:00 PM,102.779,30.154,0.186
94,03/31/22 05:40:00 PM,102.833,30.154,0.192
95,03/31/22 05:42:00 PM,102.560,30.054,0.164
96,03/31/22 05:44:00 PM,102.883,30.054,0.196
97,03/31/22 05:46:00 PM,102.617,30.154,0.170
98,03/31/22 05:48:00 PM,102.509,30.154,0.159
99,03/31/22 05:50:00 PM,102.470,30.054,0.155
100,03/31/22 05:52:00 PM,102.380,30.054,0.146
101,03/31/22 05:54:00 PM,102.506,30.054,0.159
102,03/31/22 05:56:00 PM,102.484,29.953,0.157
103,03/31/22 05:58:00 PM,102.409,29.853,0.149
104,03/31/22 06:00:00 PM,102.405,29.752,0.149
105,03/31/22 06:02:00 PM,102.268,29.953,0.135
106,03/31/22 06:04:00 PM,102.538,29.953,0.162
107,03/31/22 06:06:00 PM,102.502,29.953,0.159
108,03/31/22 06:08:00 PM,102.409,29.853,0.149
109,03/31/22 06:10:00 PM,102.589,29.853,0.167
110,03/31/22 06:12:00 PM,102.283,29.853,0.137
111,03/31/22 06:14:00 PM,102.495,29.752,0.158
112,03/31/22 06:16:00 PM,102.352,29.752,0.144
113,03/31/22 06:18:00 PM,102.366,29.652,0.145
114,03/31/22 06:20:00 PM,102.381,29.552,0.147
115,03/31/22 06:22:00 PM,102.384,29.652,0.147
116,03/31/22 06:24:00 PM,102.441,29.752,0.153
117,03/31/22 06:26:00 PM,102.423,29.752,0.151
118,03/31/22 06:28:00 PM,102.405,29.752,0.149
119,03/31/22 06:30:00 PM,102.513,29.752,0.160
120,03/31/22 06:32:00 PM,102.370,29.752,0.145
121,03/31/22 06:34:00 PM,102.531,29.752,0.161
122,03/31/22 06:36:00 PM,102.405,29.752,0.149
123,03/31/22 06:38:00 PM,102.441,29.752,0.153
124,03/31/22 06:40:00 PM,102.352,29.752,0.144
125,03/31/22 06:42:00 PM,102.387,29.752,0.147
126,03/31/22 06:44:00 PM,102.348,29.652,0.143
127,03/31/22 06:46:00 PM,102.366,29.652,0.145
128,03/31/22 06:48:00 PM,102.330,29.652,0.141
129,03/31/22 06:50:00 PM,102.456,29.652,0.154
130,03/31/22 06:52:00 PM,102.528,29.652,0.161
131,03/31/22 06:54:00 PM,102.402,29.652,0.149
132,03/31/22 06:56:00 PM,102.477,29.752,0.156
133,03/31/22 06:58:00 PM,102.585,29.752,0.167
134,03/31/22 07:00:00 PM,102.420,29.652,0.150
135,03/31/22 07:02:00 PM,102.690,29.652,0.177
136,03/31/22 07:04:00 PM,102.510,29.652,0.159
137,03/31/22 07:06:00 PM,102.384,29.652,0.147
138,03/31/22 07:08:00 PM,102.492,29.652,0.158
139,03/31/22 07:10:00 PM,102.690,29.652,0.177
140,03/31/22 07:12:00 PM,102.402,29.652,0.149
141,03/31/22 07:14:00 PM,102.384,29.652,0.147
142,03/31/22 07:16:00 PM,102.618,29.652,0.170
143,03/31/22 07:18:00 PM,102.546,29.652,0.163
144,03/31/22 07:20:00 PM,102.654,29.652,0.174
145,03/31/22 07:22:00 PM,102.657,29.752,0.174
146,03/31/22 07:24:00 PM,102.942,29.652,0.202
147,03/31/22 07:26:00 PM,102.729,29.752,0.181
148,03/31/22 07:28:00 PM,102.618,29.652,0.170
149,03/31/22 07:30:00 PM,102.474,29.652,0.156
150,03/31/22 07:32:00 PM,102.582,29.652,0.167
151,03/31/22 07:34:00 PM,102.837,29.752,0.192
152,03/31/22 07:36:00 PM,102.873,29.752,0.195
153,03/31/22 07:38:00 PM,102.747,29.752,0.183
154,03/31/22 07:40:00 PM,102.942,29.652,0.202
155,03/31/22 07:42:00 PM,102.690,29.652,0.177
156,03/31/22 07:44:00 PM,102.798,29.652,0.188
157,03/31/22 07:46:00 PM,102.780,29.652,0.186
158,03/31/22 07:48:00 PM,102.995,29.652,0.208
159,03/31/22 07:50:00 PM,102.870,29.652,0.195
160,03/31/22 07:52:00 PM,103.049,29.652,0.213
161,03/31/22 07:54:00 PM,102.870,29.652,0.195
162,03/31/22 07:56:00 PM,102.978,29.652,0.206
163,03/31/22 07:58:00 PM,103.139,29.652,0.222
164,03/31/22 08:00:00 PM,102.834,29.652,0.192
165,03/31/22 08:02:00 PM,102.924,29.652,0.201
166,03/31/22 08:04:00 PM,102.852,29.652,0.193
167,03/31/22 08:06:00 PM,102.974,29.552,0.206
168,03/31/22 08:08:00 PM,103.010,29.552,0.209
169,03/31/22 08:10:00 PM,103.244,29.552,0.232
170,03/31/22 08:12:00 PM,102.992,29.552,0.207
171,03/31/22 08:14:00 PM,103.046,29.552,0.213
172,03/31/22 08:16:00 PM,103.031,29.652,0.211
173,03/31/22 08:18:00 PM,103.388,29.552,0.247
174,03/31/22 08:20:00 PM,102.938,29.552,0.202
175,03/31/22 08:22:00 PM,103.154,29.552,0.223
176,03/31/22 08:24:00 PM,103.136,29.552,0.222
177,03/31/22 08:26:00 PM,103.478,29.552,0.256
178,03/31/22 08:28:00 PM,103.370,29.552,0.245
179,03/31/22 08:30:00 PM,103.352,29.552,0.243
180,03/31/22 08:32:00 PM,103.244,29.552,0.232
181,03/31/22 08:34:00 PM,103.370,29.552,0.245
182,03/31/22 08:36:00 PM,103.349,29.452,0.243
