7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1648683540,+3.47,+30.510,+10.651,+0.983
1648683660,+3.48,+30.501,+10.288,+0.984
1648683780,+3.48,+30.458,+10.246,+0.984
1648683900,+3.48,+30.432,+10.139,+0.983
1648684020,+3.48,+30.423,+10.220,+0.984
1648684140,+3.48,+30.440,+10.186,+0.984
1648684260,+3.48,+30.432,+10.043,+0.983
1648684380,+3.48,+30.371,+10.110,+0.984
1648684500,+3.48,+30.337,+10.241,+0.983
1648684620,+3.48,+30.311,+10.190,+0.983
1648684740,+3.48,+30.302,+10.146,+0.983
1648684860,+3.48,+30.268,+10.176,+0.984
1648684980,+3.48,+30.259,+10.399,+0.984
1648685100,+3.48,+30.233,+10.671,+0.982
1648685220,+3.48,+30.216,+10.813,+0.981
1648685340,+3.48,+30.216,+11.000,+0.983
1648685460,+3.48,+30.233,+10.935,+0.983
1648685580,+3.48,+30.207,+11.047,+0.983
1648685700,+3.48,+30.224,+10.975,+0.982
1648685820,+3.48,+30.224,+11.494,+0.982
1648685940,+3.48,+30.276,+12.044,+0.983
1648686060,+3.48,+30.302,+11.876,+0.981
1648686180,+3.48,+30.319,+11.552,+0.984
1648686300,+3.48,+30.337,+12.006,+0.982
1648686420,+3.48,+30.371,+11.945,+0.983
1648686540,+3.48,+30.363,+10.862,+0.983
1648686660,+3.48,+30.389,+10.838,+0.983
1648686780,+3.48,+30.415,+11.411,+0.983
1648686900,+3.48,+30.423,+11.756,+0.982
1648687020,+3.48,+30.484,+12.219,+0.982
1648687140,+3.48,+30.510,+12.003,+0.982
1648687260,+3.48,+30.553,+12.100,+0.980
1648687380,+3.47,+30.588,+11.307,+0.983
1648687500,+3.47,+30.588,+11.303,+0.984
1648687620,+3.47,+30.614,+11.594,+0.983
1648687740,+3.47,+30.631,+11.368,+0.984
1648687860,+3.47,+30.614,+11.061,+0.983
1648687980,+3.47,+30.553,+10.505,+0.984
1648688100,+3.47,+30.631,+11.786,+0.983
1648688220,+3.47,+30.691,+12.309,+0.983
1648688340,+3.47,+30.657,+12.170,+0.982
1648688460,+3.47,+30.726,+12.397,+0.982
1648688580,+3.47,+30.674,+11.523,+0.983
1648688700,+3.47,+30.648,+10.573,+0.983
1648688820,+3.48,+30.674,+10.617,+0.984
1648688940,+3.48,+30.614,+10.228,+0.983
1648689060,+3.47,+30.639,+10.584,+0.984
1648689180,+3.48,+30.631,+10.391,+0.983
1648689300,+3.48,+30.639,+10.230,+0.984
1648689420,+3.47,+30.674,+10.388,+0.984
1648689540,+3.47,+30.639,+10.036,+0.983
1648689660,+3.48,+30.588, +9.878,+0.984
1648689780,+3.48,+30.562,+10.109,+0.984
