"Plot Title: CT_324_Cabral"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739324, SEN S/N: 20739324)","Temp, °C (LGR S/N: 20739324, SEN S/N: 20739324)"
1,08/15/21 01:20:00 PM,232.7,30.06
2,08/15/21 01:40:00 PM,40374.7,29.46
3,08/15/21 02:00:00 PM,40638.8,28.45
4,08/15/21 02:20:00 PM,40590.6,28.48
5,08/15/21 02:40:00 PM,40654.9,28.56
6,08/15/21 03:00:00 PM,40650.9,28.58
7,08/15/21 03:20:00 PM,40642.8,28.63
8,08/15/21 03:40:00 PM,40630.8,28.69
9,08/15/21 04:00:00 PM,40590.6,28.66
10,08/15/21 04:20:00 PM,40622.7,28.63
11,08/15/21 04:40:00 PM,40570.5,28.55
12,08/15/21 05:00:00 PM,40530.4,28.50
13,08/15/21 05:20:00 PM,40490.4,28.49
14,08/15/21 05:40:00 PM,40534.4,28.44
15,08/15/21 06:00:00 PM,40538.4,28.39
16,08/15/21 06:20:00 PM,40522.4,28.37
17,08/15/21 06:40:00 PM,40522.4,28.33
18,08/15/21 07:00:00 PM,40474.4,28.31
19,08/15/21 07:20:00 PM,40482.4,28.25
20,08/15/21 07:40:00 PM,40430.5,28.17
21,08/15/21 08:00:00 PM,40430.5,28.09
22,08/15/21 08:20:00 PM,40454.4,28.07
23,08/15/21 08:40:00 PM,40410.5,28.01
24,08/15/21 09:00:00 PM,40390.6,27.95
25,08/15/21 09:20:00 PM,40331.0,27.88
26,08/15/21 09:40:00 PM,40303.2,27.79
27,08/15/21 10:00:00 PM,40303.2,27.77
28,08/15/21 10:20:00 PM,40307.1,27.71
29,08/15/21 10:40:00 PM,40255.6,27.65
30,08/15/21 11:00:00 PM,40267.5,27.60
31,08/15/21 11:20:00 PM,40263.5,27.55
32,08/15/21 11:40:00 PM,40247.7,27.50
33,08/16/21 12:00:00 AM,40204.2,27.44
34,08/16/21 12:20:00 AM,40196.3,27.38
35,08/16/21 12:40:00 AM,40133.2,27.33
36,08/16/21 01:00:00 AM,40121.4,27.27
37,08/16/21 01:20:00 AM,40113.5,27.23
38,08/16/21 01:40:00 AM,40109.6,27.21
39,08/16/21 02:00:00 AM,40141.1,27.18
40,08/16/21 02:20:00 AM,40082.1,27.16
41,08/16/21 02:40:00 AM,40082.1,27.14
42,08/16/21 03:00:00 AM,40042.8,27.14
43,08/16/21 03:20:00 AM,40082.1,27.12
44,08/16/21 03:40:00 AM,40070.3,27.11
45,08/16/21 04:00:00 AM,40121.4,27.08
46,08/16/21 04:20:00 AM,40046.7,27.05
47,08/16/21 04:40:00 AM,40093.9,27.02
48,08/16/21 05:00:00 AM,40050.7,27.02
49,08/16/21 05:20:00 AM,40086.0,27.00
50,08/16/21 05:40:00 AM,40066.4,27.00
51,08/16/21 06:00:00 AM,40038.9,26.97
52,08/16/21 06:20:00 AM,40066.4,26.96
53,08/16/21 06:40:00 AM,39960.6,26.92
54,08/16/21 07:00:00 AM,40011.4,26.94
55,08/16/21 07:20:00 AM,40031.0,26.95
56,08/16/21 07:40:00 AM,39988.0,26.92
57,08/16/21 08:00:00 AM,40011.4,26.90
58,08/16/21 08:20:00 AM,39870.8,26.83
59,08/16/21 08:40:00 AM,39964.5,26.90
60,08/16/21 09:00:00 AM,39937.1,26.89
61,08/16/21 09:20:00 AM,39944.9,26.91
62,08/16/21 09:40:00 AM,39941.0,26.96
63,08/16/21 10:00:00 AM,39980.1,26.97
64,08/16/21 10:20:00 AM,39995.8,27.01
65,08/16/21 10:40:00 AM,40058.5,27.06
66,08/16/21 11:00:00 AM,40062.4,27.14
67,08/16/21 11:20:00 AM,40117.5,27.22
68,08/16/21 11:40:00 AM,40101.7,27.25
69,08/16/21 12:00:00 PM,40129.3,27.25
70,08/16/21 12:20:00 PM,40180.5,27.44
71,08/16/21 12:40:00 PM,40145.0,27.45
72,08/16/21 01:00:00 PM,40247.7,27.60
73,08/16/21 01:20:00 PM,40259.6,27.72
74,08/16/21 01:40:00 PM,40295.2,27.85
75,08/16/21 02:00:00 PM,40323.0,27.93
76,08/16/21 02:20:00 PM,40394.6,28.00
77,08/16/21 02:40:00 PM,40291.3,27.84
78,08/16/21 03:00:00 PM,40307.1,27.96
79,08/16/21 03:20:00 PM,40334.9,27.90
80,08/16/21 03:40:00 PM,40315.1,27.84
81,08/16/21 04:00:00 PM,40267.5,27.74
82,08/16/21 04:20:00 PM,40255.6,27.72
83,08/16/21 04:40:00 PM,40291.3,27.71
84,08/16/21 05:00:00 PM,40271.5,27.72
85,08/16/21 05:20:00 PM,40204.2,27.67
86,08/16/21 05:40:00 PM,40216.1,27.62
87,08/16/21 06:00:00 PM,40212.1,27.59
88,08/16/21 06:20:00 PM,40196.3,27.60
89,08/16/21 06:40:00 PM,40255.6,27.57
90,08/16/21 07:00:00 PM,40216.1,27.59
91,08/16/21 07:20:00 PM,40176.6,27.52
92,08/16/21 07:40:00 PM,40216.1,27.51
93,08/16/21 08:00:00 PM,40176.6,27.49
94,08/16/21 08:20:00 PM,40129.3,27.46
95,08/16/21 08:40:00 PM,40160.8,27.45
96,08/16/21 09:00:00 PM,40137.2,27.39
97,08/16/21 09:20:00 PM,40074.2,27.29
98,08/16/21 09:40:00 PM,40046.7,27.24
99,08/16/21 10:00:00 PM,40031.0,27.16
100,08/16/21 10:20:00 PM,40031.0,27.13
101,08/16/21 10:40:00 PM,40011.4,27.10
102,08/16/21 11:00:00 PM,39999.7,27.14
103,08/16/21 11:20:00 PM,39988.0,27.10
104,08/16/21 11:40:00 PM,40038.9,27.14
105,08/17/21 12:00:00 AM,40050.7,27.19
106,08/17/21 12:20:00 AM,40070.3,27.16
107,08/17/21 12:40:00 AM,40066.4,27.21
108,08/17/21 01:00:00 AM,40054.6,27.21
109,08/17/21 01:20:00 AM,40086.0,27.24
110,08/17/21 01:40:00 AM,40019.3,27.22
111,08/17/21 02:00:00 AM,40078.1,27.21
112,08/17/21 02:20:00 AM,40070.3,27.21
113,08/17/21 02:40:00 AM,40042.8,27.16
114,08/17/21 03:00:00 AM,40011.4,27.16
115,08/17/21 03:20:00 AM,39980.1,27.10
116,08/17/21 03:40:00 AM,39921.5,27.07
117,08/17/21 04:00:00 AM,39995.8,27.11
118,08/17/21 04:20:00 AM,40015.4,27.14
119,08/17/21 04:40:00 AM,40031.0,27.13
120,08/17/21 05:00:00 AM,40011.4,27.14
121,08/17/21 05:20:00 AM,39995.8,27.11
122,08/17/21 05:40:00 AM,40027.1,27.13
123,08/17/21 06:00:00 AM,39991.9,27.08
124,08/17/21 06:20:00 AM,40015.4,27.10
125,08/17/21 06:40:00 AM,40031.0,27.13
126,08/17/21 07:00:00 AM,40050.7,27.13
127,08/17/21 07:20:00 AM,40042.8,27.12
128,08/17/21 07:40:00 AM,40074.2,27.13
129,08/17/21 08:00:00 AM,39999.7,27.16
130,08/17/21 08:20:00 AM,40089.9,27.17
131,08/17/21 08:40:00 AM,40054.6,27.18
132,08/17/21 09:00:00 AM,40050.7,27.22
133,08/17/21 09:20:00 AM,40089.9,27.23
134,08/17/21 09:40:00 AM,40078.1,27.25
135,08/17/21 10:00:00 AM,40062.4,27.25
136,08/17/21 10:20:00 AM,40086.0,27.28
137,08/17/21 10:40:00 AM,40054.6,27.30
138,08/17/21 11:00:00 AM,40054.6,27.29
139,08/17/21 11:20:00 AM,39995.8,27.25
140,08/17/21 11:40:00 AM,40046.7,27.28
141,08/17/21 12:00:00 PM,40050.7,27.36
142,08/17/21 12:20:00 PM,40078.1,27.39
143,08/17/21 12:40:00 PM,40082.1,27.38
144,08/17/21 01:00:00 PM,40042.8,27.39
145,08/17/21 01:20:00 PM,40023.2,27.39
146,08/17/21 01:40:00 PM,39991.9,27.36
147,08/17/21 02:00:00 PM,40019.3,27.36
148,08/17/21 02:20:00 PM,40066.4,27.39
149,08/17/21 02:40:00 PM,40117.5,27.50
150,08/17/21 03:00:00 PM,40046.7,27.50
151,08/17/21 03:20:00 PM,40058.5,27.52
152,08/17/21 03:40:00 PM,40129.3,27.55
153,08/17/21 04:00:00 PM,40070.3,27.54
154,08/17/21 04:20:00 PM,40082.1,27.62
155,08/17/21 04:40:00 PM,40082.1,27.66
156,08/17/21 05:00:00 PM,40149.0,27.74
157,08/17/21 05:20:00 PM,40133.2,27.78
158,08/17/21 05:40:00 PM,40188.4,27.81
159,08/17/21 06:00:00 PM,40192.4,27.76
160,08/17/21 06:20:00 PM,40149.0,27.72
161,08/17/21 06:40:00 PM,40141.1,27.67
162,08/17/21 07:00:00 PM,40117.5,27.62
163,08/17/21 07:20:00 PM,40097.8,27.56
164,08/17/21 07:40:00 PM,40097.8,27.52
165,08/17/21 08:00:00 PM,40070.3,27.44
166,08/17/21 08:20:00 PM,40070.3,27.43
167,08/17/21 08:40:00 PM,40070.3,27.40
168,08/17/21 09:00:00 PM,40031.0,27.36
169,08/17/21 09:20:00 PM,40050.7,27.33
170,08/17/21 09:40:00 PM,40003.6,27.32
171,08/17/21 10:00:00 PM,40027.1,27.27
172,08/17/21 10:20:00 PM,39984.0,27.24
173,08/17/21 10:40:00 PM,40011.4,27.22
174,08/17/21 11:00:00 PM,39988.0,27.19
175,08/17/21 11:20:00 PM,39952.8,27.14
176,08/17/21 11:40:00 PM,39976.2,27.10
177,08/18/21 12:00:00 AM,39960.6,27.06
178,08/18/21 12:20:00 AM,39933.2,27.01
179,08/18/21 12:40:00 AM,39960.6,26.96
180,08/18/21 01:00:00 AM,39933.2,26.94
181,08/18/21 01:20:00 AM,39913.7,26.89
182,08/18/21 01:40:00 AM,39894.2,26.85
183,08/18/21 02:00:00 AM,39863.1,26.80
184,08/18/21 02:20:00 AM,39820.3,26.70
185,08/18/21 02:40:00 AM,39839.7,26.66
186,08/18/21 03:00:00 AM,39773.7,26.61
187,08/18/21 03:20:00 AM,39731.1,26.58
188,08/18/21 03:40:00 AM,39793.1,26.53
189,08/18/21 04:00:00 AM,39766.0,26.48
190,08/18/21 04:20:00 AM,39754.3,26.43
191,08/18/21 04:40:00 AM,39723.4,26.35
192,08/18/21 05:00:00 AM,39684.7,26.25
193,08/18/21 05:20:00 AM,39661.6,26.18
194,08/18/21 05:40:00 AM,39584.5,26.10
195,08/18/21 06:00:00 AM,39630.7,26.04
196,08/18/21 06:20:00 AM,39542.3,25.98
197,08/18/21 06:40:00 AM,39553.8,25.93
198,08/18/21 07:00:00 AM,39477.1,25.90
199,08/18/21 07:20:00 AM,39481.0,25.85
200,08/18/21 07:40:00 AM,39496.3,25.79
201,08/18/21 08:00:00 AM,39419.8,25.74
202,08/18/21 08:20:00 AM,39481.0,25.75
203,08/18/21 08:40:00 AM,39419.8,25.77
204,08/18/21 09:00:00 AM,39423.6,25.75
205,08/18/21 09:20:00 AM,39458.0,25.75
206,08/18/21 09:40:00 AM,39461.8,25.77
207,08/18/21 10:00:00 AM,39427.4,25.77
208,08/18/21 10:20:00 AM,39477.1,25.79
209,08/18/21 10:40:00 AM,39435.1,25.80
210,08/18/21 11:00:00 AM,39454.2,25.79
211,08/18/21 11:20:00 AM,39473.3,25.81
212,08/18/21 11:40:00 AM,39416.0,25.82
213,08/18/21 12:00:00 PM,39427.4,25.82
214,08/18/21 12:20:00 PM,39465.6,25.80
215,08/18/21 12:40:00 PM,39419.8,25.81
