"Plot Title: CT_324_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739324, SEN S/N: 20739324)","Temp, °F (LGR S/N: 20739324, SEN S/N: 20739324)"
1,03/18/22 07:00:00 AM,35988.7,80.31
2,03/18/22 07:20:00 AM,35991.9,80.01
3,03/18/22 07:40:00 AM,36076.6,79.90
4,03/18/22 08:00:00 AM,40695.2,81.72
5,03/18/22 08:20:00 AM,41911.7,82.02
6,03/18/22 08:40:00 AM,42026.6,82.27
7,03/18/22 09:00:00 AM,42052.1,82.26
8,03/18/22 09:20:00 AM,42001.0,82.36
9,03/18/22 09:40:00 AM,42047.9,82.62
10,03/18/22 10:00:00 AM,42064.9,82.90
11,03/18/22 10:20:00 AM,42082.0,83.10
12,03/18/22 10:40:00 AM,42103.4,83.28
13,03/18/22 11:00:00 AM,42146.2,83.61
14,03/18/22 11:20:00 AM,42133.4,83.80
15,03/18/22 11:40:00 AM,42189.1,83.88
16,03/18/22 12:00:00 PM,42146.2,83.88
17,03/18/22 12:20:00 PM,42052.1,83.89
18,03/18/22 12:40:00 PM,42073.5,83.93
19,03/18/22 01:00:00 PM,42035.1,83.88
20,03/18/22 01:20:00 PM,42082.0,83.97
21,03/18/22 01:40:00 PM,42043.6,84.15
22,03/18/22 02:00:00 PM,42112.0,84.42
23,03/18/22 02:20:00 PM,42120.5,84.58
24,03/18/22 02:40:00 PM,42120.5,84.61
25,03/18/22 03:00:00 PM,42112.0,84.69
26,03/18/22 03:20:00 PM,42107.7,84.88
27,03/18/22 03:40:00 PM,42099.1,84.87
28,03/18/22 04:00:00 PM,42103.4,84.94
29,03/18/22 04:20:00 PM,42107.7,84.97
30,03/18/22 04:40:00 PM,42107.7,85.05
31,03/18/22 05:00:00 PM,42103.4,85.08
32,03/18/22 05:20:00 PM,42060.7,85.06
33,03/18/22 05:40:00 PM,42112.0,85.05
34,03/18/22 06:00:00 PM,42018.0,84.96
35,03/18/22 06:20:00 PM,42009.5,84.88
36,03/18/22 06:40:00 PM,41975.4,84.92
37,03/18/22 07:00:00 PM,41979.7,84.92
38,03/18/22 07:20:00 PM,41920.2,84.88
39,03/18/22 07:40:00 PM,41860.8,84.87
40,03/18/22 08:00:00 PM,41869.3,84.85
41,03/18/22 08:20:00 PM,41801.6,84.81
42,03/18/22 08:40:00 PM,41814.3,84.76
43,03/18/22 09:00:00 PM,41780.5,84.69
44,03/18/22 09:20:00 PM,41763.6,84.69
45,03/18/22 09:40:00 PM,41763.6,84.65
46,03/18/22 10:00:00 PM,41751.0,84.58
47,03/18/22 10:20:00 PM,41704.7,84.56
48,03/18/22 10:40:00 PM,41700.5,84.54
49,03/18/22 11:00:00 PM,41687.8,84.56
50,03/18/22 11:20:00 PM,41767.9,84.56
51,03/18/22 11:40:00 PM,41818.5,84.61
52,03/19/22 12:00:00 AM,41751.0,84.56
53,03/19/22 12:20:00 AM,41780.5,84.52
54,03/19/22 12:40:00 AM,41734.1,84.49
55,03/19/22 01:00:00 AM,41746.8,84.47
56,03/19/22 01:20:00 AM,41742.6,84.43
57,03/19/22 01:40:00 AM,41729.9,84.38
58,03/19/22 02:00:00 AM,41713.1,84.33
59,03/19/22 02:20:00 AM,41700.5,84.24
60,03/19/22 02:40:00 AM,41696.3,84.16
61,03/19/22 03:00:00 AM,41679.4,84.13
62,03/19/22 03:20:00 AM,41637.4,84.07
63,03/19/22 03:40:00 AM,41675.2,84.06
64,03/19/22 04:00:00 AM,41654.2,83.98
65,03/19/22 04:20:00 AM,41612.3,83.89
66,03/19/22 04:40:00 AM,41616.5,83.80
67,03/19/22 05:00:00 AM,41570.4,83.75
68,03/19/22 05:20:00 AM,41549.5,83.68
69,03/19/22 05:40:00 AM,41545.3,83.59
70,03/19/22 06:00:00 AM,41470.2,83.53
71,03/19/22 06:20:00 AM,41453.5,83.46
72,03/19/22 06:40:00 AM,41420.2,83.41
73,03/19/22 07:00:00 AM,41436.9,83.35
74,03/19/22 07:20:00 AM,41420.2,83.39
75,03/19/22 07:40:00 AM,41382.8,83.46
76,03/19/22 08:00:00 AM,41486.9,83.55
77,03/19/22 08:20:00 AM,41482.7,83.75
78,03/19/22 08:40:00 AM,41557.8,83.95
79,03/19/22 09:00:00 AM,41520.2,84.15
80,03/19/22 09:20:00 AM,41587.1,84.33
81,03/19/22 09:40:00 AM,41633.2,84.54
82,03/19/22 10:00:00 AM,41675.2,84.61
83,03/19/22 10:20:00 AM,41641.6,84.72
84,03/19/22 10:40:00 AM,41679.4,84.94
85,03/19/22 11:00:00 AM,41738.4,84.92
86,03/19/22 11:20:00 AM,41742.6,85.01
87,03/19/22 11:40:00 AM,41713.1,85.06
88,03/19/22 12:00:00 PM,41717.3,85.24
89,03/19/22 12:20:00 PM,41742.6,85.24
90,03/19/22 12:40:00 PM,41763.6,85.21
91,03/19/22 01:00:00 PM,41751.0,85.48
92,03/19/22 01:20:00 PM,41780.5,85.53
93,03/19/22 01:40:00 PM,41780.5,85.46
94,03/19/22 02:00:00 PM,41827.0,85.53
95,03/19/22 02:20:00 PM,41860.8,85.69
96,03/19/22 02:40:00 PM,41860.8,85.71
97,03/19/22 03:00:00 PM,41835.5,85.82
98,03/19/22 03:20:00 PM,41835.5,85.82
99,03/19/22 03:40:00 PM,41831.2,85.73
100,03/19/22 04:00:00 PM,41789.0,85.73
101,03/19/22 04:20:00 PM,41767.9,85.66
102,03/19/22 04:40:00 PM,41839.7,85.73
103,03/19/22 05:00:00 PM,41789.0,85.62
104,03/19/22 05:20:00 PM,41797.4,85.71
105,03/19/22 05:40:00 PM,41822.8,85.69
106,03/19/22 06:00:00 PM,41772.1,85.64
107,03/19/22 06:20:00 PM,41772.1,85.55
108,03/19/22 06:40:00 PM,41746.8,85.44
109,03/19/22 07:00:00 PM,41763.6,85.28
110,03/19/22 07:20:00 PM,41746.8,85.26
111,03/19/22 07:40:00 PM,41704.7,85.14
112,03/19/22 08:00:00 PM,41666.8,84.94
113,03/19/22 08:20:00 PM,41645.8,84.96
114,03/19/22 08:40:00 PM,41629.1,84.85
115,03/19/22 09:00:00 PM,41583.0,84.72
116,03/19/22 09:20:00 PM,41574.6,84.65
117,03/19/22 09:40:00 PM,41595.5,84.56
118,03/19/22 10:00:00 PM,41566.2,84.43
119,03/19/22 10:20:00 PM,41541.1,84.38
120,03/19/22 10:40:00 PM,41495.2,84.34
121,03/19/22 11:00:00 PM,41545.3,84.27
122,03/19/22 11:20:00 PM,41528.6,84.25
123,03/19/22 11:40:00 PM,41511.9,84.18
124,03/20/22 12:00:00 AM,41516.1,84.13
125,03/20/22 12:20:00 AM,41495.2,84.04
126,03/20/22 12:40:00 AM,41482.7,84.04
127,03/20/22 01:00:00 AM,41499.4,84.00
128,03/20/22 01:20:00 AM,41445.2,83.93
129,03/20/22 01:40:00 AM,41416.1,83.95
130,03/20/22 02:00:00 AM,41461.8,83.89
131,03/20/22 02:20:00 AM,41432.7,83.88
132,03/20/22 02:40:00 AM,41432.7,83.84
133,03/20/22 03:00:00 AM,41391.1,83.79
134,03/20/22 03:20:00 AM,41441.0,83.77
135,03/20/22 03:40:00 AM,41416.1,83.75
