"Plot Title: CT_739_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)"
1,03/23/22 08:00:00 AM,4979.6,27.61
2,03/23/22 08:20:00 AM,4877.0,27.93
3,03/23/22 08:40:00 AM,5116.1,28.58
4,03/23/22 09:00:00 AM,37324.2,29.08
5,03/23/22 09:20:00 AM,37484.2,29.42
6,03/23/22 09:40:00 AM,37364.1,29.55
7,03/23/22 10:00:00 AM,37368.1,29.60
8,03/23/22 10:20:00 AM,37264.5,29.61
9,03/23/22 10:40:00 AM,37284.4,29.64
10,03/23/22 11:00:00 AM,37280.4,29.64
11,03/23/22 11:20:00 AM,37260.5,29.69
12,03/23/22 11:40:00 AM,37228.8,29.82
13,03/23/22 12:00:00 PM,37316.2,29.90
14,03/23/22 12:20:00 PM,37336.1,30.06
15,03/23/22 12:40:00 PM,37328.2,30.15
16,03/23/22 01:00:00 PM,37328.2,30.14
17,03/23/22 01:20:00 PM,37348.1,30.27
18,03/23/22 01:40:00 PM,37352.1,30.41
19,03/23/22 02:00:00 PM,37404.0,30.45
20,03/23/22 02:20:00 PM,37432.0,30.49
21,03/23/22 02:40:00 PM,37460.1,30.55
22,03/23/22 03:00:00 PM,37448.1,30.57
23,03/23/22 03:20:00 PM,37512.3,30.62
24,03/23/22 03:40:00 PM,37536.4,30.67
25,03/23/22 04:00:00 PM,37560.6,30.70
26,03/23/22 04:20:00 PM,37540.4,30.70
27,03/23/22 04:40:00 PM,37532.4,30.64
28,03/23/22 05:00:00 PM,37540.4,30.60
29,03/23/22 05:20:00 PM,37532.4,30.55
30,03/23/22 05:40:00 PM,37544.5,30.51
31,03/23/22 06:00:00 PM,37528.4,30.48
32,03/23/22 06:20:00 PM,37552.5,30.42
33,03/23/22 06:40:00 PM,37512.3,30.35
34,03/23/22 07:00:00 PM,37428.0,30.31
35,03/23/22 07:20:00 PM,37276.4,30.24
36,03/23/22 07:40:00 PM,37224.8,30.18
37,03/23/22 08:00:00 PM,37284.4,30.17
38,03/23/22 08:20:00 PM,37308.2,30.14
39,03/23/22 08:40:00 PM,37236.7,30.09
40,03/23/22 09:00:00 PM,37256.5,30.06
41,03/23/22 09:20:00 PM,37236.7,30.04
42,03/23/22 09:40:00 PM,37256.5,30.02
43,03/23/22 10:00:00 PM,37244.6,29.99
44,03/23/22 10:20:00 PM,37296.3,29.96
45,03/23/22 10:40:00 PM,37304.3,29.96
46,03/23/22 11:00:00 PM,37448.1,29.94
47,03/23/22 11:20:00 PM,37468.1,29.93
48,03/23/22 11:40:00 PM,37376.0,29.89
49,03/24/22 12:00:00 AM,37412.0,29.86
50,03/24/22 12:20:00 AM,37448.1,29.83
51,03/24/22 12:40:00 AM,37448.1,29.80
52,03/24/22 01:00:00 AM,37472.1,29.76
53,03/24/22 01:20:00 AM,37436.0,29.72
54,03/24/22 01:40:00 AM,37432.0,29.66
55,03/24/22 02:00:00 AM,37452.1,29.61
56,03/24/22 02:20:00 AM,37412.0,29.58
57,03/24/22 02:40:00 AM,37388.0,29.56
58,03/24/22 03:00:00 AM,37328.2,29.50
59,03/24/22 03:20:00 AM,37404.0,29.45
60,03/24/22 03:40:00 AM,37384.0,29.41
61,03/24/22 04:00:00 AM,37348.1,29.37
62,03/24/22 04:20:00 AM,37348.1,29.34
63,03/24/22 04:40:00 AM,37340.1,29.30
64,03/24/22 05:00:00 AM,37340.1,29.27
65,03/24/22 05:20:00 AM,37364.1,29.24
66,03/24/22 05:40:00 AM,37364.1,29.20
67,03/24/22 06:00:00 AM,37344.1,29.18
68,03/24/22 06:20:00 AM,37340.1,29.16
69,03/24/22 06:40:00 AM,37272.4,29.14
70,03/24/22 07:00:00 AM,37292.3,29.14
71,03/24/22 07:20:00 AM,37280.4,29.15
72,03/24/22 07:40:00 AM,37276.4,29.17
73,03/24/22 08:00:00 AM,37308.2,29.19
74,03/24/22 08:20:00 AM,37280.4,29.19
75,03/24/22 08:40:00 AM,37248.6,29.22
76,03/24/22 09:00:00 AM,37304.3,29.30
77,03/24/22 09:20:00 AM,37268.5,29.30
78,03/24/22 09:40:00 AM,37264.5,29.35
79,03/24/22 10:00:00 AM,37340.1,29.47
80,03/24/22 10:20:00 AM,37324.2,29.60
81,03/24/22 10:40:00 AM,37404.0,29.72
82,03/24/22 11:00:00 AM,37424.0,29.84
83,03/24/22 11:20:00 AM,37420.0,29.94
84,03/24/22 11:40:00 AM,37452.1,30.04
85,03/24/22 12:00:00 PM,37396.0,29.97
86,03/24/22 12:20:00 PM,37456.1,30.02
87,03/24/22 12:40:00 PM,37380.0,30.09
88,03/24/22 01:00:00 PM,37432.0,30.32
89,03/24/22 01:20:00 PM,37420.0,30.43
90,03/24/22 01:40:00 PM,37456.1,30.49
91,03/24/22 02:00:00 PM,37528.4,30.55
92,03/24/22 02:20:00 PM,37548.5,30.66
93,03/24/22 02:40:00 PM,37621.1,30.73
94,03/24/22 03:00:00 PM,37617.1,30.81
95,03/24/22 03:20:00 PM,37617.1,30.89
96,03/24/22 03:40:00 PM,37681.8,30.95
97,03/24/22 04:00:00 PM,37653.4,30.97
98,03/24/22 04:20:00 PM,37706.1,30.99
99,03/24/22 04:40:00 PM,37689.9,31.00
100,03/24/22 05:00:00 PM,37722.3,30.97
101,03/24/22 05:20:00 PM,37685.8,30.93
102,03/24/22 05:40:00 PM,37693.9,30.89
103,03/24/22 06:00:00 PM,37681.8,30.86
104,03/24/22 06:20:00 PM,37734.5,30.81
105,03/24/22 06:40:00 PM,37718.3,30.76
106,03/24/22 07:00:00 PM,37685.8,30.72
107,03/24/22 07:20:00 PM,37649.4,30.66
108,03/24/22 07:40:00 PM,37681.8,30.60
109,03/24/22 08:00:00 PM,37633.2,30.55
110,03/24/22 08:20:00 PM,37653.4,30.48
111,03/24/22 08:40:00 PM,37661.5,30.43
112,03/24/22 09:00:00 PM,37584.8,30.37
113,03/24/22 09:20:00 PM,37548.5,30.31
114,03/24/22 09:40:00 PM,37524.3,30.25
115,03/24/22 10:00:00 PM,37580.7,30.22
116,03/24/22 10:20:00 PM,37556.6,30.18
117,03/24/22 10:40:00 PM,37653.4,30.09
118,03/24/22 11:00:00 PM,37584.8,30.01
119,03/24/22 11:20:00 PM,37609.0,29.94
120,03/24/22 11:40:00 PM,37548.5,29.83
121,03/25/22 12:00:00 AM,37568.6,29.76
122,03/25/22 12:20:00 AM,37548.5,29.67
123,03/25/22 12:40:00 AM,37540.4,29.60
124,03/25/22 01:00:00 AM,37496.2,29.50
125,03/25/22 01:20:00 AM,37452.1,29.44
126,03/25/22 01:40:00 AM,37492.2,29.37
127,03/25/22 02:00:00 AM,37484.2,29.33
128,03/25/22 02:20:00 AM,37428.0,29.28
129,03/25/22 02:40:00 AM,37388.0,29.24
130,03/25/22 03:00:00 AM,37328.2,29.17
131,03/25/22 03:20:00 AM,37376.0,29.14
132,03/25/22 03:40:00 AM,37376.0,29.09
133,03/25/22 04:00:00 AM,37284.4,29.02
134,03/25/22 04:20:00 AM,37236.7,28.99
135,03/25/22 04:40:00 AM,37240.7,28.95
136,03/25/22 05:00:00 AM,37260.5,28.90
137,03/25/22 05:20:00 AM,37316.2,28.89
138,03/25/22 05:40:00 AM,37324.2,28.84
139,03/25/22 06:00:00 AM,37232.7,28.79
140,03/25/22 06:20:00 AM,37145.6,28.77
141,03/25/22 06:40:00 AM,37288.3,28.76
142,03/25/22 07:00:00 AM,37352.1,28.78
143,03/25/22 07:20:00 AM,37332.1,28.79
144,03/25/22 07:40:00 AM,37224.8,28.79
145,03/25/22 08:00:00 AM,37201.0,28.81
146,03/25/22 08:20:00 AM,37332.1,28.91
147,03/25/22 08:40:00 AM,37388.0,29.03
148,03/25/22 09:00:00 AM,37400.0,29.17
149,03/25/22 09:20:00 AM,37428.0,29.33
150,03/25/22 09:40:00 AM,37480.2,29.43
151,03/25/22 10:00:00 AM,37480.2,29.56
152,03/25/22 10:20:00 AM,37544.5,29.73
153,03/25/22 10:40:00 AM,37548.5,29.88
154,03/25/22 11:00:00 AM,37524.3,29.97
155,03/25/22 11:20:00 AM,37592.8,30.14
156,03/25/22 11:40:00 AM,37600.9,30.24
157,03/25/22 12:00:00 PM,37681.8,30.40
158,03/25/22 12:20:00 PM,37702.1,30.54
159,03/25/22 12:40:00 PM,37698.0,30.63
160,03/25/22 01:00:00 PM,37685.8,30.72
161,03/25/22 01:20:00 PM,37714.2,30.88
162,03/25/22 01:40:00 PM,37710.2,30.92
163,03/25/22 02:00:00 PM,37754.8,30.99
164,03/25/22 02:20:00 PM,37771.1,31.05
165,03/25/22 02:40:00 PM,37787.4,31.07
166,03/25/22 03:00:00 PM,37832.2,31.12
167,03/25/22 03:20:00 PM,37783.3,31.09
168,03/25/22 03:40:00 PM,37791.5,31.08
169,03/25/22 04:00:00 PM,37775.2,31.05
170,03/25/22 04:20:00 PM,37763.0,30.95
171,03/25/22 04:40:00 PM,37771.1,30.90
172,03/25/22 05:00:00 PM,37758.9,30.88
173,03/25/22 05:20:00 PM,37791.5,30.78
174,03/25/22 05:40:00 PM,37779.3,30.72
175,03/25/22 06:00:00 PM,37726.4,30.65
176,03/25/22 06:20:00 PM,37767.0,30.57
177,03/25/22 06:40:00 PM,37702.1,30.52
178,03/25/22 07:00:00 PM,37706.1,30.46
179,03/25/22 07:20:00 PM,37714.2,30.42
180,03/25/22 07:40:00 PM,37689.9,30.30
181,03/25/22 08:00:00 PM,37718.3,30.19
182,03/25/22 08:20:00 PM,37698.0,30.14
183,03/25/22 08:40:00 PM,37661.5,30.05
184,03/25/22 09:00:00 PM,37637.3,29.92
185,03/25/22 09:20:00 PM,37673.7,29.84
186,03/25/22 09:40:00 PM,37613.0,29.75
187,03/25/22 10:00:00 PM,37592.8,29.68
188,03/25/22 10:20:00 PM,37580.7,29.57
189,03/25/22 10:40:00 PM,37617.1,29.52
190,03/25/22 11:00:00 PM,37625.1,29.49
191,03/25/22 11:20:00 PM,37532.4,29.45
192,03/25/22 11:40:00 PM,37617.1,29.41
193,03/26/22 12:00:00 AM,37609.0,29.36
194,03/26/22 12:20:00 AM,37540.4,29.34
195,03/26/22 12:40:00 AM,37568.6,29.32
196,03/26/22 01:00:00 AM,37568.6,29.31
197,03/26/22 01:20:00 AM,37568.6,29.28
198,03/26/22 01:40:00 AM,37552.5,29.26
199,03/26/22 02:00:00 AM,37416.0,29.23
200,03/26/22 02:20:00 AM,37625.1,29.19
201,03/26/22 02:40:00 AM,37584.8,29.16
202,03/26/22 03:00:00 AM,37604.9,29.14
203,03/26/22 03:20:00 AM,37588.8,29.10
204,03/26/22 03:40:00 AM,37572.7,29.07
205,03/26/22 04:00:00 AM,37568.6,29.04
206,03/26/22 04:20:00 AM,37621.1,29.02
207,03/26/22 04:40:00 AM,37492.2,28.98
208,03/26/22 05:00:00 AM,37520.3,28.98
