CowTagID,SeepCode,Day_Night,Tide,Date,Phosphate_umolL,Silicate_umolL,Nitrite_umolL,Ammonia_umolL,SLABsample_code,sample_label,Location,Notes_nutrients
VSEEP,A,Night,Mid,3/21/2022,0.383899929,13.57040172,1.167942082,0.968492842,81,V_Seep_A_3_21_0500,,
VSEEP,B,Day,Low,3/21/2022,2.347925434,401.7660016,14.47512447,1.516705395,82,V_Seep_B_3_21_0800,,
V1,NA,Day,Low,3/21/2022,0.157620727,1.323530762,0.499259483,0.828499422,1,V01_L_D_3_21_0800,,
V2,NA,Day,Low,3/21/2022,0.157527914,1.782810054,0.342611639,0.583375924,2,V02_L_D_3_21_0800,,
V3,NA,Day,Low,3/21/2022,0.155996492,3.033281857,0.287992195,0.411099409,3,V03_L_D_3_21_0800,,
V4,NA,Day,Low,3/21/2022,0.135763159,1.174706274,0.198672279,0.408759185,4,V04_L_D_3_21_0800,,
V5,NA,Day,Low,3/21/2022,0.142770574,1.111715444,0.183710517,0.421300387,5,V05_L_D_3_21_0800,,
V6,NA,Day,Low,3/21/2022,0.18040643,3.862199646,0.534681004,0.298948658,6,V06_L_D_3_21_0800,,
V7,NA,Day,Low,3/21/2022,0.166391599,5.850910131,0.479520773,0.224841554,7,V07_L_D_3_21_0800,,
V8,NA,Day,Low,3/21/2022,0.158502455,2.253510761,0.264828503,0.342932874,8,V08_L_D_3_21_0800,,
V9,NA,Day,Low,3/21/2022,0.145879825,1.136980996,0.218591251,0.264385345,9,V09_L_D_3_21_0800,,
V10,NA,Day,Low,3/21/2022,0.142028067,1.068798615,0.148829783,0.280526892,10,V10_L_D_3_21_0800,,
V11,NA,Day,Low,3/21/2022,0.152887241,1.067414201,0.540719787,0.294148198,11,V11_L_D_3_21_0800,,
V12,NA,Day,Low,3/21/2022,0.140682272,1.077105098,0.156400795,0.216320737,12,V12_L_D_3_21_0800,,
V13,NA,Day,Low,3/21/2022,0.148014535,1.359525522,0.288713243,1.689881996,13,V13_L_D_3_21_0800,,
V14,NA,Day,Low,3/21/2022,0.150984565,2.995210477,0.174607276,0.236122635,14,V14_L_D_3_21_0800,,
V15,NA,Day,Low,3/21/2022,0.154511476,1.619795324,0.235175373,0.180377291,15,V15_L_D_3_21_0800,,
V16,NA,Day,Low,3/21/2022,0.149545957,1.469932526,0.087811031,0.387457142,16,V16_L_D_3_21_0800,,
V17,NA,Day,Low,3/21/2022,0.141331966,2.499244218,0.212372205,0.229522002,17,V17_L_D_3_21_0800,,
V18,NA,Day,Low,3/21/2022,0.14680796,1.228006207,0.163340889,0.20497965,18,V18_L_D_3_21_0800,,
V19,NA,Day,Low,3/21/2022,0.128245269,1.185435481,0.102682662,0.950458716,19,V19_L_D_3_21_0800,,
V20,NA,Day,Low,3/21/2022,0.148710635,1.495544182,0.193354544,0.198319011,20,V20_L_D_3_21_0800,,
VSEEP,C,Day,Mid,3/21/2022,0.267007267,12.01880453,1.06687617,0.41918427,83,V_Seep_C_3_21_1100,,
VSEEP,D,Day,High,3/21/2022,0.16495299,4.051172135,0.353787894,0.244163406,84,V_Seep_D_3_21_1400,,
V1,NA,Day,High,3/21/2022,0.143281048,1.232851655,0.154868566,0.230482094,21,V01_H_D_3_21_1400,,
V2,NA,Day,High,3/21/2022,0.147550467,1.036264889,0.342431376,0.226041669,22,V02_H_D_3_21_1400,,
V3,NA,Day,High,3/21/2022,0.112838235,0.940740334,0.17487767,0.223401416,23,V03_H_D_3_21_1400,,
V4,NA,Day,High,3/21/2022,0.128152455,0.853522262,0.184071041,0.328291471,24,V04_H_D_3_21_1400,,
V5,NA,Day,High,3/21/2022,0.116086706,0.891247539,0.255725262,0.252924246,25,V05_H_D_3_21_1400,,
V6,NA,Day,High,3/21/2022,0.141610406,1.678632912,0.134498939,0.237622779,26,V06_H_D_3_21_1400,,
V7,NA,Day,High,3/21/2022,0.148432195,2.091534341,0.168388231,0.179777234,27,V07_H_D_3_21_1400,,
V8,NA,Day,High,3/21/2022,0.145415758,1.411441041,0.256085787,0.170716365,28,V08_H_D_3_21_1400,,
V9,NA,Day,High,3/21/2022,0.131586553,1.126597893,0.163160627,0.167896095,29,V09_H_D_3_21_1400,,
V10,NA,Day,High,3/21/2022,0.132885942,1.241850345,0.073660449,0.334172034,30,V10_H_D_3_21_1400,,
V11,NA,Day,High,3/21/2022,0.130612012,0.977081198,0.122511503,0.161655497,31,V11_H_D_3_21_1400,,
V12,NA,Day,High,3/21/2022,0.131215299,0.909244919,0.111785903,0.236962716,32,V12_H_D_3_21_1400,,
V13,NA,Day,High,3/21/2022,0.134742211,1.410056627,0.198672279,0.300688825,33,V13_H_D_3_21_1400,,
V14,NA,Day,High,3/21/2022,0.143002608,3.126037585,0.181276977,0.236602681,34,V14_H_D_3_21_1400,,
V15,NA,Day,High,3/21/2022,0.148246568,1.035918786,0.1682981,0.194538649,35,V15_H_D_3_21_1400,,
V16,NA,Day,High,3/21/2022,0.127456354,0.828602813,0.130262777,0.235582583,36,V16_H_D_3_21_1400,,
V17,NA,Day,High,3/21/2022,0.152980054,2.562235048,0.173705965,0.187577982,37,V17_H_D_3_21_1400,,
V18,NA,Day,High,3/21/2022,0.141192746,1.294111968,0.110343805,0.164055727,38,V18_H_D_3_21_1400,,
V19,NA,Day,High,3/21/2022,0.11887111,0.898861816,0.067080879,0.155294887,39,V19_H_D_3_21_1400,,
V20,NA,Day,High,3/21/2022,0.147596874,1.364024867,0.122511503,0.15511487,40,V20_H_D_3_21_1400,,
VSEEP,E,Day,Mid,3/21/2022,0.756406727,30.180599,1.89989671,0.208039943,85,V_Seep_E_3_21_1700,,
VSEEP,F,Night,Low,3/21/2022,2.3580421,447.2495465,18.53571555,0.220581145,86,V_Seep_F_1_3_21_2000,,
V1,NA,Night,Low,3/21/2022,0.187228219,4.940658029,0.758656776,0.673084523,41,V01_L_N_3_21_2000,,
