7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1643152080, +3.06, +29.844, +1236.71877, +1038.000, -500.000, +204.000
1643152200, +3.06, +29.779, +1311.30308, +1036.000, -504.000, +208.000
1643152320, +3.06, +29.714, +1326.34628, +1039.000, -512.000, +224.000
1643152440, +3.06, +29.649, +1261.98689, +1038.000, -512.000, +220.000
1643152560, +3.06, +29.576, +1154.47041, +1036.000, -512.000, +227.000
1643152680, +3.06, +29.520, +1327.81715, +1036.000, -512.000, +224.000
1643152800, +3.06, +29.455, +1300.09035, +1036.000, -512.000, +239.000
1643152920, +3.06, +29.430, +1279.98733, +1036.000, -523.000, +240.000
1643153040, +3.06, +29.398, +359.98619, +1038.000, -512.000, +238.000
1643153160, +3.06, +29.365, +297.36088, +1038.000, -512.000, +224.000
1643153280, +3.06, +29.349, +854.29690, +1033.000, -516.000, +243.000
1643153400, +3.06, +29.300, +1001.37842, +1036.000, -512.000, +236.000
1643153520, +3.06, +29.243, +1192.44691, +1038.000, -512.000, +227.000
1643153640, +3.06, +29.178, +1151.55033, +935.000, -477.000, +359.000
1643153760, +3.06, +29.154, +1150.73903, +1032.000, -520.000, +243.000
1643153880, +3.06, +29.154, +1155.79885, +1032.000, -515.000, +243.000
1643154000, +3.06, +29.137, +294.75666, +1038.000, -525.000, +239.000
1643154120, +3.06, +29.129, +1149.86579, +1038.000, -520.000, +239.000
1643154240, +3.06, +29.146, +1121.45154, +1033.000, -517.000, +243.000
1643154360, +3.06, +29.137, +1114.26128, +1032.000, -519.000, +243.000
1643154480, +3.06, +29.129, +1040.24674, +1036.000, -512.000, +235.000
1643154600, +3.06, +29.129, +992.96501, +1036.000, -519.000, +243.000
1643154720, +3.06, +29.137, +993.28705, +1036.000, -519.000, +249.000
1643154840, +3.06, +29.137, +1017.78412, +1036.000, -512.000, +235.000
1643154960, +3.06, +29.113, +204.42622, +1036.000, -524.000, +247.000
1643155080, +3.06, +29.089, +222.31518, +1030.000, -519.000, +251.000
1643155200, +3.06, +29.097, +242.92295, +935.000, -474.000, +359.000
1643155320, +3.06, +29.089, +989.38536, +1036.000, -512.000, +239.000
1643155440, +3.06, +29.080, +310.84960, +935.000, -474.000, +359.000
1643155560, +3.06, +29.048, +236.42941, +1038.000, -525.000, +238.000
1643155680, +3.06, +29.015, +243.61658, +935.000, -477.000, +359.000
1643155800, +3.06, +29.032, +233.15323, +935.000, -477.000, +359.000
1643155920, +3.06, +28.983, +312.82522, +935.000, -477.000, +359.000
1643156040, +3.06, +29.023, +288.12378, +935.000, -474.000, +359.000
1643156160, +3.06, +28.991, +224.39609, +1036.000, -516.000, +247.000
1643156280, +3.06, +29.007, +187.98027, +1036.000, -516.000, +238.000
1643156400, +3.06, +29.064, +187.37953, +1032.000, -513.000, +247.000
1643156520, +3.06, +29.080, +166.57359, +935.000, -476.000, +359.000
1643156640, +3.06, +29.089, +182.86781, +1033.000, -525.000, +239.000
1643156760, +3.06, +29.064, +176.76444, +935.000, -479.000, +359.000
1643156880, +3.06, +29.056, +153.52149, +934.000, -477.000, +359.000
1643157000, +3.06, +29.048, +121.40063, +1036.000, -525.000, +243.000
1643157120, +3.06, +29.056, +107.46600, +1035.000, -520.000, +252.000
1643157240, +3.06, +29.040, +109.81011, +1036.000, -528.000, +241.000
1643157360, +3.06, +29.023, +116.05902, +1032.000, -521.000, +247.000
1643157480, +3.06, +28.991, +104.06285, +935.000, -477.000, +359.000
1643157600, +3.06, +28.966, +86.74676, +934.000, -477.000, +355.000
1643157720, +3.06, +28.983, +81.48876, +1036.000, -526.000, +239.000
1643157840, +3.06, +28.966, +83.26001, +935.000, -474.000, +359.000
1643157960, +3.06, +28.934, +75.23676, +1032.000, -522.000, +241.000
1643158080, +3.06, +28.877, +69.13030, +935.000, -477.000, +360.000
1643158200, +3.06, +28.901, +75.07883, +935.000, -477.000, +359.000
1643158320, +3.06, +28.885, +77.88124, +1032.000, -515.000, +247.000
1643158440, +3.06, +28.877, +90.65774, +934.000, -477.000, +359.000
1643158560, +3.06, +28.844, +109.93088, +1036.000, -520.000, +247.000
1643158680, +3.06, +28.836, +160.90374, +1036.000, -515.000, +247.000
1643158800, +3.06, +28.803, +144.69932, +935.000, -477.000, +359.000
1643158920, +3.06, +28.787, +153.63296, +934.000, -477.000, +359.000
1643159040, +3.06, +28.754, +153.63916, +935.000, -476.000, +356.000
1643159160, +3.06, +28.738, +155.15029, +935.000, -477.000, +359.000
1643159280, +3.06, +28.713, +186.15638, +935.000, -477.000, +359.000
1643159400, +3.06, +28.721, +187.03271, +952.000, -424.000, +337.000
1643159520, +3.06, +28.689, +255.19780, +952.000, -424.000, +336.000
1643159640, +3.06, +28.689, +249.35145, +952.000, -424.000, +335.000
1643159760, +3.06, +28.681, +266.86263, +952.000, -420.000, +335.000
1643159880, +3.06, +28.664, +252.84750, +953.000, -424.000, +335.000
1643160000, +3.06, +28.697, +213.78719, +952.000, -423.000, +335.000
1643160120, +3.06, +28.713, +179.90128, +952.000, -424.000, +337.000
1643160240, +3.06, +28.713, +153.69489, +952.000, -423.000, +335.000
1643160360, +3.06, +28.721, +153.68251, +950.000, -424.000, +335.000
1643160480, +3.06, +28.746, +152.60799, +952.000, -420.000, +335.000
1643160600, +3.06, +28.762, +150.24840, +952.000, -423.000, +335.000
1643160720, +3.06, +28.787, +131.15486, +952.000, -423.000, +335.000
1643160840, +3.06, +28.770, +145.53540, +952.000, -421.000, +335.000
1643160960, +3.06, +28.770, +155.51878, +952.000, -424.000, +335.000
1643161080, +3.06, +28.746, +138.33894, +952.000, -424.000, +335.000
1643161200, +3.06, +28.721, +133.28222, +951.000, -423.000, +335.000
1643161320, +3.06, +28.697, +133.18313, +952.000, -423.000, +335.000
1643161440, +3.06, +28.713, +129.45794, +952.000, -423.000, +335.000
1643161560, +3.06, +28.697, +122.66713, +952.000, -424.000, +335.000
1643161680, +3.06, +28.681, +128.67140, +953.000, -423.000, +335.000
1643161800, +3.06, +28.648, +141.36120, +952.000, -420.000, +335.000
1643161920, +3.06, +28.591, +151.14331, +952.000, -424.000, +335.000
1643162040, +3.06, +28.599, +129.23808, +952.000, -420.000, +335.000
1643162160, +3.06, +28.574, +118.97910, +952.000, -421.000, +335.000
1643162280, +3.06, +28.566, +117.23882, +952.000, -424.000, +334.000
1643162400, +3.06, +28.558, +119.21444, +953.000, -424.000, +335.000
1643162520, +3.06, +28.550, +93.29913, +952.000, -423.000, +335.000
1643162640, +3.06, +28.566, +76.70144, +952.000, -424.000, +334.000
1643162760, +3.06, +28.582, +71.00992, +952.000, -420.000, +335.000
1643162880, +3.06, +28.550, +83.59444, +952.000, -423.000, +335.000
