"Plot Title: CT_350_051421"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739350, SEN S/N: 20739350)","Temp, °C (LGR S/N: 20739350, SEN S/N: 20739350)","Specific Conductance, μS/cm (LGR S/N: 20739350)","Salinity, ppt (LGR S/N: 20739350)"
1,05/14/21 06:00:00 AM,0.0,22.64,0.0,0.0123
2,05/14/21 06:00:10 AM,0.0,22.64,0.0,0.0123
3,05/14/21 06:00:20 AM,0.0,22.64,0.0,0.0123
4,05/14/21 06:00:30 AM,0.0,22.64,0.0,0.0123
5,05/14/21 06:00:40 AM,0.0,22.64,0.0,0.0123
6,05/14/21 06:00:50 AM,0.0,22.64,0.0,0.0123
7,05/14/21 06:01:00 AM,0.0,22.64,0.0,0.0123
8,05/14/21 06:01:10 AM,0.0,22.64,0.0,0.0123
9,05/14/21 06:01:20 AM,0.0,22.64,0.0,0.0123
10,05/14/21 06:01:30 AM,0.0,22.64,0.0,0.0123
11,05/14/21 06:01:40 AM,0.0,22.64,0.0,0.0123
12,05/14/21 06:01:50 AM,0.0,22.64,0.0,0.0123
13,05/14/21 06:02:00 AM,0.0,22.64,0.0,0.0123
14,05/14/21 06:02:10 AM,0.0,22.64,0.0,0.0123
15,05/14/21 06:02:20 AM,0.0,22.64,0.0,0.0123
16,05/14/21 06:02:30 AM,0.0,22.64,0.0,0.0123
17,05/14/21 06:02:40 AM,0.0,22.64,0.0,0.0123
18,05/14/21 06:02:50 AM,0.0,22.65,0.0,0.0123
19,05/14/21 06:03:00 AM,0.0,22.65,0.0,0.0123
20,05/14/21 06:03:10 AM,0.0,22.65,0.0,0.0123
21,05/14/21 06:03:20 AM,0.0,22.64,0.0,0.0123
22,05/14/21 06:03:30 AM,0.0,22.65,0.0,0.0123
23,05/14/21 06:03:40 AM,0.0,22.65,0.0,0.0123
24,05/14/21 06:03:50 AM,0.0,22.64,0.0,0.0123
25,05/14/21 06:04:00 AM,0.0,22.64,0.0,0.0123
26,05/14/21 06:04:10 AM,0.0,22.65,0.0,0.0123
27,05/14/21 06:04:20 AM,0.0,22.65,0.0,0.0123
28,05/14/21 06:04:30 AM,0.0,22.65,0.0,0.0123
29,05/14/21 06:04:40 AM,0.0,22.65,0.0,0.0123
30,05/14/21 06:04:50 AM,0.0,22.65,0.0,0.0123
31,05/14/21 06:05:00 AM,0.0,22.65,0.0,0.0123
32,05/14/21 06:05:10 AM,0.0,22.65,0.0,0.0123
33,05/14/21 06:05:20 AM,0.0,22.65,0.0,0.0123
