"Plot Title: CT_351_051621"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739351, SEN S/N: 20739351)","Temp, °C (LGR S/N: 20739351, SEN S/N: 20739351)","Specific Conductance, μS/cm (LGR S/N: 20739351)","Salinity, ppt (LGR S/N: 20739351)"
1,05/16/21 09:31:00 AM,0.0,24.03,0.0,0.0123
2,05/16/21 09:31:30 AM,0.0,24.07,0.0,0.0123
3,05/16/21 09:32:00 AM,0.0,24.10,0.0,0.0123
4,05/16/21 09:32:30 AM,0.0,24.12,0.0,0.0123
5,05/16/21 09:33:00 AM,0.0,24.14,0.0,0.0123
6,05/16/21 09:33:30 AM,0.0,24.14,0.0,0.0123
7,05/16/21 09:34:00 AM,0.0,24.14,0.0,0.0123
8,05/16/21 09:34:30 AM,0.0,24.14,0.0,0.0123
9,05/16/21 09:35:00 AM,0.0,24.14,0.0,0.0123
10,05/16/21 09:35:30 AM,0.0,24.12,0.0,0.0123
11,05/16/21 09:36:00 AM,0.0,24.11,0.0,0.0123
12,05/16/21 09:36:30 AM,0.0,24.11,0.0,0.0123
13,05/16/21 09:37:00 AM,0.0,24.10,0.0,0.0123
14,05/16/21 09:37:30 AM,0.0,24.09,0.0,0.0123
15,05/16/21 09:38:00 AM,0.0,24.07,0.0,0.0123
16,05/16/21 09:38:30 AM,0.0,24.07,0.0,0.0123
17,05/16/21 09:39:00 AM,0.0,24.06,0.0,0.0123
18,05/16/21 09:39:30 AM,0.0,24.05,0.0,0.0123
19,05/16/21 09:40:00 AM,0.0,24.05,0.0,0.0123
20,05/16/21 09:40:30 AM,0.0,24.04,0.0,0.0123
21,05/16/21 09:41:00 AM,0.0,24.04,0.0,0.0123
22,05/16/21 09:41:30 AM,0.0,24.03,0.0,0.0123
23,05/16/21 09:42:00 AM,0.0,24.01,0.0,0.0123
24,05/16/21 09:42:30 AM,0.0,24.01,0.0,0.0123
25,05/16/21 09:43:00 AM,0.0,24.00,0.0,0.0123
26,05/16/21 09:43:30 AM,0.0,23.99,0.0,0.0123
27,05/16/21 09:44:00 AM,0.0,23.99,0.0,0.0123
28,05/16/21 09:44:30 AM,0.0,23.98,0.0,0.0123
29,05/16/21 09:45:00 AM,0.0,23.96,0.0,0.0123
30,05/16/21 09:45:30 AM,0.0,23.95,0.0,0.0123
31,05/16/21 09:46:00 AM,0.0,23.95,0.0,0.0123
32,05/16/21 09:46:30 AM,0.0,23.94,0.0,0.0123
33,05/16/21 09:47:00 AM,0.0,23.94,0.0,0.0123
34,05/16/21 09:47:30 AM,0.0,23.93,0.0,0.0123
35,05/16/21 09:48:00 AM,0.0,23.93,0.0,0.0123
36,05/16/21 09:48:30 AM,0.0,23.92,0.0,0.0123
37,05/16/21 09:49:00 AM,0.0,23.92,0.0,0.0123
38,05/16/21 09:49:30 AM,0.0,23.90,0.0,0.0123
39,05/16/21 09:50:00 AM,0.0,23.90,0.0,0.0123
40,05/16/21 09:50:30 AM,0.0,23.90,0.0,0.0123
41,05/16/21 09:51:00 AM,0.0,23.89,0.0,0.0123
42,05/16/21 09:51:30 AM,0.0,23.89,0.0,0.0123
43,05/16/21 09:52:00 AM,0.0,23.88,0.0,0.0123
44,05/16/21 09:52:30 AM,0.0,23.88,0.0,0.0123
45,05/16/21 09:53:00 AM,0.0,23.88,0.0,0.0123
46,05/16/21 09:53:30 AM,0.0,23.87,0.0,0.0123
47,05/16/21 09:54:00 AM,0.0,23.85,0.0,0.0123
48,05/16/21 09:54:30 AM,0.0,23.85,0.0,0.0123
49,05/16/21 09:55:00 AM,0.0,23.85,0.0,0.0123
50,05/16/21 09:55:30 AM,0.0,23.84,0.0,0.0123
51,05/16/21 09:56:00 AM,0.0,23.84,0.0,0.0123
52,05/16/21 09:56:30 AM,0.0,23.84,0.0,0.0123
53,05/16/21 09:57:00 AM,0.0,23.83,0.0,0.0123
54,05/16/21 09:57:30 AM,0.0,23.83,0.0,0.0123
55,05/16/21 09:58:00 AM,0.0,23.82,0.0,0.0123
56,05/16/21 09:58:30 AM,0.0,23.82,0.0,0.0123
57,05/16/21 09:59:00 AM,0.0,23.81,0.0,0.0123
58,05/16/21 09:59:30 AM,0.0,23.81,0.0,0.0123
59,05/16/21 10:00:00 AM,0.0,23.81,0.0,0.0123
60,05/16/21 10:00:30 AM,0.0,23.81,0.0,0.0123
61,05/16/21 10:01:00 AM,0.0,23.81,0.0,0.0123
62,05/16/21 10:01:30 AM,0.0,23.79,0.0,0.0123
63,05/16/21 10:02:00 AM,0.0,23.79,0.0,0.0123
64,05/16/21 10:02:30 AM,0.0,23.79,0.0,0.0123
65,05/16/21 10:03:00 AM,0.0,23.79,0.0,0.0123
66,05/16/21 10:03:30 AM,0.0,23.78,0.0,0.0123
67,05/16/21 10:04:00 AM,0.0,23.78,0.0,0.0123
68,05/16/21 10:04:30 AM,0.0,23.78,0.0,0.0123
69,05/16/21 10:05:00 AM,0.0,23.78,0.0,0.0123
70,05/16/21 10:05:30 AM,0.0,23.78,0.0,0.0123
