"Plot Title: CT_334"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739334, SEN S/N: 20739334)","Temp, °C (LGR S/N: 20739334, SEN S/N: 20739334)","Specific Conductance, μS/cm (LGR S/N: 20739334)","Salinity, ppt (LGR S/N: 20739334)"
1,05/13/21 08:00:00 AM,0.0,26.04,0.0,0.0123
2,05/13/21 08:00:10 AM,0.0,26.04,0.0,0.0123
3,05/13/21 08:00:20 AM,0.0,26.02,0.0,0.0123
4,05/13/21 08:00:30 AM,0.0,26.02,0.0,0.0123
5,05/13/21 08:00:40 AM,0.0,26.00,0.0,0.0123
6,05/13/21 08:00:50 AM,0.0,26.00,0.0,0.0123
7,05/13/21 08:01:00 AM,0.0,25.99,0.0,0.0123
8,05/13/21 08:01:10 AM,0.0,25.98,0.0,0.0123
9,05/13/21 08:01:20 AM,0.0,25.97,0.0,0.0123
10,05/13/21 08:01:30 AM,0.0,25.97,0.0,0.0123
11,05/13/21 08:01:40 AM,0.0,25.95,0.0,0.0123
12,05/13/21 08:01:50 AM,0.0,25.94,0.0,0.0123
13,05/13/21 08:02:00 AM,0.0,25.93,0.0,0.0123
14,05/13/21 08:02:10 AM,0.0,25.93,0.0,0.0123
15,05/13/21 08:02:20 AM,0.0,25.92,0.0,0.0123
16,05/13/21 08:02:30 AM,0.0,25.92,0.0,0.0123
17,05/13/21 08:02:40 AM,0.0,25.92,0.0,0.0123
18,05/13/21 08:02:50 AM,0.0,25.90,0.0,0.0123
19,05/13/21 08:03:00 AM,0.0,25.90,0.0,0.0123
20,05/13/21 08:03:10 AM,0.0,25.90,0.0,0.0123
21,05/13/21 08:03:20 AM,0.0,25.89,0.0,0.0123
22,05/13/21 08:03:30 AM,0.0,25.88,0.0,0.0123
23,05/13/21 08:03:40 AM,0.0,25.88,0.0,0.0123
24,05/13/21 08:03:50 AM,0.0,25.87,0.0,0.0123
25,05/13/21 08:04:00 AM,0.0,25.87,0.0,0.0123
26,05/13/21 08:04:10 AM,0.0,25.87,0.0,0.0123
27,05/13/21 08:04:20 AM,0.0,25.85,0.0,0.0123
28,05/13/21 08:04:30 AM,0.0,25.85,0.0,0.0123
29,05/13/21 08:04:40 AM,0.0,25.85,0.0,0.0123
30,05/13/21 08:04:50 AM,0.0,25.84,0.0,0.0123
31,05/13/21 08:05:00 AM,0.0,25.83,0.0,0.0123
32,05/13/21 08:05:10 AM,0.0,25.83,0.0,0.0123
33,05/13/21 08:05:20 AM,0.0,25.83,0.0,0.0123
34,05/13/21 08:05:30 AM,0.0,25.81,0.0,0.0123
35,05/13/21 08:05:40 AM,0.0,25.81,0.0,0.0123
36,05/13/21 08:05:50 AM,0.0,25.80,0.0,0.0123
37,05/13/21 08:06:00 AM,0.0,25.80,0.0,0.0123
38,05/13/21 08:06:10 AM,0.0,25.79,0.0,0.0123
39,05/13/21 08:06:20 AM,0.0,25.79,0.0,0.0123
40,05/13/21 08:06:30 AM,0.0,25.79,0.0,0.0123
41,05/13/21 08:06:40 AM,0.0,25.78,0.0,0.0123
42,05/13/21 08:06:50 AM,0.0,25.78,0.0,0.0123
43,05/13/21 08:07:00 AM,0.0,25.76,0.0,0.0123
44,05/13/21 08:07:10 AM,0.0,25.76,0.0,0.0123
45,05/13/21 08:07:20 AM,0.0,25.75,0.0,0.0123
46,05/13/21 08:07:30 AM,0.0,25.75,0.0,0.0123
47,05/13/21 08:07:40 AM,0.0,25.74,0.0,0.0123
48,05/13/21 08:07:50 AM,0.0,25.74,0.0,0.0123
49,05/13/21 08:08:00 AM,0.0,25.73,0.0,0.0123
50,05/13/21 08:08:10 AM,0.0,25.73,0.0,0.0123
51,05/13/21 08:08:20 AM,0.0,25.73,0.0,0.0123
52,05/13/21 08:08:30 AM,0.0,25.71,0.0,0.0123
53,05/13/21 08:08:40 AM,0.0,25.71,0.0,0.0123
54,05/13/21 08:08:50 AM,0.0,25.71,0.0,0.0123
55,05/13/21 08:09:00 AM,0.0,25.70,0.0,0.0123
56,05/13/21 08:09:10 AM,0.0,25.70,0.0,0.0123
57,05/13/21 08:09:20 AM,0.0,25.69,0.0,0.0123
58,05/13/21 08:09:30 AM,0.0,25.69,0.0,0.0123
59,05/13/21 08:09:40 AM,0.0,25.69,0.0,0.0123
60,05/13/21 08:09:50 AM,0.0,25.68,0.0,0.0123
61,05/13/21 08:10:00 AM,0.0,25.68,0.0,0.0123
62,05/13/21 08:10:10 AM,0.0,25.68,0.0,0.0123
63,05/13/21 08:10:20 AM,0.0,25.66,0.0,0.0123
64,05/13/21 08:10:30 AM,0.0,25.66,0.0,0.0123
65,05/13/21 08:10:40 AM,0.0,25.66,0.0,0.0123
66,05/13/21 08:10:50 AM,0.0,25.65,0.0,0.0123
67,05/13/21 08:11:00 AM,0.0,25.64,0.0,0.0123
68,05/13/21 08:11:10 AM,0.0,25.65,0.0,0.0123
69,05/13/21 08:11:20 AM,0.0,25.64,0.0,0.0123
70,05/13/21 08:11:30 AM,0.0,25.63,0.0,0.0123
71,05/13/21 08:11:40 AM,0.0,25.63,0.0,0.0123
72,05/13/21 08:11:50 AM,0.0,25.63,0.0,0.0123
73,05/13/21 08:12:00 AM,0.0,25.63,0.0,0.0123
74,05/13/21 08:12:10 AM,0.0,25.63,0.0,0.0123
75,05/13/21 08:12:20 AM,0.0,25.61,0.0,0.0123
76,05/13/21 08:12:30 AM,0.0,25.61,0.0,0.0123
77,05/13/21 08:12:40 AM,0.0,25.61,0.0,0.0123
78,05/13/21 08:12:50 AM,0.0,25.60,0.0,0.0123
79,05/13/21 08:13:00 AM,0.0,25.60,0.0,0.0123
80,05/13/21 08:13:10 AM,0.0,25.60,0.0,0.0123
81,05/13/21 08:13:20 AM,0.0,25.59,0.0,0.0123
82,05/13/21 08:13:30 AM,0.0,25.59,0.0,0.0123
83,05/13/21 08:13:40 AM,0.0,25.59,0.0,0.0123
84,05/13/21 08:13:50 AM,0.0,25.58,0.0,0.0123
85,05/13/21 08:14:00 AM,0.0,25.58,0.0,0.0123
86,05/13/21 08:14:10 AM,0.0,25.58,0.0,0.0123
87,05/13/21 08:14:20 AM,0.0,25.58,0.0,0.0123
88,05/13/21 08:14:30 AM,0.0,25.58,0.0,0.0123
89,05/13/21 08:14:40 AM,0.0,25.56,0.0,0.0123
90,05/13/21 08:14:50 AM,0.0,25.55,0.0,0.0123
91,05/13/21 08:15:00 AM,0.0,25.55,0.0,0.0123
92,05/13/21 08:15:10 AM,0.0,25.55,0.0,0.0123
93,05/13/21 08:15:20 AM,0.0,25.55,0.0,0.0123
94,05/13/21 08:15:30 AM,0.0,25.54,0.0,0.0123
95,05/13/21 08:15:40 AM,0.0,25.54,0.0,0.0123
96,05/13/21 08:15:50 AM,0.0,25.52,0.0,0.0123
97,05/13/21 08:16:00 AM,0.0,25.52,0.0,0.0123
98,05/13/21 08:16:10 AM,0.0,25.52,0.0,0.0123
99,05/13/21 08:16:20 AM,0.0,25.51,0.0,0.0123
100,05/13/21 08:16:30 AM,0.0,25.50,0.0,0.0123
101,05/13/21 08:16:40 AM,0.0,25.50,0.0,0.0123
102,05/13/21 08:16:50 AM,0.0,25.49,0.0,0.0123
103,05/13/21 08:17:00 AM,0.0,25.50,0.0,0.0123
104,05/13/21 08:17:10 AM,0.0,25.50,0.0,0.0123
105,05/13/21 08:17:20 AM,0.0,25.49,0.0,0.0123
106,05/13/21 08:17:30 AM,0.0,25.49,0.0,0.0123
107,05/13/21 08:17:40 AM,0.0,25.49,0.0,0.0123
108,05/13/21 08:17:50 AM,0.0,25.49,0.0,0.0123
109,05/13/21 08:18:00 AM,0.0,25.47,0.0,0.0123
110,05/13/21 08:18:10 AM,0.0,25.47,0.0,0.0123
111,05/13/21 08:18:20 AM,0.0,25.47,0.0,0.0123
112,05/13/21 08:18:30 AM,0.0,25.47,0.0,0.0123
113,05/13/21 08:18:40 AM,0.0,25.47,0.0,0.0123
114,05/13/21 08:18:50 AM,0.0,25.47,0.0,0.0123
115,05/13/21 08:19:00 AM,0.0,25.46,0.0,0.0123
116,05/13/21 08:19:10 AM,0.0,25.46,0.0,0.0123
117,05/13/21 08:19:20 AM,0.0,25.47,0.0,0.0123
118,05/13/21 08:19:30 AM,0.0,25.47,0.0,0.0123
119,05/13/21 08:19:40 AM,0.0,25.46,0.0,0.0123
120,05/13/21 08:19:50 AM,0.0,25.46,0.0,0.0123
121,05/13/21 08:20:00 AM,0.0,25.46,0.0,0.0123
122,05/13/21 08:20:10 AM,0.0,25.45,0.0,0.0123
123,05/13/21 08:20:20 AM,0.0,25.46,0.0,0.0123
124,05/13/21 08:20:30 AM,0.0,25.45,0.0,0.0123
125,05/13/21 08:20:40 AM,0.0,25.45,0.0,0.0123
126,05/13/21 08:20:50 AM,0.0,25.45,0.0,0.0123
127,05/13/21 08:21:00 AM,0.0,25.45,0.0,0.0123
128,05/13/21 08:21:10 AM,0.0,25.45,0.0,0.0123
129,05/13/21 08:21:20 AM,0.0,25.45,0.0,0.0123
130,05/13/21 08:21:30 AM,0.0,25.45,0.0,0.0123
131,05/13/21 08:21:40 AM,0.0,25.45,0.0,0.0123
132,05/13/21 08:21:50 AM,0.0,25.45,0.0,0.0123
133,05/13/21 08:22:00 AM,0.0,25.45,0.0,0.0123
134,05/13/21 08:22:10 AM,0.0,25.44,0.0,0.0123
135,05/13/21 08:22:20 AM,0.0,25.44,0.0,0.0123
136,05/13/21 08:22:30 AM,0.0,25.44,0.0,0.0123
137,05/13/21 08:22:40 AM,0.0,25.44,0.0,0.0123
138,05/13/21 08:22:50 AM,0.0,25.44,0.0,0.0123
139,05/13/21 08:23:00 AM,0.0,25.44,0.0,0.0123
140,05/13/21 08:23:10 AM,0.0,25.44,0.0,0.0123
141,05/13/21 08:23:20 AM,0.0,25.44,0.0,0.0123
142,05/13/21 08:23:30 AM,0.0,25.44,0.0,0.0123
143,05/13/21 08:23:40 AM,0.0,25.42,0.0,0.0123
144,05/13/21 08:23:50 AM,0.0,25.42,0.0,0.0123
145,05/13/21 08:24:00 AM,0.0,25.44,0.0,0.0123
