"Plot Title: CT_354_051921"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739354, SEN S/N: 20739354)","Temp, °C (LGR S/N: 20739354, SEN S/N: 20739354)","Specific Conductance, μS/cm (LGR S/N: 20739354)","Salinity, ppt (LGR S/N: 20739354)"
1,05/19/21 07:00:00 AM,0.0,24.28,0.0,0.0123
2,05/19/21 07:00:10 AM,0.0,24.29,0.0,0.0123
3,05/19/21 07:00:20 AM,0.0,24.28,0.0,0.0123
4,05/19/21 07:00:30 AM,0.0,24.29,0.0,0.0123
5,05/19/21 07:00:40 AM,0.0,24.29,0.0,0.0123
6,05/19/21 07:00:50 AM,0.0,24.29,0.0,0.0123
7,05/19/21 07:01:00 AM,0.0,24.29,0.0,0.0123
8,05/19/21 07:01:10 AM,0.0,24.29,0.0,0.0123
9,05/19/21 07:01:20 AM,0.0,24.29,0.0,0.0123
10,05/19/21 07:01:30 AM,0.0,24.30,0.0,0.0123
11,05/19/21 07:01:40 AM,0.0,24.30,0.0,0.0123
12,05/19/21 07:01:50 AM,0.0,24.30,0.0,0.0123
13,05/19/21 07:02:00 AM,0.0,24.30,0.0,0.0123
14,05/19/21 07:02:10 AM,0.0,24.30,0.0,0.0123
15,05/19/21 07:02:20 AM,0.0,24.29,0.0,0.0123
16,05/19/21 07:02:30 AM,0.0,24.30,0.0,0.0123
17,05/19/21 07:02:40 AM,0.0,24.29,0.0,0.0123
18,05/19/21 07:02:50 AM,0.0,24.30,0.0,0.0123
19,05/19/21 07:03:00 AM,0.0,24.30,0.0,0.0123
20,05/19/21 07:03:10 AM,0.0,24.30,0.0,0.0123
21,05/19/21 07:03:20 AM,0.0,24.32,0.0,0.0123
22,05/19/21 07:03:30 AM,0.0,24.30,0.0,0.0123
23,05/19/21 07:03:40 AM,0.0,24.32,0.0,0.0123
24,05/19/21 07:03:50 AM,0.0,24.30,0.0,0.0123
25,05/19/21 07:04:00 AM,0.0,24.30,0.0,0.0123
26,05/19/21 07:04:10 AM,0.0,24.30,0.0,0.0123
27,05/19/21 07:04:20 AM,0.0,24.33,0.0,0.0123
28,05/19/21 07:04:30 AM,0.0,24.33,0.0,0.0123
29,05/19/21 07:04:40 AM,0.0,24.33,0.0,0.0123
30,05/19/21 07:04:50 AM,0.0,24.33,0.0,0.0123
31,05/19/21 07:05:00 AM,0.0,24.33,0.0,0.0123
32,05/19/21 07:05:10 AM,0.0,24.33,0.0,0.0123
33,05/19/21 07:05:20 AM,0.0,24.33,0.0,0.0123
34,05/19/21 07:05:30 AM,0.0,24.33,0.0,0.0123
35,05/19/21 07:05:40 AM,0.0,24.33,0.0,0.0123
36,05/19/21 07:05:50 AM,0.0,24.33,0.0,0.0123
37,05/19/21 07:06:00 AM,0.0,24.33,0.0,0.0123
38,05/19/21 07:06:10 AM,0.0,24.33,0.0,0.0123
39,05/19/21 07:06:20 AM,0.0,24.33,0.0,0.0123
40,05/19/21 07:06:30 AM,0.0,24.33,0.0,0.0123
41,05/19/21 07:06:40 AM,0.0,24.32,0.0,0.0123
42,05/19/21 07:06:50 AM,0.0,24.33,0.0,0.0123
43,05/19/21 07:07:00 AM,0.0,24.33,0.0,0.0123
44,05/19/21 07:07:10 AM,0.0,24.33,0.0,0.0123
45,05/19/21 07:07:20 AM,0.0,24.33,0.0,0.0123
46,05/19/21 07:07:30 AM,0.0,24.33,0.0,0.0123
47,05/19/21 07:07:40 AM,0.0,24.33,0.0,0.0123
48,05/19/21 07:07:50 AM,0.0,24.33,0.0,0.0123
49,05/19/21 07:08:00 AM,0.0,24.33,0.0,0.0123
50,05/19/21 07:08:10 AM,0.0,24.33,0.0,0.0123
51,05/19/21 07:08:20 AM,0.0,24.33,0.0,0.0123
52,05/19/21 07:08:30 AM,0.0,24.32,0.0,0.0123
53,05/19/21 07:08:40 AM,0.0,24.33,0.0,0.0123
54,05/19/21 07:08:50 AM,0.0,24.33,0.0,0.0123
55,05/19/21 07:09:00 AM,0.0,24.33,0.0,0.0123
56,05/19/21 07:09:10 AM,0.0,24.33,0.0,0.0123
