"Plot Title: CT_339_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739339, SEN S/N: 20739339)","Temp, °C (LGR S/N: 20739339, SEN S/N: 20739339)","Specific Conductance, μS/cm (LGR S/N: 20739339)","Salinity, ppt (LGR S/N: 20739339)","Coupler Detached (LGR S/N: 20739339)","Coupler Attached (LGR S/N: 20739339)","Host Connected (LGR S/N: 20739339)","Stopped (LGR S/N: 20739339)","End Of File (LGR S/N: 20739339)"
1,05/22/21 12:08:00 PM,0.0,23.65,0.0,0.0123,Logged,,,,
2,05/22/21 12:08:30 PM,0.0,23.61,0.0,0.0123,,,,,
3,05/22/21 12:09:00 PM,0.0,23.62,0.0,0.0123,,,,,
4,05/22/21 12:09:30 PM,0.0,23.61,0.0,0.0123,,,,,
5,05/22/21 12:10:00 PM,0.0,23.60,0.0,0.0123,,,,,
6,05/22/21 12:10:30 PM,0.0,23.57,0.0,0.0123,,,,,
7,05/22/21 12:11:00 PM,0.0,23.52,0.0,0.0123,,,,,
8,05/22/21 12:11:30 PM,0.0,23.51,0.0,0.0123,,,,,
9,05/22/21 12:12:00 PM,0.0,23.50,0.0,0.0123,,,,,
10,05/22/21 12:12:30 PM,0.0,23.46,0.0,0.0123,,,,,
11,05/22/21 12:13:00 PM,0.0,23.44,0.0,0.0123,,,,,
12,05/22/21 12:13:30 PM,0.0,23.39,0.0,0.0123,,,,,
13,05/22/21 12:14:00 PM,0.0,23.36,0.0,0.0123,,,,,
14,05/22/21 12:14:30 PM,0.0,23.32,0.0,0.0123,,,,,
15,05/22/21 12:15:00 PM,0.0,23.28,0.0,0.0123,,,,,
16,05/22/21 12:15:30 PM,0.0,23.23,0.0,0.0123,,,,,
17,05/22/21 12:16:00 PM,0.0,23.17,0.0,0.0123,,,,,
18,05/22/21 12:16:30 PM,0.0,23.14,0.0,0.0123,,,,,
19,05/22/21 12:17:00 PM,0.0,23.08,0.0,0.0123,,,,,
20,05/22/21 12:17:30 PM,0.0,23.03,0.0,0.0123,,,,,
21,05/22/21 12:18:00 PM,0.0,22.99,0.0,0.0123,,,,,
22,05/22/21 12:18:30 PM,0.0,22.94,0.0,0.0123,,,,,
23,05/22/21 12:19:00 PM,0.0,22.89,0.0,0.0123,,,,,
24,05/22/21 12:19:30 PM,0.0,22.86,0.0,0.0123,,,,,
25,05/22/21 12:20:00 PM,0.0,22.82,0.0,0.0123,,,,,
26,05/22/21 12:20:30 PM,0.0,22.77,0.0,0.0123,,,,,
27,05/22/21 12:21:00 PM,0.0,22.75,0.0,0.0123,,,,,
28,05/22/21 12:21:30 PM,0.0,22.71,0.0,0.0123,,,,,
29,05/22/21 12:22:00 PM,0.0,22.69,0.0,0.0123,,,,,
30,05/22/21 12:22:30 PM,0.0,22.65,0.0,0.0123,,,,,
31,05/22/21 12:23:00 PM,0.0,22.63,0.0,0.0123,,,,,
32,05/22/21 12:23:30 PM,0.0,22.60,0.0,0.0123,,,,,
33,05/22/21 12:24:00 PM,0.0,22.59,0.0,0.0123,,,,,
34,05/22/21 12:24:30 PM,0.0,22.57,0.0,0.0123,,,,,
35,05/22/21 12:25:00 PM,0.0,22.56,0.0,0.0123,,,,,
36,05/22/21 12:25:30 PM,0.0,22.54,0.0,0.0123,,,,,
37,05/22/21 12:26:00 PM,0.0,22.53,0.0,0.0123,,,,,
38,05/22/21 12:26:30 PM,0.0,22.52,0.0,0.0123,,,,,
39,05/22/21 12:27:00 PM,0.0,22.53,0.0,0.0123,,,,,
40,05/22/21 12:27:30 PM,0.0,22.52,0.0,0.0123,,,,,
41,05/22/21 12:28:00 PM,0.0,22.83,0.0,0.0123,,,,,
42,05/22/21 12:28:30 PM,0.0,23.31,0.0,0.0123,,,,,
43,05/22/21 12:29:00 PM,0.0,23.42,0.0,0.0123,,,,,
44,05/22/21 12:29:30 PM,0.0,23.76,0.0,0.0123,,,,,
45,05/22/21 12:30:00 PM,0.0,24.24,0.0,0.0123,,,,,
46,05/22/21 12:30:30 PM,0.0,24.53,0.0,0.0123,,,,,
47,05/22/21 12:31:00 PM,0.0,24.71,0.0,0.0123,,,,,
48,05/22/21 12:31:30 PM,40021.1,28.82,54086.5,35.7596,,,,,
49,05/22/21 12:32:00 PM,39954.5,28.88,53935.5,35.6471,,,,,
50,05/22/21 12:32:30 PM,39888.0,28.89,53835.5,35.5727,,,,,
51,05/22/21 12:33:00 PM,39903.6,28.92,53826.2,35.5658,,,,,
52,05/22/21 12:33:30 PM,39856.8,28.92,53763.0,35.5187,,,,,
53,05/22/21 12:34:00 PM,39868.5,28.93,53768.7,35.5230,,,,,
54,05/22/21 12:34:30 PM,39864.6,28.93,53763.4,35.5191,,,,,
55,05/22/21 12:35:00 PM,39860.7,28.92,53768.2,35.5227,,,,,
56,05/22/21 12:35:30 PM,39884.1,28.92,53799.8,35.5462,,,,,
57,05/22/21 12:36:00 PM,39845.1,28.91,53757.3,35.5145,,,,,
58,05/22/21 12:36:30 PM,39856.8,28.89,53793.3,35.5413,,,,,
59,05/22/21 12:37:00 PM,39860.7,28.88,53808.7,35.5527,,,,,
60,05/22/21 12:37:30 PM,39829.5,28.88,53766.5,35.5214,,,,,
61,05/22/21 12:38:00 PM,39813.9,28.87,53755.5,35.5132,,,,,
62,05/22/21 12:38:30 PM,39849.0,28.87,53803.0,35.5485,,,,,
63,05/22/21 12:39:00 PM,39786.7,28.87,53718.7,35.4858,,,,,
64,05/22/21 12:39:30 PM,39755.6,28.87,53676.6,35.4546,,,,,
65,05/22/21 12:40:00 PM,39751.7,28.88,53661.3,35.4431,,,,,
66,05/22/21 12:40:30 PM,39829.5,28.89,53756.4,35.5138,,,,,
67,05/22/21 12:41:00 PM,39860.7,28.89,53798.5,35.5452,,,,,
68,05/22/21 12:41:30 PM,39845.1,28.89,53777.5,35.5295,,,,,
69,05/22/21 12:42:00 PM,39817.8,28.91,53720.4,35.4871,,,,,
70,05/22/21 12:42:30 PM,39813.9,28.92,53705.0,35.4756,,,,,
71,05/22/21 12:43:00 PM,39794.4,28.92,53678.7,35.4560,,,,,
72,05/22/21 12:43:30 PM,39876.3,28.93,53779.2,35.5308,,,,,
73,05/22/21 12:44:00 PM,39872.4,28.94,53763.8,35.5194,,,,,
74,05/22/21 12:44:30 PM,39829.5,28.94,53705.9,35.4763,,,,,
75,05/22/21 12:45:00 PM,39837.3,28.94,53716.4,35.4841,,,,,
76,05/22/21 12:45:30 PM,39860.7,28.93,53758.1,35.5152,,,,,
77,05/22/21 12:46:00 PM,39860.7,28.94,53748.0,35.5076,,,,,
78,05/22/21 12:46:30 PM,39872.4,28.94,53763.8,35.5194,,,,,
79,05/22/21 12:47:00 PM,39837.3,28.93,53726.5,35.4916,,,,,
80,05/22/21 12:47:30 PM,39884.1,28.93,53789.7,35.5387,,,,,
81,05/22/21 12:48:00 PM,39868.5,28.92,53778.8,35.5305,,,,,
82,05/22/21 12:48:30 PM,39864.6,28.93,53763.4,35.5191,,,,,
83,05/22/21 12:49:00 PM,39864.6,28.93,53763.4,35.5191,,,,,
84,05/22/21 12:49:30 PM,39852.9,28.93,53747.6,35.5073,,,,,
85,05/22/21 12:50:00 PM,39868.5,28.94,53758.6,35.5155,,,,,
86,05/22/21 12:50:30 PM,39856.8,28.93,53752.9,35.5112,,,,,
87,05/22/21 12:51:00 PM,39915.3,28.94,53821.8,35.5625,,,,,
88,05/22/21 12:51:30 PM,39931.0,28.93,53853.1,35.5858,,,,,
89,05/22/21 12:52:00 PM,39876.3,28.93,53779.2,35.5308,,,,,
90,05/22/21 12:52:30 PM,39888.0,28.94,53784.9,35.5351,,,,,
