"Plot Title: CT_329_051521"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739329, SEN S/N: 20739329)","Temp, °C (LGR S/N: 20739329, SEN S/N: 20739329)","Specific Conductance, μS/cm (LGR S/N: 20739329)","Salinity, ppt (LGR S/N: 20739329)"
1,05/15/21 06:56:10 AM,0.0,23.64,0.0,0.0123
2,05/15/21 06:56:20 AM,0.0,23.65,0.0,0.0123
3,05/15/21 06:56:30 AM,0.0,23.65,0.0,0.0123
4,05/15/21 06:56:40 AM,0.0,23.68,0.0,0.0123
5,05/15/21 06:56:50 AM,0.0,23.70,0.0,0.0123
6,05/15/21 06:57:00 AM,0.0,23.73,0.0,0.0123
7,05/15/21 06:57:10 AM,0.0,23.76,0.0,0.0123
8,05/15/21 06:57:20 AM,0.0,23.80,0.0,0.0123
9,05/15/21 06:57:30 AM,0.0,23.83,0.0,0.0123
10,05/15/21 06:57:40 AM,0.0,23.86,0.0,0.0123
11,05/15/21 06:57:50 AM,0.0,23.89,0.0,0.0123
12,05/15/21 06:58:00 AM,0.0,23.91,0.0,0.0123
13,05/15/21 06:58:10 AM,0.0,23.95,0.0,0.0123
14,05/15/21 06:58:20 AM,0.0,23.96,0.0,0.0123
15,05/15/21 06:58:30 AM,0.0,23.99,0.0,0.0123
16,05/15/21 06:58:40 AM,0.0,24.00,0.0,0.0123
17,05/15/21 06:58:50 AM,0.0,24.02,0.0,0.0123
18,05/15/21 06:59:00 AM,0.0,24.04,0.0,0.0123
19,05/15/21 06:59:10 AM,0.0,24.06,0.0,0.0123
20,05/15/21 06:59:20 AM,0.0,24.15,0.0,0.0123
21,05/15/21 06:59:30 AM,0.0,24.12,0.0,0.0123
22,05/15/21 06:59:40 AM,0.0,24.14,0.0,0.0123
23,05/15/21 06:59:50 AM,0.0,24.15,0.0,0.0123
24,05/15/21 07:00:00 AM,0.0,24.16,0.0,0.0123
25,05/15/21 07:00:10 AM,0.0,24.19,0.0,0.0123
26,05/15/21 07:00:20 AM,0.0,24.20,0.0,0.0123
27,05/15/21 07:00:30 AM,0.0,24.21,0.0,0.0123
28,05/15/21 07:00:40 AM,0.0,24.22,0.0,0.0123
29,05/15/21 07:00:50 AM,0.0,24.24,0.0,0.0123
30,05/15/21 07:01:00 AM,0.0,24.24,0.0,0.0123
31,05/15/21 07:01:10 AM,0.0,24.25,0.0,0.0123
32,05/15/21 07:01:20 AM,0.0,24.26,0.0,0.0123
33,05/15/21 07:01:30 AM,0.0,24.27,0.0,0.0123
34,05/15/21 07:01:40 AM,0.0,24.27,0.0,0.0123
35,05/15/21 07:01:50 AM,0.0,24.28,0.0,0.0123
36,05/15/21 07:02:00 AM,0.0,24.30,0.0,0.0123
37,05/15/21 07:02:10 AM,0.0,24.31,0.0,0.0123
38,05/15/21 07:02:20 AM,0.0,24.33,0.0,0.0123
39,05/15/21 07:02:30 AM,0.0,24.35,0.0,0.0123
40,05/15/21 07:02:40 AM,0.0,24.37,0.0,0.0123
41,05/15/21 07:02:50 AM,0.0,24.40,0.0,0.0123
42,05/15/21 07:03:00 AM,0.0,24.42,0.0,0.0123
43,05/15/21 07:03:10 AM,0.0,24.45,0.0,0.0123
44,05/15/21 07:03:20 AM,0.0,24.50,0.0,0.0123
45,05/15/21 07:03:30 AM,0.0,24.51,0.0,0.0123
46,05/15/21 07:03:40 AM,0.0,24.50,0.0,0.0123
47,05/15/21 07:03:50 AM,0.0,24.48,0.0,0.0123
48,05/15/21 07:04:00 AM,0.0,24.47,0.0,0.0123
49,05/15/21 07:04:10 AM,0.0,24.48,0.0,0.0123
50,05/15/21 07:04:20 AM,0.0,24.48,0.0,0.0123
51,05/15/21 07:04:30 AM,0.0,24.48,0.0,0.0123
52,05/15/21 07:04:40 AM,0.0,24.48,0.0,0.0123
53,05/15/21 07:04:50 AM,0.0,24.50,0.0,0.0123
54,05/15/21 07:05:00 AM,0.0,24.50,0.0,0.0123
55,05/15/21 07:05:10 AM,0.0,24.50,0.0,0.0123
56,05/15/21 07:05:20 AM,0.0,24.50,0.0,0.0123
57,05/15/21 07:05:30 AM,0.0,24.51,0.0,0.0123
58,05/15/21 07:05:40 AM,0.0,24.51,0.0,0.0123
59,05/15/21 07:05:50 AM,0.0,24.51,0.0,0.0123
60,05/15/21 07:06:00 AM,0.0,24.51,0.0,0.0123
61,05/15/21 07:06:10 AM,0.0,24.50,0.0,0.0123
62,05/15/21 07:06:20 AM,0.0,24.50,0.0,0.0123
63,05/15/21 07:06:30 AM,0.0,24.50,0.0,0.0123
64,05/15/21 07:06:40 AM,0.0,24.48,0.0,0.0123
65,05/15/21 07:06:50 AM,0.0,24.48,0.0,0.0123
66,05/15/21 07:07:00 AM,0.0,24.47,0.0,0.0123
67,05/15/21 07:07:10 AM,0.0,24.47,0.0,0.0123
68,05/15/21 07:07:20 AM,0.0,24.47,0.0,0.0123
69,05/15/21 07:07:30 AM,0.0,24.46,0.0,0.0123
70,05/15/21 07:07:40 AM,0.0,24.46,0.0,0.0123
71,05/15/21 07:07:50 AM,0.0,24.46,0.0,0.0123
72,05/15/21 07:08:00 AM,0.0,24.45,0.0,0.0123
73,05/15/21 07:08:10 AM,0.0,24.43,0.0,0.0123
74,05/15/21 07:08:20 AM,0.0,24.43,0.0,0.0123
75,05/15/21 07:08:30 AM,0.0,24.42,0.0,0.0123
76,05/15/21 07:08:40 AM,0.0,24.41,0.0,0.0123
77,05/15/21 07:08:50 AM,0.0,24.41,0.0,0.0123
78,05/15/21 07:09:00 AM,0.0,24.40,0.0,0.0123
79,05/15/21 07:09:10 AM,0.0,24.38,0.0,0.0123
80,05/15/21 07:09:20 AM,0.0,24.38,0.0,0.0123
81,05/15/21 07:09:30 AM,0.0,24.37,0.0,0.0123
82,05/15/21 07:09:40 AM,0.0,24.37,0.0,0.0123
83,05/15/21 07:09:50 AM,0.0,24.36,0.0,0.0123
84,05/15/21 07:10:00 AM,0.0,24.36,0.0,0.0123
85,05/15/21 07:10:10 AM,0.0,24.36,0.0,0.0123
86,05/15/21 07:10:20 AM,0.0,24.35,0.0,0.0123
87,05/15/21 07:10:30 AM,0.0,24.35,0.0,0.0123
88,05/15/21 07:10:40 AM,0.0,24.35,0.0,0.0123
