"Plot Title: CT_739_CTD_Casting_051521"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)","Specific Conductance, μS/cm (LGR S/N: 20494739)","Salinity, ppt (LGR S/N: 20494739)"
1,05/15/21 06:54:12 AM,1314.0,23.69,1974.1,1.0031
2,05/15/21 06:54:15 AM,1178.9,23.64,1772.9,0.8962
3,05/15/21 06:54:18 AM,1179.9,23.60,1775.9,0.8978
4,05/15/21 06:54:21 AM,1180.4,23.59,1777.0,0.8984
5,05/15/21 06:54:24 AM,1180.4,23.60,1776.7,0.8982
6,05/15/21 06:54:27 AM,1181.5,23.59,1778.7,0.8992
7,05/15/21 06:54:30 AM,1180.9,23.60,1777.4,0.8986
8,05/15/21 06:54:33 AM,1179.9,23.60,1775.9,0.8978
9,05/15/21 06:54:36 AM,1182.0,23.61,1778.7,0.8993
10,05/15/21 06:54:39 AM,1182.5,23.61,1779.4,0.8997
11,05/15/21 06:54:42 AM,1183.5,23.61,1781.0,0.9005
12,05/15/21 06:54:45 AM,1184.6,23.62,1782.2,0.9011
13,05/15/21 06:54:48 AM,1185.6,23.62,1783.7,0.9019
14,05/15/21 06:54:51 AM,1185.6,23.64,1783.0,0.9015
15,05/15/21 06:54:54 AM,1186.7,23.64,1784.7,0.9024
16,05/15/21 06:54:57 AM,1187.7,23.65,1785.8,0.9030
17,05/15/21 06:55:00 AM,1189.8,23.65,1788.9,0.9047
18,05/15/21 06:55:03 AM,1190.8,23.66,1790.1,0.9053
19,05/15/21 06:55:06 AM,1190.8,23.66,1790.1,0.9053
20,05/15/21 06:55:09 AM,1191.9,23.66,1791.7,0.9062
21,05/15/21 06:55:12 AM,1192.9,23.67,1792.9,0.9068
22,05/15/21 06:55:15 AM,1194.0,23.68,1794.1,0.9074
23,05/15/21 06:55:18 AM,1194.0,23.69,1793.8,0.9072
24,05/15/21 06:55:21 AM,1194.0,23.69,1793.8,0.9072
25,05/15/21 06:55:24 AM,1195.0,23.70,1794.9,0.9078
26,05/15/21 06:55:27 AM,1195.5,23.70,1795.7,0.9082
27,05/15/21 06:55:30 AM,1195.0,23.72,1794.2,0.9075
28,05/15/21 06:55:33 AM,1194.5,23.73,1793.0,0.9069
29,05/15/21 06:55:36 AM,1201.3,23.74,1802.9,0.9121
30,05/15/21 06:55:39 AM,1202.3,23.74,1804.4,0.9129
31,05/15/21 06:55:42 AM,1202.3,23.75,1804.0,0.9127
32,05/15/21 06:55:45 AM,1203.3,23.75,1805.5,0.9135
33,05/15/21 06:55:48 AM,1203.3,23.76,1805.1,0.9133
34,05/15/21 06:55:51 AM,1204.4,23.76,1806.8,0.9141
35,05/15/21 06:55:54 AM,1203.3,23.77,1804.8,0.9131
