"Plot Title: CT_350_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739350, SEN S/N: 20739350)","Temp, °C (LGR S/N: 20739350, SEN S/N: 20739350)","Specific Conductance, μS/cm (LGR S/N: 20739350)","Salinity, ppt (LGR S/N: 20739350)","Coupler Detached (LGR S/N: 20739350)","Coupler Attached (LGR S/N: 20739350)","Host Connected (LGR S/N: 20739350)","End Of File (LGR S/N: 20739350)"
1,05/22/21 12:22:30 PM,0.0,23.57,0.0,0.0123,Logged,,,
2,05/22/21 12:23:00 PM,0.0,23.58,0.0,0.0123,,,,
3,05/22/21 12:23:30 PM,0.0,23.61,0.0,0.0123,,,,
4,05/22/21 12:24:00 PM,0.0,23.62,0.0,0.0123,,,,
5,05/22/21 12:24:30 PM,0.0,23.63,0.0,0.0123,,,,
6,05/22/21 12:25:00 PM,0.0,23.64,0.0,0.0123,,,,
7,05/22/21 12:25:30 PM,0.0,23.64,0.0,0.0123,,,,
8,05/22/21 12:26:00 PM,0.0,23.64,0.0,0.0123,,,,
9,05/22/21 12:26:30 PM,0.0,23.64,0.0,0.0123,,,,
10,05/22/21 12:27:00 PM,0.0,23.66,0.0,0.0123,,,,
11,05/22/21 12:27:30 PM,0.0,23.64,0.0,0.0123,,,,
12,05/22/21 12:28:00 PM,0.0,24.18,0.0,0.0123,,,,
13,05/22/21 12:28:30 PM,0.0,24.71,0.0,0.0123,,,,
14,05/22/21 12:29:00 PM,42911.7,27.69,56222.7,37.3561,,,,
15,05/22/21 12:29:30 PM,43042.9,28.80,55222.3,36.6070,,,,
16,05/22/21 12:30:00 PM,42987.1,28.95,54995.6,36.4376,,,,
17,05/22/21 12:30:30 PM,42959.3,28.96,54949.6,36.4033,,,,
18,05/22/21 12:31:00 PM,42927.6,29.02,54847.3,36.3269,,,,
19,05/22/21 12:31:30 PM,42848.3,29.05,54715.1,36.2281,,,,
20,05/22/21 12:32:00 PM,42836.5,29.07,54679.5,36.2016,,,,
21,05/22/21 12:32:30 PM,42820.7,29.10,54628.6,36.1636,,,,
22,05/22/21 12:33:00 PM,42804.9,29.10,54608.4,36.1486,,,,
23,05/22/21 12:33:30 PM,42765.4,29.11,54547.7,36.1033,,,,
24,05/22/21 12:34:00 PM,42777.2,29.11,54562.8,36.1145,,,,
25,05/22/21 12:34:30 PM,42698.5,29.11,54462.2,36.0395,,,,
26,05/22/21 12:35:00 PM,42670.9,29.09,54447.4,36.0284,,,,
27,05/22/21 12:35:30 PM,42733.9,29.07,54548.3,36.1037,,,,
28,05/22/21 12:36:00 PM,42651.3,29.06,54452.9,36.0326,,,,
29,05/22/21 12:36:30 PM,42667.0,29.06,54473.0,36.0475,,,,
30,05/22/21 12:37:00 PM,42682.7,29.05,54503.2,36.0701,,,,
31,05/22/21 12:37:30 PM,42639.5,29.04,54458.2,36.0365,,,,
32,05/22/21 12:38:00 PM,42651.3,29.02,54493.7,36.0630,,,,
33,05/22/21 12:38:30 PM,42604.3,29.02,54433.5,36.0181,,,,
34,05/22/21 12:39:00 PM,42592.5,29.04,54398.0,35.9917,,,,
35,05/22/21 12:39:30 PM,42565.1,29.05,54352.8,35.9580,,,,
36,05/22/21 12:40:00 PM,42592.5,29.06,54377.7,35.9765,,,,
37,05/22/21 12:40:30 PM,42561.2,29.06,54337.6,35.9467,,,,
38,05/22/21 12:41:00 PM,42522.1,29.07,54277.5,35.9018,,,,
39,05/22/21 12:41:30 PM,42541.6,29.07,54302.4,35.9204,,,,
40,05/22/21 12:42:00 PM,42541.6,29.09,54282.1,35.9052,,,,
41,05/22/21 12:42:30 PM,42475.3,29.10,54187.2,35.8345,,,,
42,05/22/21 12:43:00 PM,42518.2,29.10,54242.0,35.8754,,,,
43,05/22/21 12:43:30 PM,42502.6,29.10,54222.1,35.8605,,,,
44,05/22/21 12:44:00 PM,42490.9,29.11,54197.0,35.8418,,,,
45,05/22/21 12:44:30 PM,42467.5,29.12,54156.9,35.8120,,,,
46,05/22/21 12:45:00 PM,42463.6,29.14,54131.7,35.7932,,,,
47,05/22/21 12:45:30 PM,42463.6,29.12,54152.0,35.8083,,,,
48,05/22/21 12:46:00 PM,42459.7,29.11,54157.1,35.8121,,,,
49,05/22/21 12:46:30 PM,42459.7,29.10,54167.3,35.8197,,,,
50,05/22/21 12:47:00 PM,42413.0,29.10,54107.6,35.7752,,,,
51,05/22/21 12:47:30 PM,42416.9,29.10,54112.6,35.7790,,,,
52,05/22/21 12:48:00 PM,42381.9,29.10,54067.8,35.7456,,,,
53,05/22/21 12:48:30 PM,42374.1,29.10,54057.9,35.7382,,,,
54,05/22/21 12:49:00 PM,42401.3,29.11,54082.5,35.7566,,,,
55,05/22/21 12:49:30 PM,42366.4,29.11,54037.9,35.7234,,,,
56,05/22/21 12:50:00 PM,42381.9,29.11,54057.7,35.7381,,,,
57,05/22/21 12:50:30 PM,42366.4,29.12,54027.8,35.7158,,,,
58,05/22/21 12:51:00 PM,42366.4,29.11,54037.9,35.7234,,,,
59,05/22/21 12:51:30 PM,42405.2,29.11,54087.5,35.7603,,,,
60,05/22/21 12:52:00 PM,42292.7,29.11,53943.7,35.6533,,,,
61,05/22/21 12:52:30 PM,42277.3,29.14,53893.8,35.6161,,,,
62,05/22/21 12:53:00 PM,42292.7,29.12,53933.6,35.6458,,,,
63,05/22/21 12:53:30 PM,42254.1,29.14,53864.2,35.5940,,,,
64,05/22/21 12:54:00 PM,42238.6,29.14,53844.4,35.5793,,,,
65,05/22/21 12:54:30 PM,42288.9,29.15,53898.5,35.6196,,,,
66,05/22/21 12:55:00 PM,42257.9,29.15,53858.9,35.5902,,,,
67,05/22/21 12:55:30 PM,42257.9,29.16,53848.9,35.5827,,,,
68,05/22/21 12:56:00 PM,42157.6,29.14,53740.9,35.5024,,,,
69,05/22/21 12:56:30 PM,42180.7,29.15,53760.4,35.5168,,,,
70,05/22/21 12:57:00 PM,42138.4,29.14,53716.4,35.4841,,,,
71,05/22/21 12:57:30 PM,42219.3,29.12,53839.9,35.5760,,,,
72,05/22/21 12:58:00 PM,42157.6,29.12,53761.1,35.5173,,,,
73,05/22/21 12:58:30 PM,42146.1,29.11,53756.4,35.5139,,,,
74,05/22/21 12:59:00 PM,42123.0,29.11,53726.9,35.4919,,,,
75,05/22/21 12:59:30 PM,42115.3,29.10,53727.1,35.4921,,,,
76,05/22/21 01:00:00 PM,42088.4,29.10,53692.8,35.4665,,,,
77,05/22/21 01:00:30 PM,42065.4,29.10,53663.4,35.4447,,,,
78,05/22/21 01:01:00 PM,42065.4,29.09,53673.4,35.4521,,,,
79,05/22/21 01:01:30 PM,42065.4,29.09,53673.4,35.4521,,,,
80,05/22/21 01:02:00 PM,42030.9,29.09,53629.3,35.4194,,,,
81,05/22/21 01:02:30 PM,42011.8,29.09,53604.9,35.4012,,,,
82,05/22/21 01:03:00 PM,41988.8,29.10,53565.5,35.3719,,,,
83,05/22/21 01:03:30 PM,41958.2,29.12,53506.3,35.3279,,,,
84,05/22/21 01:04:00 PM,41988.8,29.11,53555.4,35.3644,,,,
85,05/22/21 01:04:30 PM,42023.2,29.12,53589.4,35.3897,,,,
86,05/22/21 01:05:00 PM,41985.0,29.11,53550.6,35.3608,,,,
87,05/22/21 01:05:30 PM,41973.5,29.12,53525.9,35.3425,,,,
88,05/22/21 01:06:00 PM,41916.3,29.14,53432.8,35.2733,,,,
89,05/22/21 01:06:30 PM,41920.1,29.12,53457.7,35.2918,,,,
90,05/22/21 01:07:00 PM,41931.5,29.11,53482.2,35.3100,,,,
91,05/22/21 01:07:30 PM,41878.2,29.11,53414.1,35.2594,,,,
92,05/22/21 01:08:00 PM,41828.7,29.11,53350.9,35.2124,,,,
93,05/22/21 01:08:30 PM,41870.5,29.12,53394.3,35.2447,,,,
94,05/22/21 01:09:00 PM,41828.7,29.12,53340.9,35.2050,,,,
95,05/22/21 01:09:30 PM,41813.5,29.11,53331.5,35.1980,,,,
96,05/22/21 01:10:00 PM,41787.0,29.12,53287.6,35.1655,,,,
97,05/22/21 01:10:30 PM,41802.1,29.12,53306.9,35.1798,,,,
98,05/22/21 01:11:00 PM,41787.0,29.12,53287.6,35.1655,,,,
99,05/22/21 01:11:30 PM,41741.5,29.10,53249.4,35.1371,,,,
100,05/22/21 01:12:00 PM,41730.1,29.12,53214.9,35.1115,,,,
101,05/22/21 01:12:30 PM,41760.4,29.14,53233.7,35.1254,,,,
102,05/22/21 01:13:00 PM,41699.9,29.14,53156.5,35.0681,,,,
103,05/22/21 01:13:30 PM,41662.1,29.14,53108.2,35.0322,,,,
104,05/22/21 01:14:00 PM,41654.5,29.15,53088.6,35.0177,,,,
105,05/22/21 01:14:30 PM,41631.9,29.16,53049.8,34.9889,,,,
106,05/22/21 01:15:00 PM,41673.4,29.17,53092.8,35.0208,,,,
107,05/22/21 01:15:30 PM,41579.2,29.15,52992.4,34.9463,,,,
108,05/22/21 01:16:00 PM,41579.2,29.16,52982.5,34.9390,,,,
109,05/22/21 01:16:30 PM,41654.5,29.15,53088.6,35.0177,,,,
110,05/22/21 01:17:00 PM,41586.7,29.16,52992.1,34.9461,,,,
111,05/22/21 01:17:30 PM,41560.4,29.16,52958.5,34.9212,,,,
112,05/22/21 01:18:00 PM,41583.0,29.16,52987.4,34.9426,,,,
113,05/22/21 01:18:30 PM,41583.0,29.16,52987.4,34.9426,,,,
114,05/22/21 01:19:00 PM,41586.7,29.15,53002.0,34.9534,,,,
115,05/22/21 01:19:30 PM,41537.9,29.16,52929.8,34.8999,,,,
116,05/22/21 01:20:00 PM,41556.6,29.16,52953.7,34.9176,,,,
117,05/22/21 01:20:30 PM,41489.1,29.17,52857.6,34.8463,,,,
118,05/22/21 01:21:00 PM,41485.3,29.16,52862.6,34.8501,,,,
119,05/22/21 01:21:30 PM,41459.1,29.16,52829.2,34.8253,,,,
120,05/22/21 01:22:00 PM,41406.8,29.15,52772.3,34.7831,,,,
121,05/22/21 01:22:30 PM,41470.3,29.16,52843.5,34.8359,,,,
122,05/22/21 01:23:00 PM,41470.3,29.16,52843.5,34.8359,,,,
123,05/22/21 01:23:30 PM,41395.6,29.16,52748.1,34.7652,,,,
124,05/22/21 01:24:00 PM,41395.6,29.16,52748.1,34.7652,,,,
125,05/22/21 01:24:30 PM,41335.9,29.15,52681.8,34.7160,,,,
126,05/22/21 01:25:00 PM,41347.1,29.16,52686.2,34.7193,,,,
127,05/22/21 01:25:30 PM,41295.0,29.16,52619.7,34.6700,,,,
128,05/22/21 01:26:00 PM,41313.6,29.15,52653.3,34.6949,,,,
129,05/22/21 01:26:30 PM,41242.9,29.15,52563.1,34.6280,,,,
130,05/22/21 01:27:00 PM,41228.1,29.14,52554.0,34.6213,,,,
131,05/22/21 01:27:30 PM,41246.7,29.15,52567.9,34.6316,,,,
132,05/22/21 01:28:00 PM,41191.0,29.16,52487.0,34.5716,,,,
133,05/22/21 01:28:30 PM,41217.0,29.15,52530.0,34.6035,,,,
134,05/22/21 01:29:00 PM,41239.2,29.16,52548.5,34.6172,,,,
135,05/22/21 01:29:30 PM,41187.3,29.15,52492.1,34.5754,,,,
136,05/22/21 01:30:00 PM,41083.9,29.15,52360.1,34.4777,,,,
137,05/22/21 01:30:30 PM,41139.3,29.14,52440.6,34.5373,,,,
138,05/22/21 01:31:00 PM,41083.9,29.15,52360.1,34.4777,,,,
139,05/22/21 01:31:30 PM,41028.7,29.14,52299.4,34.4327,,,,
140,05/22/21 01:32:00 PM,40962.5,29.14,52214.9,34.3702,,,,
141,05/22/21 01:32:30 PM,41006.6,29.16,52251.6,34.3974,,,,
142,05/22/21 01:33:00 PM,40609.3,29.15,51754.2,34.0296,,,,
143,05/22/21 01:33:30 PM,40627.4,29.15,51777.3,34.0466,,,,
144,05/22/21 01:34:00 PM,40620.1,29.15,51768.0,34.0398,,,,
145,05/22/21 01:34:30 PM,40580.4,29.15,51717.3,34.0023,,,,
146,05/22/21 01:35:00 PM,40609.3,29.15,51754.2,34.0296,,,,
147,05/22/21 01:35:30 PM,40576.8,29.14,51722.4,34.0061,,,,
148,05/22/21 01:36:00 PM,40551.5,29.15,51680.4,33.9751,,,,
149,05/22/21 01:36:30 PM,40602.1,29.15,51745.0,34.0228,,,,
150,05/22/21 01:37:00 PM,40547.9,29.16,51666.1,33.9645,,,,
151,05/22/21 01:37:30 PM,40468.7,29.16,51565.0,33.8899,,,,
