"","date","Serial","TempInSitu_logger","E_Conductivity","EC_Cal.1","TempInSitu","EC_Cal.2","Salinity"
"1",2021-05-16 14:00:00,"CT_319_051621",29.86,39381.3,57919.3573770492,29.6054098360656,NA,34.9861959597738
"2",2021-05-16 14:00:30,"CT_319_051621",29.7,39022,57560.0573770492,29.4454098360656,NA,34.8573937813974
"3",2021-05-16 14:01:00,"CT_319_051621",29.74,39105.6,57643.6573770492,29.4854098360656,NA,34.8854175781646
"4",2021-05-16 14:01:30,"CT_319_051621",29.75,39128.5,57666.5573770492,29.4954098360656,NA,34.8937811951199
"5",2021-05-16 14:02:00,"CT_319_051621",29.79,39147.5,57685.5573770492,29.5354098360656,NA,34.8777187502726
"6",2021-05-16 14:02:30,"CT_319_051621",29.79,39155.2,57693.2573770492,29.5354098360656,NA,34.8829668173543
"7",2021-05-16 14:03:00,"CT_319_051621",29.8,39201,57739.0573770492,29.5454098360656,NA,34.9069281179273
"8",2021-05-16 14:03:30,"CT_319_051621",29.82,39250.7,57788.7573770492,29.5654098360656,NA,34.9262816595357
"9",2021-05-16 14:04:00,"CT_319_051621",29.82,39178.1,57716.1573770492,29.5654098360656,NA,34.8768217200031
"10",2021-05-16 14:04:30,"CT_319_051621",29.82,39056.2,57594.2573770492,29.5654098360656,NA,34.7938010459727
"11",2021-05-16 14:05:00,"CT_319_051621",29.83,38984.1,57522.1573770492,29.5754098360656,NA,34.7374941967011
"12",2021-05-16 14:05:30,"CT_319_051621",29.82,38969,57507.0573770492,29.5654098360656,NA,34.7344327652355
"13",2021-05-16 14:06:00,"CT_319_051621",29.87,39117.1,57655.1573770492,29.6154098360656,NA,34.7991122933026
"14",2021-05-16 14:06:30,"CT_319_051621",29.87,39067.6,57605.6573770492,29.6154098360656,NA,34.7654387305426
"15",2021-05-16 14:07:00,"CT_319_051621",29.89,39075.2,57613.2573770492,29.6354098360656,NA,34.7561739854775
"16",2021-05-16 14:07:30,"CT_319_051621",29.91,39185.7,57723.7573770492,29.6554098360656,NA,34.8168647595621
"17",2021-05-16 14:08:00,"CT_319_051621",29.92,39185.7,57723.7573770492,29.6654098360656,NA,34.8096403175774
"18",2021-05-16 14:08:30,"CT_319_051621",29.91,39124.7,57662.7573770492,29.6554098360656,NA,34.7753952175672
"19",2021-05-16 14:09:00,"CT_319_051621",29.8,38908.5,57446.5573770492,29.5454098360656,NA,34.7076736878085
"20",2021-05-16 14:09:30,"CT_319_051621",29.85,38938.7,57476.7573770492,29.5954098360656,NA,34.6921812057581
"21",2021-05-16 14:10:00,"CT_319_051621",29.83,38965.2,57503.2573770492,29.5754098360656,NA,34.724630837073
"22",2021-05-16 14:10:30,"CT_319_051621",29.8,38927.4,57465.4573770492,29.5454098360656,NA,34.7205429801932
"23",2021-05-16 14:11:00,"CT_319_051621",29.81,38961.4,57499.4573770492,29.5554098360656,NA,34.7364763771297
"24",2021-05-16 14:11:30,"CT_319_051621",29.86,39006.8,57544.8573770492,29.6054098360656,NA,34.7312964197012
"25",2021-05-16 14:12:00,"CT_319_051621",29.83,38923.6,57461.6573770492,29.5754098360656,NA,34.6963205615484
