"","date","Serial","TempInSitu_logger","E_Conductivity","EC_Cal.1","TempInSitu","EC_Cal.2","Salinity"
"1",2021-05-22 13:00:00,"CT_345_052221_CG",29.24,41797.1,60005.3666666667,29.1193333333333,NA,36.7828024087421
"2",2021-05-22 13:00:30,"CT_345_052221_CG",29.24,41768.9,59977.1666666667,29.1193333333333,NA,36.7632671539689
"3",2021-05-22 13:01:00,"CT_345_052221_CG",29.26,41781,59989.2666666667,29.1393333333333,NA,36.7562534148533
"4",2021-05-22 13:01:30,"CT_345_052221_CG",29.29,41809.2,60017.4666666667,29.1693333333333,NA,36.7526951837813
"5",2021-05-22 13:02:00,"CT_345_052221_CG",29.24,41776.9,59985.1666666667,29.1193333333333,NA,36.7688088928778
"6",2021-05-22 13:02:30,"CT_345_052221_CG",29.27,41781,59989.2666666667,29.1493333333333,NA,36.7485596534444
"7",2021-05-22 13:03:00,"CT_345_052221_CG",29.35,41809.2,60017.4666666667,29.2293333333333,NA,36.7065968502261
"8",2021-05-22 13:03:30,"CT_345_052221_CG",29.36,41768.9,59977.1666666667,29.2393333333333,NA,36.6710775938023
"9",2021-05-22 13:04:00,"CT_345_052221_CG",29.38,41809.2,60017.4666666667,29.2593333333333,NA,36.6835842403364
"10",2021-05-22 13:04:30,"CT_345_052221_CG",29.38,41809.2,60017.4666666667,29.2593333333333,NA,36.6835842403364
"11",2021-05-22 13:05:00,"CT_345_052221_CG",29.33,41809.2,60017.4666666667,29.2093333333333,NA,36.7219521212994
"12",2021-05-22 13:05:30,"CT_345_052221_CG",29.41,41805.2,60013.4666666667,29.2893333333333,NA,36.6578349373565
"13",2021-05-22 13:06:00,"CT_345_052221_CG",29.36,41789,59997.2666666667,29.2393333333333,NA,36.6849654427202
"14",2021-05-22 13:06:30,"CT_345_052221_CG",29.33,41793.1,60001.3666666667,29.2093333333333,NA,36.7108200367492
"15",2021-05-22 13:07:00,"CT_345_052221_CG",29.32,41813.2,60021.4666666667,29.1993333333333,NA,36.7324002404145
"16",2021-05-22 13:07:30,"CT_345_052221_CG",29.31,41781,59989.2666666667,29.1893333333333,NA,36.7178117476304
"17",2021-05-22 13:08:00,"CT_345_052221_CG",29.3,41772.9,59981.1666666667,29.1793333333333,NA,36.7198908420928
"18",2021-05-22 13:08:30,"CT_345_052221_CG",29.33,41833.4,60041.6666666667,29.2093333333333,NA,36.738685886935
"19",2021-05-22 13:09:00,"CT_345_052221_CG",29.36,41776.9,59985.1666666667,29.2393333333333,NA,36.6766049900422
"20",2021-05-22 13:09:30,"CT_345_052221_CG",29.31,41768.9,59977.1666666667,29.1893333333333,NA,36.7094424792072
"21",2021-05-22 13:10:00,"CT_345_052221_CG",29.32,41789,59997.2666666667,29.1993333333333,NA,36.7156639318267
"22",2021-05-22 13:10:30,"CT_345_052221_CG",29.37,41756.8,59965.0666666667,29.2493333333333,NA,36.6550546137891
