lat,long,Serial
-17.54001,-149.90025,CT_335
-17.54018,-149.90012,CT_338
-17.54031,-149.89987,CT_316
-17.54077,-149.89879,CT_317
-17.5405,-149.89922,CT_318
-17.54028,-149.89963,CT_319
-17.54061,-149.89957,CT_320
-17.54012,-149.89992,CT_321
-17.5402,-149.89975,CT_322
-17.54082,-149.89931,CT_323
-17.54007,-149.89999,CT_324
-17.54016,-149.90021,CT_326
-17.54072,-149.89943,CT_350
-17.54045,-149.89987,CT_331
-17.5409,-149.89911,CT_332
-17.54066,-149.89908,CT_334
-17.54029,-149.90015,CT_340
-17.54043,-149.89972,CT_342
-17.54071,-149.89896,CT_343
-17.54051,-149.89964,CT_345
-17.5404,-149.9001,CT_346
-17.54038,-149.8998,CT_347
-17.54038,-149.89998,CT_349
-17.54004,-149.90012,CT_352
-17.54011,-149.90016,CT_355
-17.54036,-149.89951,CT_738
