7450-646496
OS REV: 1.05 Sensor Cal: 1573749572
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1686624600,+2.66,+27.871,+11.762,+0.922
1686624720,+2.66,+27.871,+11.567,+0.922
1686624840,+2.66,+27.854,+11.600,+0.921
1686624960,+2.66,+27.854,+11.684,+0.923
1686625080,+2.66,+27.828,+11.192,+0.923
1686625200,+2.66,+27.837,+10.937,+0.922
1686625320,+2.66,+27.828,+11.015,+0.922
1686625440,+2.66,+27.820,+10.980,+0.921
1686625560,+2.66,+27.794,+10.744,+0.921
1686625680,+2.66,+27.803,+10.579,+0.922
1686625800,+2.66,+27.794,+10.414,+0.921
1686625920,+2.66,+27.786,+10.235,+0.921
1686626040,+2.66,+27.769,+10.057,+0.921
1686626160,+2.66,+27.760, +9.832,+0.921
1686626280,+2.66,+27.735, +9.712,+0.921
1686626400,+2.66,+27.726, +9.580,+0.920
1686626520,+2.66,+27.709, +9.493,+0.921
1686626640,+2.66,+27.709, +9.390,+0.921
1686626760,+2.66,+27.709, +9.275,+0.920
1686626880,+2.66,+27.700, +9.202,+0.921
1686627000,+2.66,+27.692, +9.084,+0.920
1686627120,+2.66,+27.666, +8.991,+0.920
1686627240,+2.66,+27.658, +8.940,+0.921
1686627360,+2.66,+27.675, +8.897,+0.921
1686627480,+2.66,+27.649, +8.873,+0.921
1686627600,+2.66,+27.641, +8.784,+0.919
1686627720,+2.66,+27.666, +8.734,+0.920
1686627840,+2.66,+27.632, +8.653,+0.920
1686627960,+2.66,+27.607, +8.606,+0.919
1686628080,+2.66,+27.607, +8.609,+0.920
1686628200,+2.66,+27.598, +8.554,+0.920
1686628320,+2.66,+27.573, +8.537,+0.920
1686628440,+2.66,+27.590, +8.521,+0.919
1686628560,+2.66,+27.581, +8.529,+0.920
1686628680,+2.66,+27.573, +8.498,+0.919
1686628800,+2.65,+27.564, +8.472,+0.921
1686628920,+2.66,+27.556, +8.403,+0.919
1686629040,+2.65,+27.522, +8.404,+0.919
1686629160,+2.65,+27.513, +8.358,+0.919
1686629280,+2.65,+27.505, +8.372,+0.920
1686629400,+2.65,+27.522, +8.361,+0.920
1686629520,+2.65,+27.505, +8.300,+0.919
1686629640,+2.65,+27.488, +8.245,+0.919
1686629760,+2.65,+27.488, +8.216,+0.918
1686629880,+2.65,+27.488, +8.188,+0.919
1686630000,+2.65,+27.479, +8.155,+0.918
1686630120,+2.65,+27.471, +8.166,+0.920
1686630240,+2.65,+27.454, +8.109,+0.919
1686630360,+2.65,+27.411, +8.095,+0.919
1686630480,+2.65,+27.420, +8.041,+0.919
1686630600,+2.65,+27.411, +8.006,+0.919
1686630720,+2.65,+27.411, +7.986,+0.918
1686630840,+2.65,+27.394, +7.994,+0.918
