Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
110,01/13/21 09:49, 21, 01, 13, 09, 49,0,5.6,26.5, 9, 134,0.0000000,2.8218690, 255,07,01,N/A,Sniff,0.0,6.3,0.00,0.97,29.0,
111,01/13/21 09:55, 21, 01, 13, 09, 55,1,5.5,26.8, 8, 134,0.7117945,3.4368470, 255,07,02,0.00,Sniff,1.6,7.7,0.3,1.2,29.1,
112,01/13/21 10:01, 21, 01, 13, 10, 01,2,5.5,27.4, 7, 134,0.0000000,2.8471780, 255,07,03,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
113,01/13/21 10:07, 21, 01, 13, 10, 07,1,5.5,28.4, 7, 134,0.0000000,2.8471780, 255,07,04,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
114,01/13/21 10:13, 21, 01, 13, 10, 13,2,5.5,29.6, 7, 134,0.7117945,3.4368470, 255,07,05,0.00,Sniff,1.6,7.7,0.3,1.3,29.2,
115,01/13/21 10:19, 21, 01, 13, 10, 19,1,5.5,30.5, 6, 134,0.0000000,2.8471780, 255,07,06,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
116,01/13/21 10:25, 21, 01, 13, 10, 25,2,5.5,31.1, 6, 134,0.7117945,3.4368470, 255,07,07,0.00,Sniff,1.6,7.7,0.3,1.3,29.2,
117,01/13/21 10:31, 21, 01, 13, 10, 31,0,5.5,31.7, 6, 134,0.0000000,2.8471780, 255,07,08,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
118,01/13/21 10:37, 21, 01, 13, 10, 37,1,5.5,32.0, 6, 134,0.7117945,3.4368470, 255,07,09,0.00,Sniff,1.6,7.7,0.3,1.3,29.4,
119,01/13/21 10:43, 21, 01, 13, 10, 43,3,5.5,32.3, 6, 134,0.7117945,3.4368470, 255,07,10,1.00,Sniff,1.6,7.7,0.3,1.3,29.3,
120,01/13/21 10:49, 21, 01, 13, 10, 49,0,5.5,32.3, 6, 134,0.0000000,2.8471780, 255,07,11,N/A,Sniff,0.0,6.4,0.0,1.1,29.1,
121,01/13/21 10:55, 21, 01, 13, 10, 55,1,5.5,32.3, 6, 134,0.0000000,2.8471780, 255,07,12,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
122,01/13/21 11:01, 21, 01, 13, 11, 01,2,5.5,32.6, 6, 134,0.0000000,2.8471780, 255,07,13,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
123,01/13/21 11:07, 21, 01, 13, 11, 07,1,5.5,33.2, 6, 134,0.0000000,2.8471780, 255,07,14,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
124,01/13/21 11:13, 21, 01, 13, 11, 13,0,5.5,33.8, 6, 134,0.0000000,2.8471780, 255,07,15,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
125,01/13/21 11:19, 21, 01, 13, 11, 19,0,5.5,34.8, 6, 134,0.0000000,2.8471780, 255,07,16,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
126,01/13/21 11:25, 21, 01, 13, 11, 25,2,5.5,35.4, 6, 134,0.7117945,3.4368470, 255,07,17,0.00,Sniff,1.6,7.7,0.3,1.3,29.5,
127,01/13/21 11:31, 21, 01, 13, 11, 31,2,5.5,35.7, 6, 134,0.7117945,3.4368470, 255,07,18,0.00,Sniff,1.6,7.7,0.3,1.3,29.6,
128,01/13/21 11:37, 21, 01, 13, 11, 37,0,5.5,36.0, 6, 134,0.0000000,2.8471780, 255,07,19,N/A,Sniff,0.0,6.4,0.0,1.1,30.0,
129,01/13/21 11:43, 21, 01, 13, 11, 43,1,5.5,35.7, 6, 134,0.0000000,2.8471780, 255,07,20,N/A,Sniff,0.0,6.4,0.0,1.1,30.0,
130,01/13/21 11:49, 21, 01, 13, 11, 49,2,5.5,35.4, 6, 134,0.0000000,2.8471780, 255,07,21,N/A,Sniff,0.0,6.4,0.0,1.1,29.8,
131,01/13/21 11:55, 21, 01, 13, 11, 55,2,5.5,35.1, 6, 134,0.7117945,3.4368470, 255,07,22,1.00,Sniff,1.6,7.7,0.3,1.3,29.9,
132,01/13/21 12:01, 21, 01, 13, 12, 01,1,5.5,34.8, 6, 134,0.7117945,3.4368470, 255,07,23,0.00,Sniff,1.6,7.7,0.3,1.3,30.2,
133,01/13/21 12:07, 21, 01, 13, 12, 07,5,5.5,34.2, 5, 134,1.4235890,3.8893170, 255,07,24,0.500,Sniff,2.3,8.8,0.4,1.4,30.5,
134,01/13/21 12:13, 21, 01, 13, 12, 13,2,5.5,33.8, 5, 134,0.7117945,3.4368470, 255,07,25,1.00,Sniff,1.6,7.7,0.3,1.3,30.5,
