Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
240,1/18/2021 8:16,21,1,18,8,16,0,5.6,28.1,7,134,0,2.834468,255,12,1,N/A,Sniff,0,6.2,0,0.77,29.6
241,1/18/2021 8:22,21,1,18,8,22,0,5.5,29,6,134,0,2.847178,255,12,2,N/A,Sniff,0,6.3,0,0.81,28.5
242,1/18/2021 8:28,21,1,18,8,28,2,5.5,29.6,6,134,0.7117945,3.436847,255,12,3,0,Sniff,1.6,7.6,0.3,1.3,28.5
243,1/18/2021 8:34,21,1,18,8,34,2,5.5,30.2,6,134,0.7117945,3.436847,255,12,4,0,Sniff,1.6,7.6,0.3,1.3,29
244,1/18/2021 8:40,21,1,18,8,40,2,5.5,31.1,6,134,0.7117945,3.436847,255,12,5,1,Sniff,1.6,7.6,0.3,1.3,29.5
245,1/18/2021 8:46,21,1,18,8,46,1,5.5,31.7,6,134,0,2.847178,255,12,6,N/A,Sniff,0,6.3,0,1.1,29.5
246,1/18/2021 8:52,21,1,18,8,52,0,5.5,32.3,6,134,0,2.847178,255,12,7,N/A,Sniff,0,6.3,0,1.1,29.5
247,1/18/2021 8:58,21,1,18,8,58,2,5.5,32.9,6,134,0.7117945,3.436847,255,12,8,0,Sniff,1.6,7.6,0.3,1.3,29.9
248,1/18/2021 9:04,21,1,18,9,4,2,5.5,33.5,6,134,0.7117945,3.436847,255,12,9,1,Sniff,1.6,7.6,0.3,1.3,29.8
249,1/18/2021 9:10,21,1,18,9,10,3,5.5,34.5,6,134,0,2.872944,255,12,10,N/A,Sniff,0,6.3,0,1,29.7
250,1/18/2021 9:16,21,1,18,9,16,0,5.5,35.1,6,134,0,2.872944,255,12,11,N/A,Sniff,0,6.3,0,1,29.9
251,1/18/2021 9:22,21,1,18,9,22,3,5.5,36,6,134,2.154708,4.309416,255,12,12,0,Sniff,4.8,9.6,0.8,1.6,30
252,1/18/2021 9:28,21,1,18,9,28,3,5.5,36.6,6,134,1.430002,3.906836,255,12,13,0.499,Sniff,3.2,8.7,0.5,1.4,30.2
253,1/18/2021 9:34,21,1,18,9,34,12,5.5,37.2,6,134,7.865007,6.383672,255,12,14,0,Sniff,17,14,2.9,2.3,30.1
254,1/18/2021 9:40,21,1,18,9,40,8,5.5,37.5,6,134,5.720007,5.720007,255,12,15,0,Sniff,13,13,2.1,2.1,30.4
255,1/18/2021 9:46,21,1,18,9,46,5,5.5,37.8,6,134,0.7150008,3.452329,255,12,16,4,Sniff,1.6,7.7,0.3,1.3,30.4
256,1/18/2021 9:52,21,1,18,9,52,6,5.5,38.1,6,134,1.430002,3.906836,255,12,17,1.5,Sniff,3.2,8.7,0.5,1.4,30.5
257,1/18/2021 9:58,21,1,18,9,58,7,5.6,37.8,6,134,3.543085,4.888733,255,12,18,0.2,Sniff,8,11,1.3,1.8,30.5
258,1/18/2021 10:04,21,1,18,10,4,15,5.5,37.5,6,134,7.865007,6.383672,255,12,19,0.0914,Sniff,17,14,2.8,2.3,30.5
259,1/18/2021 10:10,21,1,18,10,10,11,5.5,37.5,6,134,6.40615,5.925373,255,12,20,0.222,Sniff,14,13,2.3,2.1,30.4
260,1/18/2021 10:16,21,1,18,10,16,8,5.5,37.2,5,134,3.575004,4.932776,255,12,21,0.4,Sniff,8,11,1.3,1.8,30.5
261,1/18/2021 10:22,21,1,18,10,22,5,5.5,36.9,6,134,2.860003,4.627582,255,12,22,0.25,Sniff,10,10,1,1.7,30.4
262,1/18/2021 10:28,21,1,18,10,28,3,5.5,36.9,6,134,0,2.860003,255,12,23,N/A,Sniff,0,6.3,0,1,30.2
263,1/18/2021 10:34,21,1,18,10,34,9,5.5,36.3,5,134,0,2.860003,255,12,24,N/A,Sniff,0,6.3,0,1,30.2
264,1/18/2021 10:40,21,1,18,10,40,7,5.5,36,5,134,1.436472,3.924514,255,12,25,2.5,Sniff,3.2,8.7,0.5,1.4,30
265,1/18/2021 10:46,21,1,18,10,46,5,5.5,35.7,6,134,1.436472,3.924514,255,12,26,1.5,Sniff,3.2,8.7,0.5,1.4,30.3
266,1/18/2021 10:52,21,1,18,10,52,8,5.5,35.4,5,134,0,2.872944,255,12,27,N/A,Sniff,0,6.3,0,1,30
267,1/18/2021 10:58,21,1,18,10,58,6,5.5,35.1,5,134,1.430002,3.906836,255,12,28,2,Sniff,3.2,8.7,0.5,1.4,30.5
268,1/18/2021 11:04,21,1,18,11,4,10,5.5,34.8,5,134,0.7150008,3.452329,255,12,29,8,Sniff,1.6,7.7,0.3,1.3,31
269,1/18/2021 11:10,21,1,18,11,10,3,5.5,34.8,5,134,0.7150008,3.452329,255,12,30,2,Sniff,1.6,7.7,0.3,1.2,31
270,1/18/2021 11:16,21,1,18,11,16,4,5.5,34.8,5,134,0,2.860003,255,12,31,N/A,Sniff,0,6.3,0,1,30.7
271,1/18/2021 11:22,21,1,18,11,22,4,5.5,35.1,5,134,0.7150008,3.452329,255,12,32,3,Sniff,1.6,7.7,0.3,1.2,31
272,1/18/2021 11:28,21,1,18,11,28,4,5.5,35.1,6,134,1.430002,3.906836,255,12,33,0.5,Sniff,3.2,8.7,0.5,1.4,30.9
273,1/18/2021 11:33,21,1,18,11,33,4,4.6,35.4,6,134,1.706776,4.662999,255,12,34,1,Sniff,0,10,0.6,1.7,32.3
