date,TempInSitu,mV,pH,Serial
2021-01-18T12:10:00Z,29.53,-92.92,8.17,197
2021-01-18T12:11:00Z,29.55,-92.92,8.17,197
2021-01-18T12:12:00Z,29.55,-92.77,8.16,197
2021-01-18T12:13:00Z,29.58,-92.71,8.16,197
2021-01-18T12:14:00Z,29.55,-92.64,8.16,197
2021-01-18T12:15:00Z,29.58,-92.63,8.16,197
2021-01-18T12:16:00Z,29.58,-92.53,8.16,197
2021-01-18T12:17:00Z,29.55,-92.32,8.16,197
2021-01-18T12:18:00Z,29.55,-92.39,8.16,197
2021-01-18T12:19:00Z,29.55,-92.33,8.16,197
2021-01-18T12:20:00Z,29.58,-92.49,8.16,197
2021-01-18T12:21:00Z,29.58,-92.38,8.16,197
2021-01-18T12:22:00Z,29.58,-92.41,8.16,197
2021-01-18T12:23:00Z,29.58,-92.49,8.16,197
2021-01-18T12:24:00Z,29.6,-92.66,8.16,197
2021-01-18T12:25:00Z,29.6,-92.67,8.16,197
2021-01-18T12:26:00Z,29.63,-92.66,8.16,197
2021-01-18T12:27:00Z,29.65,-92.82,8.16,197
2021-01-18T12:28:00Z,29.63,-92.5,8.16,197
2021-01-18T12:29:00Z,29.6,-92.14,8.15,197
2021-01-18T12:30:00Z,29.6,-92.27,8.16,197
2021-01-18T12:31:00Z,29.6,-92.46,8.16,197
2021-01-18T12:32:00Z,29.6,-92.22,8.15,197
2021-01-18T12:33:00Z,29.6,-92.25,8.16,197
2021-01-18T12:34:00Z,29.63,-92.58,8.16,197
2021-01-18T12:35:00Z,29.6,-91.96,8.15,197
2021-01-18T12:36:00Z,29.6,-92,8.15,197
2021-01-18T12:37:00Z,29.58,-91.83,8.15,197
2021-01-18T12:38:00Z,29.58,-91.63,8.14,197
2021-01-18T12:39:00Z,29.58,-91.52,8.14,197
2021-01-18T12:40:00Z,29.55,-91.42,8.14,197
2021-01-18T12:41:00Z,29.55,-91.25,8.14,197
2021-01-18T12:42:00Z,29.53,-91.1,8.14,197
2021-01-18T12:43:00Z,29.48,-90.57,8.13,197
2021-01-18T12:44:00Z,29.48,-90.57,8.13,197
2021-01-18T12:45:00Z,29.45,-90.39,8.12,197
2021-01-18T12:46:00Z,29.45,-90.41,8.12,197
2021-01-18T12:47:00Z,29.45,-90.44,8.13,197
2021-01-18T12:48:00Z,29.45,-90.38,8.12,197
2021-01-18T12:49:00Z,29.45,-90.21,8.12,197
2021-01-18T12:50:00Z,29.45,-90.28,8.12,197
2021-01-18T12:51:00Z,29.45,-90.25,8.12,197
2021-01-18T12:52:00Z,29.45,-90.32,8.12,197
2021-01-18T12:53:00Z,29.45,-90.27,8.12,197
2021-01-18T12:54:00Z,29.45,-90.39,8.12,197
2021-01-18T12:55:00Z,29.45,-90.44,8.13,197
2021-01-18T12:56:00Z,29.48,-90.44,8.13,197
2021-01-18T12:57:00Z,29.48,-90.46,8.13,197
2021-01-18T12:58:00Z,29.48,-90.5,8.13,197
2021-01-18T12:59:00Z,29.45,-90.36,8.12,197
